DISTRICT,DISTNAME,COUNTY,CNTYNAME,REGION,DFLCHART,DFLALTED,OUTCOME,ASVAB_STATUS
070909,MILFORD ISD,70,ELLIS,10,N,N,Meets Requirements, 
070910,PALMER ISD,70,ELLIS,10,N,N,Meets Requirements, 
070911,RED OAK ISD,70,ELLIS,10,N,N,Needs Assistance, 
070912,WAXAHACHIE ISD,70,ELLIS,10,N,N,Needs Assistance, 
070915,MAYPEARL ISD,70,ELLIS,10,N,N,Meets Requirements, 
071801,BURNHAM WOOD CHARTER SCHOOL DISTRI,71,EL PASO,19,Y,N,Meets Requirements, 
071803,TRIUMPH PUBLIC HIGH SCHOOLS-EL PAS,71,EL PASO,19,Y,Y,Meets Requirements, 
071804,EL PASO ACADEMY,71,EL PASO,19,Y,Y,Needs Assistance, 
071806,HARMONY SCIENCE ACAD (EL PASO),71,EL PASO,19,Y,N,Meets Requirements, 
071807,LA FE PREPARATORY SCHOOL,71,EL PASO,19,Y,N,Meets Requirements, 
071809,VISTA DEL FUTURO CHARTER SCHOOL,71,EL PASO,19,Y,N,Meets Requirements, 
071810,EL PASO LEADERSHIP ACADEMY,71,EL PASO,19,Y,N,Meets Requirements, 
071901,CLINT ISD,71,EL PASO,19,N,N,Meets Requirements, 
071902,EL PASO ISD,71,EL PASO,19,N,N,Needs Assistance, 
071903,FABENS ISD,71,EL PASO,19,N,N,Needs Intervention, 
071904,SAN ELIZARIO ISD,71,EL PASO,19,N,N,Needs Assistance, 
071905,YSLETA ISD,71,EL PASO,19,N,N,Meets Requirements, 
071906,ANTHONY ISD,71,EL PASO,19,N,N,Meets Requirements, 
071907,CANUTILLO ISD,71,EL PASO,19,N,N,Needs Substantial Intervention, 
071908,TORNILLO ISD,71,EL PASO,19,N,N,Meets Requirements, 
071909,SOCORRO ISD,71,EL PASO,19,N,N,Needs Assistance,ASVAB Alternative Test Offered
072801,PREMIER HIGH SCHOOLS,72,ERATH,11,Y,Y,Meets Requirements,ASVAB Alternative Test Offered
072802,ERATH EXCELS ACADEMY INC,72,ERATH,11,Y,Y,Meets Requirements, 
072901,THREE WAY ISD,72,ERATH,11,N,N,Meets Requirements,ASVAB Alternative Test Offered
072902,DUBLIN ISD,72,ERATH,11,N,N,Meets Requirements, 
072903,STEPHENVILLE ISD,72,ERATH,11,N,N,Meets Requirements, 
072904,BLUFF DALE ISD,72,ERATH,11,N,N,Meets Requirements, 
072908,HUCKABAY ISD,72,ERATH,11,N,N,Meets Requirements, 
072909,LINGLEVILLE ISD,72,ERATH,11,N,N,Meets Requirements, 
072910,MORGAN MILL ISD,72,ERATH,11,N,N,Meets Requirements, 
073901,CHILTON ISD,73,FALLS,12,N,N,Meets Requirements, 
073903,MARLIN ISD,73,FALLS,12,N,N,Meets Requirements, 
073904,WESTPHALIA ISD,73,FALLS,12,N,N,Meets Requirements, 
073905,ROSEBUD-LOTT ISD,73,FALLS,12,N,N,Meets Requirements, 
074903,BONHAM ISD,74,FANNIN,10,N,N,Meets Requirements, 
074904,DODD CITY ISD,74,FANNIN,10,N,N,Meets Requirements, 
074905,ECTOR ISD,74,FANNIN,10,N,N,Meets Requirements, 
074907,HONEY GROVE ISD,74,FANNIN,8,N,N,Meets Requirements, 
074909,LEONARD ISD,74,FANNIN,10,N,N,Meets Requirements, 
074911,SAVOY ISD,74,FANNIN,10,N,N,Meets Requirements, 
074912,TRENTON ISD,74,FANNIN,10,N,N,Meets Requirements, 
074917,SAM RAYBURN ISD,74,FANNIN,10,N,N,Meets Requirements, 
075901,FLATONIA ISD,75,FAYETTE,13,N,N,Meets Requirements, 
075902,LA GRANGE ISD,75,FAYETTE,13,N,N,Meets Requirements, 
075903,SCHULENBURG ISD,75,FAYETTE,13,N,N,Meets Requirements, 
075906,FAYETTEVILLE ISD,75,FAYETTE,13,N,N,Meets Requirements, 
075908,ROUND TOP-CARMINE ISD,75,FAYETTE,13,N,N,Meets Requirements, 
076903,ROBY CISD,76,FISHER,14,N,N,Meets Requirements, 
076904,ROTAN ISD,76,FISHER,14,N,N,Meets Requirements, 
077901,FLOYDADA ISD,77,FLOYD,17,N,N,Meets Requirements, 
077902,LOCKNEY ISD,77,FLOYD,17,N,N,Meets Requirements, 
078901,CROWELL ISD,78,FOARD,9,N,N,Meets Requirements, 
079901,LAMAR CISD,79,FORT BEND,4,N,N,Meets Requirements, 
079906,NEEDVILLE ISD,79,FORT BEND,4,N,N,Meets Requirements, 
079907,FORT BEND ISD,79,FORT BEND,4,N,N,Needs Assistance, 
079910,STAFFORD MSD,79,FORT BEND,4,N,N,Needs Substantial Intervention, 
080901,MOUNT VERNON ISD,80,FRANKLIN,8,N,N,Meets Requirements, 
081902,FAIRFIELD ISD,81,FREESTONE,12,N,N,Meets Requirements, 
081904,TEAGUE ISD,81,FREESTONE,12,N,N,Needs Assistance, 
081905,WORTHAM ISD,81,FREESTONE,12,N,N,Meets Requirements, 
081906,DEW ISD,81,FREESTONE,12,N,N,Meets Requirements, 
082902,DILLEY ISD,82,FRIO,20,N,N,Needs Assistance, 
082903,PEARSALL ISD,82,FRIO,20,N,N,Needs Assistance, 
083901,SEAGRAVES ISD,83,GAINES,17,N,N,Meets Requirements, 
083902,LOOP ISD,83,GAINES,17,N,N,Meets Requirements, 
083903,SEMINOLE ISD,83,GAINES,17,N,N,Meets Requirements, 
084802,ODYSSEY ACADEMY INC,84,GALVESTON,4,Y,N,Meets Requirements, 
084804,AMBASSADORS PREPARATORY ACADEMY,84,GALVESTON,4,Y,N,Meets Requirements, 
084901,DICKINSON ISD,84,GALVESTON,4,N,N,Needs Substantial Intervention, 
084902,GALVESTON ISD,84,GALVESTON,4,N,N,Needs Intervention, 
084903,HIGH ISLAND ISD,84,GALVESTON,5,N,N,Meets Requirements, 
084906,TEXAS CITY ISD,84,GALVESTON,4,N,N,Needs Assistance, 
084908,HITCHCOCK ISD,84,GALVESTON,4,N,N,Needs Substantial Intervention, 
084909,SANTA FE ISD,84,GALVESTON,4,N,N,Meets Requirements, 
084910,CLEAR CREEK ISD,84,GALVESTON,4,N,N,Meets Requirements, 
084911,FRIENDSWOOD ISD,84,GALVESTON,4,N,N,Meets Requirements, 
085902,POST ISD,85,GARZA,17,N,N,Meets Requirements, 
085903,SOUTHLAND ISD,85,GARZA,17,N,N,Meets Requirements, 
086024,DOSS CONSOLIDATED CSD,86,GILLESPIE,13,N,N,Meets Requirements, 
086901,FREDERICKSBURG ISD,86,GILLESPIE,13,N,N,Meets Requirements, 
086902,HARPER ISD,86,GILLESPIE,13,N,N,Meets Requirements, 
087901,GLASSCOCK COUNTY ISD,87,GLASSCOCK,18,N,N,Meets Requirements, 
088902,GOLIAD ISD,88,GOLIAD,3,N,N,Needs Intervention, 
089901,GONZALES ISD,89,GONZALES,13,N,N,Meets Requirements, 
089903,NIXON-SMILEY CISD,89,GONZALES,13,N,N,Meets Requirements, 
089905,WAELDER ISD,89,GONZALES,13,N,N,Needs Intervention, 
090902,LEFORS ISD,90,GRAY,16,N,N,Meets Requirements, 
090903,MCLEAN ISD,90,GRAY,16,N,N,Meets Requirements, 
090904,PAMPA ISD,90,GRAY,16,N,N,Needs Assistance, 
090905,GRANDVIEW-HOPKINS ISD,90,GRAY,16,N,N,Meets Requirements, 
091901,BELLS ISD,91,GRAYSON,10,N,N,Meets Requirements, 
091902,COLLINSVILLE ISD,91,GRAYSON,10,N,N,Meets Requirements,ASVAB Test not Offered
091903,DENISON ISD,91,GRAYSON,10,N,N,Needs Assistance, 
091905,HOWE ISD,91,GRAYSON,10,N,N,Meets Requirements, 
091906,SHERMAN ISD,91,GRAYSON,10,N,N,Needs Intervention, 
091907,TIOGA ISD,91,GRAYSON,10,N,N,Meets Requirements, 
091908,VAN ALSTYNE ISD,91,GRAYSON,10,N,N,Meets Requirements, 
091909,WHITESBORO ISD,91,GRAYSON,10,N,N,Meets Requirements, 
091910,WHITEWRIGHT ISD,91,GRAYSON,10,N,N,Meets Requirements, 
091913,POTTSBORO ISD,91,GRAYSON,10,N,N,Meets Requirements, 
091914,S AND S CISD,91,GRAYSON,10,N,N,Meets Requirements, 
091917,GUNTER ISD,91,GRAYSON,10,N,N,Meets Requirements, 
091918,TOM BEAN ISD,91,GRAYSON,10,N,N,Meets Requirements, 
092801,EAST TEXAS CHARTER SCHOOLS,92,GREGG,7,Y,Y,Meets Requirements, 
092901,GLADEWATER ISD,92,GREGG,7,N,N,Needs Assistance, 
092902,KILGORE ISD,92,GREGG,7,N,N,Needs Intervention, 
092903,LONGVIEW ISD,92,GREGG,7,N,N,Needs Assistance, 
092904,PINE TREE ISD,92,GREGG,7,N,N,Needs Assistance, 
092906,SABINE ISD,92,GREGG,7,N,N,Meets Requirements, 
092907,SPRING HILL ISD,92,GREGG,7,N,N,Meets Requirements, 
092908,WHITE OAK ISD,92,GREGG,7,N,N,Meets Requirements, 
093901,ANDERSON-SHIRO CISD,93,GRIMES,6,N,N,Meets Requirements, 
093903,IOLA ISD,93,GRIMES,6,N,N,Meets Requirements, 
093904,NAVASOTA ISD,93,GRIMES,6,N,N,Needs Assistance, 
093905,RICHARDS ISD,93,GRIMES,6,N,N,Meets Requirements, 
094901,SEGUIN ISD,94,GUADALUPE,20,N,N,Meets Requirements, 
094902,SCHERTZ-CIBOLO-U CITY ISD,94,GUADALUPE,20,N,N,Meets Requirements, 
094903,NAVARRO ISD,94,GUADALUPE,20,N,N,Meets Requirements, 
094904,MARION ISD,94,GUADALUPE,20,N,N,Meets Requirements, 
095901,ABERNATHY ISD,95,HALE,17,N,N,Meets Requirements, 
095902,COTTON CENTER ISD,95,HALE,17,N,N,Meets Requirements, 
095903,HALE CENTER ISD,95,HALE,17,N,N,Meets Requirements, 
095904,PETERSBURG ISD,95,HALE,17,N,N,Meets Requirements, 
095905,PLAINVIEW ISD,95,HALE,17,N,N,Meets Requirements, 
096904,MEMPHIS ISD,96,HALL,16,N,N,Meets Requirements, 
096905,TURKEY-QUITAQUE ISD,96,HALL,16,N,N,Meets Requirements, 
097902,HAMILTON ISD,97,HAMILTON,12,N,N,Meets Requirements, 
097903,HICO ISD,97,HAMILTON,12,N,N,Meets Requirements, 
098901,GRUVER ISD,98,HANSFORD,16,N,N,Meets Requirements, 
098903,PRINGLE-MORSE CISD,98,HANSFORD,16,N,N,Meets Requirements, 
098904,SPEARMAN ISD,98,HANSFORD,16,N,N,Meets Requirements, 
099902,CHILLICOTHE ISD,99,HARDEMAN,9,N,N,Meets Requirements, 
099903,QUANAH ISD,99,HARDEMAN,9,N,N,Meets Requirements, 
100903,KOUNTZE ISD,100,HARDIN,5,N,N,Meets Requirements, 
100904,SILSBEE ISD,100,HARDIN,5,N,N,Needs Substantial Intervention, 
100905,HARDIN-JEFFERSON ISD,100,HARDIN,5,N,N,Meets Requirements, 
100907,LUMBERTON ISD,100,HARDIN,5,N,N,Meets Requirements, 
100908,WEST HARDIN COUNTY CISD,100,HARDIN,5,N,N,Meets Requirements, 
101802,SER-NINOS CHARTER SCHOOL,101,HARRIS,4,Y,N,Meets Requirements, 
101803,ARISTOI CLASSICAL ACADEMY,101,HARRIS,4,Y,N,Meets Requirements, 
101804,GEORGE I SANCHEZ CHARTER,101,HARRIS,4,Y,Y,Meets Requirements, 
101806,RAUL YZAGUIRRE SCHOOLS FOR SUCCESS,101,HARRIS,4,Y,N,Meets Requirements, 
101807,UNIVERSITY OF HOUSTON CHARTER SCHO,101,HARRIS,4,Y,N,Meets Requirements, 
101810,ACADEMY OF ACCELERATED LEARNING IN,101,HARRIS,4,Y,N,Meets Requirements, 
101811,EXCEL ACADEMY,101,HARRIS,4,Y,Y,Meets Requirements, 
101814,THE VARNETT PUBLIC SCHOOL,101,HARRIS,4,Y,N,Meets Requirements, 
101815,ALIEF MONTESSORI COMMUNITY SCHOOL,101,HARRIS,4,Y,N,Meets Requirements, 
101819,AMIGOS POR VIDA-FRIENDS FOR LIFE P,101,HARRIS,4,Y,N,Meets Requirements, 
101821,HOUSTON HEIGHTS HIGH SCHOOL,101,HARRIS,4,Y,Y,Meets Requirements, 
101828,HOUSTON GATEWAY ACADEMY INC,101,HARRIS,4,Y,N,Meets Requirements,ASVAB Test not Offered
101837,CALVIN NELMS CHARTER SCHOOLS,101,HARRIS,4,Y,N,Meets Requirements, 
101838,SOUTHWEST SCHOOL,101,HARRIS,4,Y,N,Meets Requirements, 
101840,TWO DIMENSIONS PREPARATORY ACADEMY,101,HARRIS,4,Y,N,Meets Requirements, 
101842,COMQUEST ACADEMY,101,HARRIS,4,Y,Y,Meets Requirements, 
101845,YES PREP PUBLIC SCHOOLS INC,101,HARRIS,4,Y,N,Needs Intervention, 
101846,HARMONY SCIENCE ACADEMY,101,HARRIS,4,Y,N,Meets Requirements, 
101847,BEATRICE MAYES INSTITUTE CHARTER S,101,HARRIS,4,Y,N,Meets Requirements, 
101849,ACCELERATED INTERMEDIATE ACADEMY,101,HARRIS,4,Y,N,Meets Requirements, 
101853,PROMISE COMMUNITY SCHOOL,101,HARRIS,4,Y,N,Meets Requirements, 
101855,MEYERPARK ELEMENTARY,101,HARRIS,4,Y,N,Meets Requirements, 
101856,DRAW ACADEMY,101,HARRIS,4,Y,N,Meets Requirements, 
101858,HARMONY SCHOOL OF EXCELLENCE,101,HARRIS,4,Y,N,Needs Assistance, 
101859,STEP CHARTER SCHOOL,101,HARRIS,4,Y,N,Meets Requirements, 
101861,THE RHODES SCHOOL,101,HARRIS,4,Y,N,Meets Requirements, 
101862,HARMONY SCHOOL OF SCIENCE - HOUSTO,101,HARRIS,4,Y,N,Meets Requirements, 
101864,THE LAWSON ACADEMY,101,HARRIS,4,Y,Y,Meets Requirements, 
101868,THE PRO-VISION ACADEMY,101,HARRIS,4,Y,Y,Needs Assistance, 
101870,BETA ACADEMY,101,HARRIS,4,Y,N,Meets Requirements,ASVAB Test not Offered
101871,A+ UNLIMITED POTENTIAL,101,HARRIS,4,Y,N,Meets Requirements, 
101872,ETOILE ACADEMY CHARTER SCHOOL,101,HARRIS,4,Y,N,Meets Requirements, 
101873,YELLOWSTONE COLLEGE PREPARATORY,101,HARRIS,4,Y,N,Meets Requirements, 
101874,LEGACY SCHOOL OF SPORT SCIENCES,101,HARRIS,4,Y,N,Meets Requirements,ASVAB Test not Offered
101875,BLOOM ACADEMY CHARTER SCHOOL,101,HARRIS,4,Y,N,Meets Requirements, 
101876,REVE PREPARATORY CHARTER SCHOOL,101,HARRIS,4,Y,N,Meets Requirements, 
101902,ALDINE ISD,101,HARRIS,4,N,N,Needs Substantial Intervention, 
101903,ALIEF ISD,101,HARRIS,4,N,N,Needs Intervention, 
101905,CHANNELVIEW ISD,101,HARRIS,4,N,N,Meets Requirements, 
101906,CROSBY ISD,101,HARRIS,4,N,N,Needs Assistance, 
101907,CYPRESS-FAIRBANKS ISD,101,HARRIS,4,N,N,Needs Assistance, 
101908,DEER PARK ISD,101,HARRIS,4,N,N,Meets Requirements, 
101910,GALENA PARK ISD,101,HARRIS,4,N,N,Needs Intervention, 
101911,GOOSE CREEK CISD,101,HARRIS,4,N,N,Needs Intervention, 
101912,HOUSTON ISD,101,HARRIS,4,N,N,Needs Substantial Intervention, 
101913,HUMBLE ISD,101,HARRIS,4,N,N,Needs Assistance, 
101914,KATY ISD,101,HARRIS,4,N,N,Meets Requirements, 
101915,KLEIN ISD,101,HARRIS,4,N,N,Meets Requirements, 
101916,LA PORTE ISD,101,HARRIS,4,N,N,Meets Requirements, 
101917,PASADENA ISD,101,HARRIS,4,N,N,Needs Intervention, 
101919,SPRING ISD,101,HARRIS,4,N,N,Needs Substantial Intervention, 
101920,SPRING BRANCH ISD,101,HARRIS,4,N,N,Needs Assistance, 
101921,TOMBALL ISD,101,HARRIS,4,N,N,Meets Requirements, 
101924,SHELDON ISD,101,HARRIS,4,N,N,Meets Requirements, 
101925,HUFFMAN ISD,101,HARRIS,4,N,N,Meets Requirements, 
102901,KARNACK ISD,102,HARRISON,7,N,N,Meets Requirements, 
102902,MARSHALL ISD,102,HARRISON,7,N,N,Needs Substantial Intervention, 
102903,WASKOM ISD,102,HARRISON,7,N,N,Needs Assistance, 
102904,HALLSVILLE ISD,102,HARRISON,7,N,N,Meets Requirements, 
102905,HARLETON ISD,102,HARRISON,7,N,N,Meets Requirements, 
102906,ELYSIAN FIELDS ISD,102,HARRISON,7,N,N,Meets Requirements, 
103901,CHANNING ISD,103,HARTLEY,16,N,N,Meets Requirements, 
103902,HARTLEY ISD,103,HARTLEY,16,N,N,Meets Requirements,ASVAB Alternative Test Offered
104901,HASKELL CISD,104,HASKELL,14,N,N,Meets Requirements, 
104903,RULE ISD,104,HASKELL,14,N,N,Meets Requirements, 
104907,PAINT CREEK ISD,104,HASKELL,14,N,N,Meets Requirements,ASVAB Alternative Test Offered
105801,KATHERINE ANNE PORTER SCHOOL,105,HAYS,13,Y,N,Needs Intervention,ASVAB Alternative Test Offered
105802,TEXAS PREPARATORY SCHOOL,105,HAYS,13,Y,N,Meets Requirements, 
105803,KI CHARTER ACADEMY,105,HAYS,13,Y,Y,Meets Requirements, 
105902,SAN MARCOS CISD,105,HAYS,13,N,N,Meets Requirements, 
105904,DRIPPING SPRINGS ISD,105,HAYS,13,N,N,Meets Requirements, 
105905,WIMBERLEY ISD,105,HAYS,13,N,N,Meets Requirements,ASVAB Alternative Test Offered
105906,HAYS CISD,105,HAYS,13,N,N,Meets Requirements, 
106901,CANADIAN ISD,106,HEMPHILL,16,N,N,Meets Requirements, 
107901,ATHENS ISD,107,HENDERSON,10,N,N,Meets Requirements, 
107902,BROWNSBORO ISD,107,HENDERSON,7,N,N,Meets Requirements, 
107904,CROSS ROADS ISD,107,HENDERSON,7,N,N,Meets Requirements, 
107905,EUSTACE ISD,107,HENDERSON,7,N,N,Meets Requirements, 
107906,MALAKOFF ISD,107,HENDERSON,7,N,N,Needs Assistance, 
107907,TRINIDAD ISD,107,HENDERSON,7,N,N,Meets Requirements, 
107908,MURCHISON ISD,107,HENDERSON,7,N,N,Meets Requirements, 
107910,LAPOYNOR ISD,107,HENDERSON,7,N,N,Meets Requirements, 
108802,HORIZON MONTESSORI PUBLIC SCHOOLS,108,HIDALGO,1,Y,N,Meets Requirements, 
108804,TRIUMPH PUBLIC HIGH SCHOOLS-RIO GR,108,HIDALGO,1,Y,Y,Meets Requirements, 
108807,IDEA PUBLIC SCHOOLS,108,HIDALGO,1,Y,N,Meets Requirements, 
108808,VANGUARD ACADEMY,108,HIDALGO,1,Y,N,Meets Requirements, 
108809,EXCELLENCE IN LEADERSHIP ACADEMY,108,HIDALGO,1,Y,N,Meets Requirements, 
108902,DONNA ISD,108,HIDALGO,1,N,N,Needs Substantial Intervention, 
108903,EDCOUCH-ELSA ISD,108,HIDALGO,1,N,N,Needs Assistance, 
108904,EDINBURG CISD,108,HIDALGO,1,N,N,Needs Assistance, 
108905,HIDALGO ISD,108,HIDALGO,1,N,N,Meets Requirements, 
108906,MCALLEN ISD,108,HIDALGO,1,N,N,Needs Assistance, 
108907,MERCEDES ISD,108,HIDALGO,1,N,N,Meets Requirements, 
108908,MISSION CISD,108,HIDALGO,1,N,N,Needs Assistance, 
108909,PHARR-SAN JUAN-ALAMO ISD,108,HIDALGO,1,N,N,Meets Requirements, 
108910,PROGRESO ISD,108,HIDALGO,1,N,N,Needs Assistance, 
108911,SHARYLAND ISD,108,HIDALGO,1,N,N,Meets Requirements, 
108912,LA JOYA ISD,108,HIDALGO,1,N,N,Needs Substantial Intervention, 
108913,WESLACO ISD,108,HIDALGO,1,N,N,Meets Requirements, 
108914,LA VILLA ISD,108,HIDALGO,1,N,N,Meets Requirements, 
108915,MONTE ALTO ISD,108,HIDALGO,1,N,N,Meets Requirements, 
108916,VALLEY VIEW ISD,108,HIDALGO,1,N,N,Meets Requirements, 
109901,ABBOTT ISD,109,HILL,12,N,N,Meets Requirements, 
109902,BYNUM ISD,109,HILL,12,N,N,Meets Requirements, 
109903,COVINGTON ISD,109,HILL,12,N,N,Meets Requirements, 
109904,HILLSBORO ISD,109,HILL,12,N,N,Meets Requirements, 
109905,HUBBARD ISD,109,HILL,12,N,N,Meets Requirements, 
109907,ITASCA ISD,109,HILL,12,N,N,Meets Requirements, 
109908,MALONE ISD,109,HILL,12,N,N,Meets Requirements, 
109910,MOUNT CALM ISD,109,HILL,12,N,N,Meets Requirements, 
109911,WHITNEY ISD,109,HILL,12,N,N,Needs Assistance, 
109912,AQUILLA ISD,109,HILL,12,N,N,Meets Requirements, 
109913,BLUM ISD,109,HILL,12,N,N,Meets Requirements, 
109914,PENELOPE ISD,109,HILL,12,N,N,Meets Requirements, 
110901,ANTON ISD,110,HOCKLEY,17,N,N,Meets Requirements, 
110902,LEVELLAND ISD,110,HOCKLEY,17,N,N,Needs Substantial Intervention, 
110905,ROPES ISD,110,HOCKLEY,17,N,N,Meets Requirements, 
110906,SMYER ISD,110,HOCKLEY,17,N,N,Meets Requirements, 
110907,SUNDOWN ISD,110,HOCKLEY,17,N,N,Meets Requirements,ASVAB Alternative Test Offered
110908,WHITHARRAL ISD,110,HOCKLEY,17,N,N,Meets Requirements, 
111801,LAKE GRANBURY ACADEMY CHARTER SCHO,111,HOOD,11,Y,Y,Meets Requirements,ASVAB Test not Offered
111901,GRANBURY ISD,111,HOOD,11,N,N,Needs Intervention, 
111902,LIPAN ISD,111,HOOD,11,N,N,Meets Requirements, 
111903,TOLAR ISD,111,HOOD,11,N,N,Meets Requirements, 
112901,SULPHUR SPRINGS ISD,112,HOPKINS,8,N,N,Needs Assistance, 
112905,CUMBY ISD,112,HOPKINS,8,N,N,Meets Requirements, 
112906,NORTH HOPKINS ISD,112,HOPKINS,8,N,N,Meets Requirements, 
112907,MILLER GROVE ISD,112,HOPKINS,8,N,N,Meets Requirements, 
112908,COMO-PICKTON CISD,112,HOPKINS,8,N,N,Meets Requirements, 
112909,SALTILLO ISD,112,HOPKINS,8,N,N,Meets Requirements, 
112910,SULPHUR BLUFF ISD,112,HOPKINS,8,N,N,Meets Requirements, 
113901,CROCKETT ISD,113,HOUSTON,6,N,N,Meets Requirements, 
113902,GRAPELAND ISD,113,HOUSTON,6,N,N,Meets Requirements, 
113903,LOVELADY ISD,113,HOUSTON,6,N,N,Meets Requirements, 
113905,LATEXO ISD,113,HOUSTON,6,N,N,Meets Requirements, 
113906,KENNARD ISD,113,HOUSTON,6,N,N,Meets Requirements, 
114901,BIG SPRING ISD,114,HOWARD,18,N,N,Meets Requirements, 
114902,COAHOMA ISD,114,HOWARD,18,N,N,Meets Requirements, 
114904,FORSAN ISD,114,HOWARD,18,N,N,Meets Requirements, 
115901,FT HANCOCK ISD,115,HUDSPETH,19,N,N,Meets Requirements, 
115902,SIERRA BLANCA ISD,115,HUDSPETH,19,N,N,Meets Requirements, 
115903,DELL CITY ISD,115,HUDSPETH,19,N,N,Meets Requirements, 
116901,CADDO MILLS ISD,116,HUNT,10,N,N,Meets Requirements, 
116902,CELESTE ISD,116,HUNT,10,N,N,Meets Requirements, 
116903,COMMERCE ISD,116,HUNT,10,N,N,Needs Assistance, 
116905,GREENVILLE ISD,116,HUNT,10,N,N,Needs Assistance, 
116906,LONE OAK ISD,116,HUNT,10,N,N,Meets Requirements, 
116908,QUINLAN ISD,116,HUNT,10,N,N,Needs Assistance, 
116909,WOLFE CITY ISD,116,HUNT,10,N,N,Meets Requirements, 
116910,CAMPBELL ISD,116,HUNT,10,N,N,Meets Requirements, 
116915,BLAND ISD,116,HUNT,10,N,N,Meets Requirements,ASVAB Test not Offered
116916,BOLES ISD,116,HUNT,10,N,N,Meets Requirements, 
117901,BORGER ISD,117,HUTCHINSON,16,N,N,Needs Assistance, 
117903,SANFORD-FRITCH ISD,117,HUTCHINSON,16,N,N,Meets Requirements, 
117904,PLEMONS-STINNETT-PHILLIPS CISD,117,HUTCHINSON,16,N,N,Meets Requirements, 
117907,SPRING CREEK ISD,117,HUTCHINSON,16,N,N,Meets Requirements, 
118902,IRION COUNTY ISD,118,IRION,15,N,N,Meets Requirements, 
119901,BRYSON ISD,119,JACK,9,N,N,Meets Requirements, 
119902,JACKSBORO ISD,119,JACK,9,N,N,Meets Requirements, 
119903,PERRIN-WHITT CISD,119,JACK,9,N,N,Meets Requirements, 
120901,EDNA ISD,120,JACKSON,3,N,N,Meets Requirements, 
120902,GANADO ISD,120,JACKSON,3,N,N,Meets Requirements, 
120905,INDUSTRIAL ISD,120,JACKSON,3,N,N,Meets Requirements, 
121902,BROOKELAND ISD,121,JASPER,5,N,N,Needs Assistance, 
121903,BUNA ISD,121,JASPER,5,N,N,Meets Requirements, 
121904,JASPER ISD,121,JASPER,5,N,N,Needs Intervention, 
121905,KIRBYVILLE CISD,121,JASPER,5,N,N,Needs Assistance, 
121906,EVADALE ISD,121,JASPER,5,N,N,Meets Requirements, 
122901,FT DAVIS ISD,122,JEFF DAVIS,18,N,N,Meets Requirements, 
122902,VALENTINE ISD,122,JEFF DAVIS,18,N,N,Meets Requirements, 
123803,TEKOA ACADEMY OF ACCELERATED STUDI,123,JEFFERSON,5,Y,N,Meets Requirements, 
123805,EHRHART SCHOOL,123,JEFFERSON,5,Y,N,Meets Requirements, 
123807,BOB HOPE SCHOOL,123,JEFFERSON,5,Y,N,Meets Requirements, 
123905,NEDERLAND ISD,123,JEFFERSON,5,N,N,Meets Requirements, 
123907,PORT ARTHUR ISD,123,JEFFERSON,5,N,N,Needs Intervention, 
123908,PORT NECHES-GROVES ISD,123,JEFFERSON,5,N,N,Needs Assistance, 
123910,BEAUMONT ISD,123,JEFFERSON,5,N,N,Needs Substantial Intervention, 
123913,SABINE PASS ISD,123,JEFFERSON,5,N,N,Meets Requirements, 
123914,HAMSHIRE-FANNETT ISD,123,JEFFERSON,5,N,N,Meets Requirements, 
124901,JIM HOGG COUNTY ISD,124,JIM HOGG,1,N,N,Meets Requirements, 
125901,ALICE ISD,125,JIM WELLS,2,N,N,Meets Requirements, 
125902,BEN BOLT-PALITO BLANCO ISD,125,JIM WELLS,2,N,N,Meets Requirements, 
125903,ORANGE GROVE ISD,125,JIM WELLS,2,N,N,Needs Assistance, 
125905,PREMONT ISD,125,JIM WELLS,2,N,N,Meets Requirements,ASVAB Alternative Test Offered
125906,LA GLORIA ISD,125,JIM WELLS,2,N,N,Meets Requirements, 
126801,KAUFFMAN LEADERSHIP ACADEMY,126,JOHNSON,11,Y,N,Needs Intervention,ASVAB Alternative Test Offered
126901,ALVARADO ISD,126,JOHNSON,11,N,N,Meets Requirements, 
126902,BURLESON ISD,126,JOHNSON,11,N,N,Meets Requirements, 
126903,CLEBURNE ISD,126,JOHNSON,11,N,N,Meets Requirements, 
126904,GRANDVIEW ISD,126,JOHNSON,11,N,N,Meets Requirements, 
126905,JOSHUA ISD,126,JOHNSON,11,N,N,Meets Requirements, 
126906,KEENE ISD,126,JOHNSON,11,N,N,Meets Requirements, 
126907,RIO VISTA ISD,126,JOHNSON,11,N,N,Meets Requirements, 
126908,VENUS ISD,126,JOHNSON,11,N,N,Meets Requirements, 
126911,GODLEY ISD,126,JOHNSON,11,N,N,Meets Requirements, 
127901,ANSON ISD,127,JONES,14,N,N,Meets Requirements, 
127903,HAMLIN COLLEGIATE ISD,127,JONES,14,N,N,Meets Requirements, 
127904,HAWLEY ISD,127,JONES,14,N,N,Meets Requirements, 
127905,LUEDERS-AVOCA ISD,127,JONES,14,N,N,Meets Requirements, 
127906,STAMFORD ISD,127,JONES,14,N,N,Needs Assistance, 
128901,KARNES CITY ISD,128,KARNES,3,N,N,Meets Requirements, 
128902,KENEDY ISD,128,KARNES,3,N,N,Meets Requirements, 
128903,RUNGE ISD,128,KARNES,3,N,N,Meets Requirements, 
128904,FALLS CITY ISD,128,KARNES,20,N,N,Meets Requirements, 
