DISTRICT,DISTNAME,COUNTY,CNTYNAME,REGION,DFLCHART,DFLALTED,OUTCOME,ASVAB_STATUS,DISTNAME_CLEAN
57904,CEDAR HILL ISD,57,DALLAS,10,N,N,Meets Requirements, ,Cedar Hill ISD
57905,DALLAS ISD,57,DALLAS,10,N,N,Needs Assistance, ,Dallas ISD
57906,DESOTO ISD,57,DALLAS,10,N,N,Needs Intervention, ,Desoto ISD
57907,DUNCANVILLE ISD,57,DALLAS,10,N,N,Needs Intervention, ,Duncanville ISD
57909,GARLAND ISD,57,DALLAS,10,N,N,Meets Requirements, ,Garland ISD
57910,GRAND PRAIRIE ISD,57,DALLAS,10,N,N,Meets Requirements, ,Grand Prairie ISD
57911,HIGHLAND PARK ISD,57,DALLAS,10,N,N,Meets Requirements, ,Highland Park ISD
57912,IRVING ISD,57,DALLAS,10,N,N,Meets Requirements, ,Irving ISD
57913,LANCASTER ISD,57,DALLAS,10,N,N,Meets Requirements, ,Lancaster ISD
57914,MESQUITE ISD,57,DALLAS,10,N,N,Meets Requirements, ,Mesquite ISD
57916,RICHARDSON ISD,57,DALLAS,10,N,N,Meets Requirements, ,Richardson ISD
57919,SUNNYVALE ISD,57,DALLAS,10,N,N,Meets Requirements, ,Sunnyvale ISD
57922,COPPELL ISD,57,DALLAS,10,N,N,Meets Requirements, ,Coppell ISD
58902,DAWSON ISD,58,DAWSON,17,N,N,Meets Requirements, ,Dawson ISD
58905,KLONDIKE ISD,58,DAWSON,17,N,N,Meets Requirements, ,Klondike ISD
58906,LAMESA ISD,58,DAWSON,17,N,N,Meets Requirements, ,Lamesa ISD
58909,SANDS CISD,58,DAWSON,17,N,N,Meets Requirements, ,Sands CISD
59901,HEREFORD ISD,59,DEAF SMITH,16,N,N,Meets Requirements, ,Hereford ISD
59902,WALCOTT ISD,59,DEAF SMITH,16,N,N,Meets Requirements, ,Walcott ISD
60902,COOPER ISD,60,DELTA,8,N,N,Needs Assistance, ,Cooper ISD
60914,FANNINDEL ISD,60,DELTA,8,N,N,Meets Requirements, ,Fannindel ISD
61802,NORTH TEXAS COLLEGIATE ACADEMY,61,DENTON,11,Y,N,Meets Requirements, ,North Texas Collegiate Academy
61804,LEADERSHIP PREP SCHOOL,61,DENTON,10,Y,N,Meets Requirements, ,Leadership Prep School
61805,TRIVIUM ACADEMY,61,DENTON,11,Y,N,Meets Requirements, ,Trivium Academy
61901,DENTON ISD,61,DENTON,11,N,N,Meets Requirements, ,Denton ISD
61902,LEWISVILLE ISD,61,DENTON,11,N,N,Meets Requirements, ,Lewisville ISD
61903,PILOT POINT ISD,61,DENTON,11,N,N,Meets Requirements, ,Pilot Point ISD
61905,KRUM ISD,61,DENTON,11,N,N,Meets Requirements, ,Krum ISD
61906,PONDER ISD,61,DENTON,11,N,N,Meets Requirements, ,Ponder ISD
61907,AUBREY ISD,61,DENTON,11,N,N,Meets Requirements, ,Aubrey ISD
61908,SANGER ISD,61,DENTON,11,N,N,Meets Requirements, ,Sanger ISD
61910,ARGYLE ISD,61,DENTON,11,N,N,Meets Requirements, ,Argyle ISD
61911,NORTHWEST ISD,61,DENTON,11,N,N,Meets Requirements, ,Northwest ISD
61912,LAKE DALLAS ISD,61,DENTON,11,N,N,Meets Requirements, ,Lake Dallas ISD
61914,LITTLE ELM ISD,61,DENTON,11,N,N,Meets Requirements, ,Little Elm ISD
62901,CUERO ISD,62,DEWITT,3,N,N,Meets Requirements, ,Cuero ISD
62902,NORDHEIM ISD,62,DEWITT,3,N,N,Meets Requirements, ,Nordheim ISD
62903,YOAKUM ISD,62,DEWITT,3,N,N,Needs Assistance, ,Yoakum ISD
62904,YORKTOWN ISD,62,DEWITT,3,N,N,Meets Requirements, ,Yorktown ISD
62905,WESTHOFF ISD,62,DEWITT,3,N,N,Meets Requirements, ,Westhoff ISD
62906,MEYERSVILLE ISD,62,DEWITT,3,N,N,Meets Requirements, ,Meyersville ISD
63903,SPUR ISD,63,DICKENS,17,N,N,Meets Requirements, ,Spur ISD
63906,PATTON SPRINGS ISD,63,DICKENS,17,N,N,Meets Requirements, ,Patton Springs ISD
64903,CARRIZO SPRINGS CISD,64,DIMMIT,20,N,N,Meets Requirements, ,Carrizo Springs CISD
65901,CLARENDON ISD,65,DONLEY,16,N,N,Meets Requirements, ,Clarendon ISD
65902,HEDLEY ISD,65,DONLEY,16,N,N,Meets Requirements, ,Hedley ISD
66005,RAMIREZ CSD,66,DUVAL,2,N,N,Meets Requirements, ,Ramirez CSD
66901,BENAVIDES ISD,66,DUVAL,2,N,N,Meets Requirements, ,Benavides ISD
66902,SAN DIEGO ISD,66,DUVAL,2,N,N,Meets Requirements, ,San Diego ISD
66903,FREER ISD,66,DUVAL,2,N,N,Meets Requirements, ,Freer ISD
67902,CISCO ISD,67,EASTLAND,14,N,N,Meets Requirements, ,Cisco ISD
67903,EASTLAND ISD,67,EASTLAND,14,N,N,Meets Requirements, ,Eastland ISD
67904,GORMAN ISD,67,EASTLAND,14,N,N,Meets Requirements, ,Gorman ISD
67907,RANGER ISD,67,EASTLAND,14,N,N,Meets Requirements, ,Ranger ISD
67908,RISING STAR ISD,67,EASTLAND,14,N,N,Meets Requirements, ,Rising Star ISD
68802,COMPASS ACADEMY CHARTER SCHOOL,68,ECTOR,18,Y,N,Meets Requirements,ASVAB Test not Offered,Compass Academy Charter School
68803,UTPB STEM ACADEMY,68,ECTOR,18,Y,N,Meets Requirements, ,Utpb Stem Academy
68901,ECTOR COUNTY ISD,68,ECTOR,18,N,N,Needs Intervention, ,Ector County ISD
69901,ROCKSPRINGS ISD,69,EDWARDS,15,N,N,Meets Requirements, ,Rocksprings ISD
69902,NUECES CANYON CISD,69,EDWARDS,15,N,N,Meets Requirements, ,Nueces Canyon CISD
70801,WAXAHACHIE FAITH FAMILY ACADEMY,70,ELLIS,10,Y,Y,Meets Requirements, ,Waxahachie Faith Family Academy
70901,AVALON ISD,70,ELLIS,10,N,N,Meets Requirements, ,Avalon ISD
70903,ENNIS ISD,70,ELLIS,10,N,N,Meets Requirements, ,Ennis ISD
70905,FERRIS ISD,70,ELLIS,10,N,N,Needs Assistance, ,Ferris ISD
70907,ITALY ISD,70,ELLIS,10,N,N,Meets Requirements, ,Italy ISD
70908,MIDLOTHIAN ISD,70,ELLIS,10,N,N,Meets Requirements, ,Midlothian ISD
70909,MILFORD ISD,70,ELLIS,10,N,N,Meets Requirements, ,Milford ISD
70910,PALMER ISD,70,ELLIS,10,N,N,Meets Requirements, ,Palmer ISD
70911,RED OAK ISD,70,ELLIS,10,N,N,Needs Assistance, ,Red Oak ISD
70912,WAXAHACHIE ISD,70,ELLIS,10,N,N,Needs Assistance, ,Waxahachie ISD
70915,MAYPEARL ISD,70,ELLIS,10,N,N,Meets Requirements, ,Maypearl ISD
71801,BURNHAM WOOD CHARTER SCHOOL DISTRI,71,EL PASO,19,Y,N,Meets Requirements, ,Burnham Wood Charter School Distri
71803,TRIUMPH PUBLIC HIGH SCHOOLS-EL PAS,71,EL PASO,19,Y,Y,Meets Requirements, ,Triumph Public High Schools-El Pas
71804,EL PASO ACADEMY,71,EL PASO,19,Y,Y,Needs Assistance, ,El Paso Academy
71806,HARMONY SCIENCE ACAD (EL PASO),71,EL PASO,19,Y,N,Meets Requirements, ,Harmony Science Acad (El Paso)
71807,LA FE PREPARATORY SCHOOL,71,EL PASO,19,Y,N,Meets Requirements, ,La Fe Preparatory School
71809,VISTA DEL FUTURO CHARTER SCHOOL,71,EL PASO,19,Y,N,Meets Requirements, ,Vista Del Futuro Charter School
71810,EL PASO LEADERSHIP ACADEMY,71,EL PASO,19,Y,N,Meets Requirements, ,El Paso Leadership Academy
71901,CLINT ISD,71,EL PASO,19,N,N,Meets Requirements, ,Clint ISD
71902,EL PASO ISD,71,EL PASO,19,N,N,Needs Assistance, ,El Paso ISD
71903,FABENS ISD,71,EL PASO,19,N,N,Needs Intervention, ,Fabens ISD
71904,SAN ELIZARIO ISD,71,EL PASO,19,N,N,Needs Assistance, ,San Elizario ISD
71905,YSLETA ISD,71,EL PASO,19,N,N,Meets Requirements, ,Ysleta ISD
71906,ANTHONY ISD,71,EL PASO,19,N,N,Meets Requirements, ,Anthony ISD
71907,CANUTILLO ISD,71,EL PASO,19,N,N,Needs Substantial Intervention, ,Canutillo ISD
71908,TORNILLO ISD,71,EL PASO,19,N,N,Meets Requirements, ,Tornillo ISD
71909,SOCORRO ISD,71,EL PASO,19,N,N,Needs Assistance,ASVAB Alternative Test Offered,Socorro ISD
72801,PREMIER HIGH SCHOOLS,72,ERATH,11,Y,Y,Meets Requirements,ASVAB Alternative Test Offered,Premier High Schools
72802,ERATH EXCELS ACADEMY INC,72,ERATH,11,Y,Y,Meets Requirements, ,Erath Excels Academy Inc
72901,THREE WAY ISD,72,ERATH,11,N,N,Meets Requirements,ASVAB Alternative Test Offered,Three Way ISD
72902,DUBLIN ISD,72,ERATH,11,N,N,Meets Requirements, ,Dublin ISD
72903,STEPHENVILLE ISD,72,ERATH,11,N,N,Meets Requirements, ,Stephenville ISD
72904,BLUFF DALE ISD,72,ERATH,11,N,N,Meets Requirements, ,Bluff Dale ISD
72908,HUCKABAY ISD,72,ERATH,11,N,N,Meets Requirements, ,Huckabay ISD
72909,LINGLEVILLE ISD,72,ERATH,11,N,N,Meets Requirements, ,Lingleville ISD
72910,MORGAN MILL ISD,72,ERATH,11,N,N,Meets Requirements, ,Morgan Mill ISD
73901,CHILTON ISD,73,FALLS,12,N,N,Meets Requirements, ,Chilton ISD
73903,MARLIN ISD,73,FALLS,12,N,N,Meets Requirements, ,Marlin ISD
73904,WESTPHALIA ISD,73,FALLS,12,N,N,Meets Requirements, ,Westphalia ISD
73905,ROSEBUD-LOTT ISD,73,FALLS,12,N,N,Meets Requirements, ,Rosebud-Lott ISD
74903,BONHAM ISD,74,FANNIN,10,N,N,Meets Requirements, ,Bonham ISD
74904,DODD CITY ISD,74,FANNIN,10,N,N,Meets Requirements, ,Dodd City ISD
74905,ECTOR ISD,74,FANNIN,10,N,N,Meets Requirements, ,Ector ISD
74907,HONEY GROVE ISD,74,FANNIN,8,N,N,Meets Requirements, ,Honey Grove ISD
74909,LEONARD ISD,74,FANNIN,10,N,N,Meets Requirements, ,Leonard ISD
74911,SAVOY ISD,74,FANNIN,10,N,N,Meets Requirements, ,Savoy ISD
74912,TRENTON ISD,74,FANNIN,10,N,N,Meets Requirements, ,Trenton ISD
74917,SAM RAYBURN ISD,74,FANNIN,10,N,N,Meets Requirements, ,Sam Rayburn ISD
75901,FLATONIA ISD,75,FAYETTE,13,N,N,Meets Requirements, ,Flatonia ISD
75902,LA GRANGE ISD,75,FAYETTE,13,N,N,Meets Requirements, ,La Grange ISD
75903,SCHULENBURG ISD,75,FAYETTE,13,N,N,Meets Requirements, ,Schulenburg ISD
75906,FAYETTEVILLE ISD,75,FAYETTE,13,N,N,Meets Requirements, ,Fayetteville ISD
75908,ROUND TOP-CARMINE ISD,75,FAYETTE,13,N,N,Meets Requirements, ,Round Top-Carmine ISD
76903,ROBY CISD,76,FISHER,14,N,N,Meets Requirements, ,Roby CISD
76904,ROTAN ISD,76,FISHER,14,N,N,Meets Requirements, ,Rotan ISD
77901,FLOYDADA ISD,77,FLOYD,17,N,N,Meets Requirements, ,Floydada ISD
77902,LOCKNEY ISD,77,FLOYD,17,N,N,Meets Requirements, ,Lockney ISD
78901,CROWELL ISD,78,FOARD,9,N,N,Meets Requirements, ,Crowell ISD
79901,LAMAR CISD,79,FORT BEND,4,N,N,Meets Requirements, ,Lamar CISD
79906,NEEDVILLE ISD,79,FORT BEND,4,N,N,Meets Requirements, ,Needville ISD
79907,FORT BEND ISD,79,FORT BEND,4,N,N,Needs Assistance, ,Fort Bend ISD
79910,STAFFORD MSD,79,FORT BEND,4,N,N,Needs Substantial Intervention, ,Stafford Msd
80901,MOUNT VERNON ISD,80,FRANKLIN,8,N,N,Meets Requirements, ,Mount Vernon ISD
81902,FAIRFIELD ISD,81,FREESTONE,12,N,N,Meets Requirements, ,Fairfield ISD
81904,TEAGUE ISD,81,FREESTONE,12,N,N,Needs Assistance, ,Teague ISD
81905,WORTHAM ISD,81,FREESTONE,12,N,N,Meets Requirements, ,Wortham ISD
81906,DEW ISD,81,FREESTONE,12,N,N,Meets Requirements, ,Dew ISD
82902,DILLEY ISD,82,FRIO,20,N,N,Needs Assistance, ,Dilley ISD
82903,PEARSALL ISD,82,FRIO,20,N,N,Needs Assistance, ,Pearsall ISD
83901,SEAGRAVES ISD,83,GAINES,17,N,N,Meets Requirements, ,Seagraves ISD
83902,LOOP ISD,83,GAINES,17,N,N,Meets Requirements, ,Loop ISD
83903,SEMINOLE ISD,83,GAINES,17,N,N,Meets Requirements, ,Seminole ISD
84802,ODYSSEY ACADEMY INC,84,GALVESTON,4,Y,N,Meets Requirements, ,Odyssey Academy Inc
84804,AMBASSADORS PREPARATORY ACADEMY,84,GALVESTON,4,Y,N,Meets Requirements, ,Ambassadors Preparatory Academy
84901,DICKINSON ISD,84,GALVESTON,4,N,N,Needs Substantial Intervention, ,Dickinson ISD
84902,GALVESTON ISD,84,GALVESTON,4,N,N,Needs Intervention, ,Galveston ISD
84903,HIGH ISLAND ISD,84,GALVESTON,5,N,N,Meets Requirements, ,High Island ISD
84906,TEXAS CITY ISD,84,GALVESTON,4,N,N,Needs Assistance, ,Texas City ISD
84908,HITCHCOCK ISD,84,GALVESTON,4,N,N,Needs Substantial Intervention, ,Hitchcock ISD
84909,SANTA FE ISD,84,GALVESTON,4,N,N,Meets Requirements, ,Santa Fe ISD
84910,CLEAR CREEK ISD,84,GALVESTON,4,N,N,Meets Requirements, ,Clear Creek ISD
84911,FRIENDSWOOD ISD,84,GALVESTON,4,N,N,Meets Requirements, ,Friendswood ISD
85902,POST ISD,85,GARZA,17,N,N,Meets Requirements, ,Post ISD
85903,SOUTHLAND ISD,85,GARZA,17,N,N,Meets Requirements, ,Southland ISD
86024,DOSS CONSOLIDATED CSD,86,GILLESPIE,13,N,N,Meets Requirements, ,Doss Consolidated CSD
86901,FREDERICKSBURG ISD,86,GILLESPIE,13,N,N,Meets Requirements, ,Fredericksburg ISD
86902,HARPER ISD,86,GILLESPIE,13,N,N,Meets Requirements, ,Harper ISD
87901,GLASSCOCK COUNTY ISD,87,GLASSCOCK,18,N,N,Meets Requirements, ,Glasscock County ISD
88902,GOLIAD ISD,88,GOLIAD,3,N,N,Needs Intervention, ,Goliad ISD
89901,GONZALES ISD,89,GONZALES,13,N,N,Meets Requirements, ,Gonzales ISD
89903,NIXON-SMILEY CISD,89,GONZALES,13,N,N,Meets Requirements, ,Nixon-Smiley CISD
89905,WAELDER ISD,89,GONZALES,13,N,N,Needs Intervention, ,Waelder ISD
90902,LEFORS ISD,90,GRAY,16,N,N,Meets Requirements, ,Lefors ISD
90903,MCLEAN ISD,90,GRAY,16,N,N,Meets Requirements, ,McLean ISD
90904,PAMPA ISD,90,GRAY,16,N,N,Needs Assistance, ,Pampa ISD
90905,GRANDVIEW-HOPKINS ISD,90,GRAY,16,N,N,Meets Requirements, ,Grandview-Hopkins ISD
91901,BELLS ISD,91,GRAYSON,10,N,N,Meets Requirements, ,Bells ISD
91902,COLLINSVILLE ISD,91,GRAYSON,10,N,N,Meets Requirements,ASVAB Test not Offered,Collinsville ISD
91903,DENISON ISD,91,GRAYSON,10,N,N,Needs Assistance, ,Denison ISD
91905,HOWE ISD,91,GRAYSON,10,N,N,Meets Requirements, ,Howe ISD
91906,SHERMAN ISD,91,GRAYSON,10,N,N,Needs Intervention, ,Sherman ISD
91907,TIOGA ISD,91,GRAYSON,10,N,N,Meets Requirements, ,Tioga ISD
91908,VAN ALSTYNE ISD,91,GRAYSON,10,N,N,Meets Requirements, ,Van Alstyne ISD
91909,WHITESBORO ISD,91,GRAYSON,10,N,N,Meets Requirements, ,Whitesboro ISD
91910,WHITEWRIGHT ISD,91,GRAYSON,10,N,N,Meets Requirements, ,Whitewright ISD
91913,POTTSBORO ISD,91,GRAYSON,10,N,N,Meets Requirements, ,Pottsboro ISD
91914,S AND S CISD,91,GRAYSON,10,N,N,Meets Requirements, ,S And S CISD
91917,GUNTER ISD,91,GRAYSON,10,N,N,Meets Requirements, ,Gunter ISD
91918,TOM BEAN ISD,91,GRAYSON,10,N,N,Meets Requirements, ,Tom Bean ISD
92801,EAST TEXAS CHARTER SCHOOLS,92,GREGG,7,Y,Y,Meets Requirements, ,East Texas Charter Schools
92901,GLADEWATER ISD,92,GREGG,7,N,N,Needs Assistance, ,Gladewater ISD
92902,KILGORE ISD,92,GREGG,7,N,N,Needs Intervention, ,Kilgore ISD
92903,LONGVIEW ISD,92,GREGG,7,N,N,Needs Assistance, ,Longview ISD
92904,PINE TREE ISD,92,GREGG,7,N,N,Needs Assistance, ,Pine Tree ISD
92906,SABINE ISD,92,GREGG,7,N,N,Meets Requirements, ,Sabine ISD
92907,SPRING HILL ISD,92,GREGG,7,N,N,Meets Requirements, ,Spring Hill ISD
92908,WHITE OAK ISD,92,GREGG,7,N,N,Meets Requirements, ,White Oak ISD
93901,ANDERSON-SHIRO CISD,93,GRIMES,6,N,N,Meets Requirements, ,Anderson-Shiro CISD
93903,IOLA ISD,93,GRIMES,6,N,N,Meets Requirements, ,Iola ISD
93904,NAVASOTA ISD,93,GRIMES,6,N,N,Needs Assistance, ,Navasota ISD
93905,RICHARDS ISD,93,GRIMES,6,N,N,Meets Requirements, ,Richards ISD
94901,SEGUIN ISD,94,GUADALUPE,20,N,N,Meets Requirements, ,Seguin ISD
94902,SCHERTZ-CIBOLO-U CITY ISD,94,GUADALUPE,20,N,N,Meets Requirements, ,Schertz-Cibolo-U City ISD
94903,NAVARRO ISD,94,GUADALUPE,20,N,N,Meets Requirements, ,Navarro ISD
94904,MARION ISD,94,GUADALUPE,20,N,N,Meets Requirements, ,Marion ISD
95901,ABERNATHY ISD,95,HALE,17,N,N,Meets Requirements, ,Abernathy ISD
95902,COTTON CENTER ISD,95,HALE,17,N,N,Meets Requirements, ,Cotton Center ISD
95903,HALE CENTER ISD,95,HALE,17,N,N,Meets Requirements, ,Hale Center ISD
95904,PETERSBURG ISD,95,HALE,17,N,N,Meets Requirements, ,Petersburg ISD
95905,PLAINVIEW ISD,95,HALE,17,N,N,Meets Requirements, ,Plainview ISD
96904,MEMPHIS ISD,96,HALL,16,N,N,Meets Requirements, ,Memphis ISD
96905,TURKEY-QUITAQUE ISD,96,HALL,16,N,N,Meets Requirements, ,Turkey-Quitaque ISD
97902,HAMILTON ISD,97,HAMILTON,12,N,N,Meets Requirements, ,Hamilton ISD
97903,HICO ISD,97,HAMILTON,12,N,N,Meets Requirements, ,Hico ISD
98901,GRUVER ISD,98,HANSFORD,16,N,N,Meets Requirements, ,Gruver ISD
98903,PRINGLE-MORSE CISD,98,HANSFORD,16,N,N,Meets Requirements, ,Pringle-Morse CISD
98904,SPEARMAN ISD,98,HANSFORD,16,N,N,Meets Requirements, ,Spearman ISD
99902,CHILLICOTHE ISD,99,HARDEMAN,9,N,N,Meets Requirements, ,Chillicothe ISD
99903,QUANAH ISD,99,HARDEMAN,9,N,N,Meets Requirements, ,Quanah ISD
100903,KOUNTZE ISD,100,HARDIN,5,N,N,Meets Requirements, ,Kountze ISD
100904,SILSBEE ISD,100,HARDIN,5,N,N,Needs Substantial Intervention, ,Silsbee ISD
100905,HARDIN-JEFFERSON ISD,100,HARDIN,5,N,N,Meets Requirements, ,Hardin-Jefferson ISD
100907,LUMBERTON ISD,100,HARDIN,5,N,N,Meets Requirements, ,Lumberton ISD
100908,WEST HARDIN COUNTY CISD,100,HARDIN,5,N,N,Meets Requirements, ,West Hardin County CISD
101802,SER-NINOS CHARTER SCHOOL,101,HARRIS,4,Y,N,Meets Requirements, ,Ser-Ninos Charter School
101803,ARISTOI CLASSICAL ACADEMY,101,HARRIS,4,Y,N,Meets Requirements, ,Aristoi Classical Academy
101804,GEORGE I SANCHEZ CHARTER,101,HARRIS,4,Y,Y,Meets Requirements, ,George I Sanchez Charter
101806,RAUL YZAGUIRRE SCHOOLS FOR SUCCESS,101,HARRIS,4,Y,N,Meets Requirements, ,Raul Yzaguirre Schools For Success
101807,UNIVERSITY OF HOUSTON CHARTER SCHO,101,HARRIS,4,Y,N,Meets Requirements, ,University Of Houston Charter Scho
101810,ACADEMY OF ACCELERATED LEARNING IN,101,HARRIS,4,Y,N,Meets Requirements, ,Academy Of Accelerated Learning In
101811,EXCEL ACADEMY,101,HARRIS,4,Y,Y,Meets Requirements, ,Excel Academy
101814,THE VARNETT PUBLIC SCHOOL,101,HARRIS,4,Y,N,Meets Requirements, ,The Varnett Public School
101815,ALIEF MONTESSORI COMMUNITY SCHOOL,101,HARRIS,4,Y,N,Meets Requirements, ,Alief Montessori Community School
101819,AMIGOS POR VIDA-FRIENDS FOR LIFE P,101,HARRIS,4,Y,N,Meets Requirements, ,Amigos Por Vida-Friends For Life P
101821,HOUSTON HEIGHTS HIGH SCHOOL,101,HARRIS,4,Y,Y,Meets Requirements, ,Houston Heights High School
101828,HOUSTON GATEWAY ACADEMY INC,101,HARRIS,4,Y,N,Meets Requirements,ASVAB Test not Offered,Houston Gateway Academy Inc
101837,CALVIN NELMS CHARTER SCHOOLS,101,HARRIS,4,Y,N,Meets Requirements, ,Calvin Nelms Charter Schools
101838,SOUTHWEST SCHOOL,101,HARRIS,4,Y,N,Meets Requirements, ,Southwest School
101840,TWO DIMENSIONS PREPARATORY ACADEMY,101,HARRIS,4,Y,N,Meets Requirements, ,Two Dimensions Preparatory Academy
101842,COMQUEST ACADEMY,101,HARRIS,4,Y,Y,Meets Requirements, ,Comquest Academy
101845,YES PREP PUBLIC SCHOOLS INC,101,HARRIS,4,Y,N,Needs Intervention, ,Yes Prep Public Schools Inc
101846,HARMONY SCIENCE ACADEMY,101,HARRIS,4,Y,N,Meets Requirements, ,Harmony Science Academy
101847,BEATRICE MAYES INSTITUTE CHARTER S,101,HARRIS,4,Y,N,Meets Requirements, ,Beatrice Mayes Institute Charter S
101849,ACCELERATED INTERMEDIATE ACADEMY,101,HARRIS,4,Y,N,Meets Requirements, ,Accelerated Intermediate Academy
101853,PROMISE COMMUNITY SCHOOL,101,HARRIS,4,Y,N,Meets Requirements, ,Promise Community School
101855,MEYERPARK ELEMENTARY,101,HARRIS,4,Y,N,Meets Requirements, ,Meyerpark Elementary
101856,DRAW ACADEMY,101,HARRIS,4,Y,N,Meets Requirements, ,Draw Academy
101858,HARMONY SCHOOL OF EXCELLENCE,101,HARRIS,4,Y,N,Needs Assistance, ,Harmony School Of Excellence
101859,STEP CHARTER SCHOOL,101,HARRIS,4,Y,N,Meets Requirements, ,Step Charter School
101861,THE RHODES SCHOOL,101,HARRIS,4,Y,N,Meets Requirements, ,The Rhodes School
101862,HARMONY SCHOOL OF SCIENCE - HOUSTO,101,HARRIS,4,Y,N,Meets Requirements, ,Harmony School Of Science - Housto
101864,THE LAWSON ACADEMY,101,HARRIS,4,Y,Y,Meets Requirements, ,The Lawson Academy
101868,THE PRO-VISION ACADEMY,101,HARRIS,4,Y,Y,Needs Assistance, ,The Pro-Vision Academy
101870,BETA ACADEMY,101,HARRIS,4,Y,N,Meets Requirements,ASVAB Test not Offered,Beta Academy
101871,A+ UNLIMITED POTENTIAL,101,HARRIS,4,Y,N,Meets Requirements, ,A+ Unlimited Potential
101872,ETOILE ACADEMY CHARTER SCHOOL,101,HARRIS,4,Y,N,Meets Requirements, ,Etoile Academy Charter School
101873,YELLOWSTONE COLLEGE PREPARATORY,101,HARRIS,4,Y,N,Meets Requirements, ,Yellowstone College Preparatory
101874,LEGACY SCHOOL OF SPORT SCIENCES,101,HARRIS,4,Y,N,Meets Requirements,ASVAB Test not Offered,Legacy School Of Sport Sciences
101875,BLOOM ACADEMY CHARTER SCHOOL,101,HARRIS,4,Y,N,Meets Requirements, ,Bloom Academy Charter School
101876,REVE PREPARATORY CHARTER SCHOOL,101,HARRIS,4,Y,N,Meets Requirements, ,Reve Preparatory Charter School
101902,ALDINE ISD,101,HARRIS,4,N,N,Needs Substantial Intervention, ,Aldine ISD
101903,ALIEF ISD,101,HARRIS,4,N,N,Needs Intervention, ,Alief ISD
101905,CHANNELVIEW ISD,101,HARRIS,4,N,N,Meets Requirements, ,Channelview ISD
101906,CROSBY ISD,101,HARRIS,4,N,N,Needs Assistance, ,Crosby ISD
101907,CYPRESS-FAIRBANKS ISD,101,HARRIS,4,N,N,Needs Assistance, ,Cypress-Fairbanks ISD
101908,DEER PARK ISD,101,HARRIS,4,N,N,Meets Requirements, ,Deer Park ISD
101910,GALENA PARK ISD,101,HARRIS,4,N,N,Needs Intervention, ,Galena Park ISD
101911,GOOSE CREEK CISD,101,HARRIS,4,N,N,Needs Intervention, ,Goose Creek CISD
101912,HOUSTON ISD,101,HARRIS,4,N,N,Needs Substantial Intervention, ,Houston ISD
101913,HUMBLE ISD,101,HARRIS,4,N,N,Needs Assistance, ,Humble ISD
101914,KATY ISD,101,HARRIS,4,N,N,Meets Requirements, ,Katy ISD
101915,KLEIN ISD,101,HARRIS,4,N,N,Meets Requirements, ,Klein ISD
101916,LA PORTE ISD,101,HARRIS,4,N,N,Meets Requirements, ,La Porte ISD
101917,PASADENA ISD,101,HARRIS,4,N,N,Needs Intervention, ,Pasadena ISD
101919,SPRING ISD,101,HARRIS,4,N,N,Needs Substantial Intervention, ,Spring ISD
101920,SPRING BRANCH ISD,101,HARRIS,4,N,N,Needs Assistance, ,Spring Branch ISD
101921,TOMBALL ISD,101,HARRIS,4,N,N,Meets Requirements, ,Tomball ISD
101924,SHELDON ISD,101,HARRIS,4,N,N,Meets Requirements, ,Sheldon ISD
101925,HUFFMAN ISD,101,HARRIS,4,N,N,Meets Requirements, ,Huffman ISD
102901,KARNACK ISD,102,HARRISON,7,N,N,Meets Requirements, ,Karnack ISD
102902,MARSHALL ISD,102,HARRISON,7,N,N,Needs Substantial Intervention, ,Marshall ISD
102903,WASKOM ISD,102,HARRISON,7,N,N,Needs Assistance, ,Waskom ISD
102904,HALLSVILLE ISD,102,HARRISON,7,N,N,Meets Requirements, ,Hallsville ISD
102905,HARLETON ISD,102,HARRISON,7,N,N,Meets Requirements, ,Harleton ISD
102906,ELYSIAN FIELDS ISD,102,HARRISON,7,N,N,Meets Requirements, ,Elysian Fields ISD
103901,CHANNING ISD,103,HARTLEY,16,N,N,Meets Requirements, ,Channing ISD
103902,HARTLEY ISD,103,HARTLEY,16,N,N,Meets Requirements,ASVAB Alternative Test Offered,Hartley ISD
104901,HASKELL CISD,104,HASKELL,14,N,N,Meets Requirements, ,Haskell CISD
104903,RULE ISD,104,HASKELL,14,N,N,Meets Requirements, ,Rule ISD
104907,PAINT CREEK ISD,104,HASKELL,14,N,N,Meets Requirements,ASVAB Alternative Test Offered,Paint Creek ISD
105801,KATHERINE ANNE PORTER SCHOOL,105,HAYS,13,Y,N,Needs Intervention,ASVAB Alternative Test Offered,Katherine Anne Porter School
105802,TEXAS PREPARATORY SCHOOL,105,HAYS,13,Y,N,Meets Requirements, ,Texas Preparatory School
105803,KI CHARTER ACADEMY,105,HAYS,13,Y,Y,Meets Requirements, ,Ki Charter Academy
105902,SAN MARCOS CISD,105,HAYS,13,N,N,Meets Requirements, ,San Marcos CISD
105904,DRIPPING SPRINGS ISD,105,HAYS,13,N,N,Meets Requirements, ,Dripping Springs ISD
105905,WIMBERLEY ISD,105,HAYS,13,N,N,Meets Requirements,ASVAB Alternative Test Offered,Wimberley ISD
105906,HAYS CISD,105,HAYS,13,N,N,Meets Requirements, ,Hays CISD
106901,CANADIAN ISD,106,HEMPHILL,16,N,N,Meets Requirements, ,Canadian ISD
