COUNTY,REGION,GRDSPAN,PAIRCAMP,CAMPUS,DISTRICT,CAMPNAME,DISTNAME,CNTYNAME,GRDTYPE,CFLCHART,CFLALTED,PAIRNAME,CAD_PROGRESS,CAD_GAP,CAD_READ,CAD_MATH,CAD_SCIE,CAD_SOCI,CAD_POST,C_RATING
"'057","'10","'PK - 07"," ","'057813105","'057813","TRINITY BASIN PREPARATORY INC","TRINITY BASIN PREPARATORY","DALLAS","E","Y","N"," ","0","1","0","0"," "," ","1","B"
"'057","'10","'05 - 12"," ","'057814001","'057814","DALLAS COUNTY JUVENILE JUSTICE","ACADEMY FOR ACADEMIC EXCELLENCE","DALLAS","B","Y","Y"," "," "," "," "," "," "," "," ","Not Rated"
"'057","'10","'07 - 11"," ","'057814002","'057814","DRC CAMPUS","ACADEMY FOR ACADEMIC EXCELLENCE","DALLAS","S","Y","Y"," "," "," "," "," "," "," "," ","Not Rated"
"'057","'10","'07 - 12"," ","'057814003","'057814","MEDLOCK YOUTH VILLAGE","ACADEMY FOR ACADEMIC EXCELLENCE","DALLAS","S","Y","Y"," "," "," "," "," "," "," "," ","Not Rated"
"'057","'10","'07 - 11"," ","'057814005","'057814","LETOT CAMPUS","ACADEMY FOR ACADEMIC EXCELLENCE","DALLAS","S","Y","Y"," "," "," "," "," "," "," "," ","Not Rated"
"'057","'10","'PK - 08"," ","'057816101","'057816","QUEST CAMPUS PRE-K THRU 8","A W BROWN LEADERSHIP ACADEMY","DALLAS","E","Y","N"," ","0","0","0","0","0","0","0","B"
"'057","'10","'PK - 05"," ","'057816102","'057816","GENESIS CAMPUS PRE-K THRU 5","A W BROWN LEADERSHIP ACADEMY","DALLAS","E","Y","N"," ","0","0","0","0","0"," ","0","C"
"'057","'10","'PK - 12"," ","'057819001","'057819","JEAN MASSIEU ACADEMY","JEAN MASSIEU ACADEMY","DALLAS","B","Y","N"," ","1","0","0","0","0","0","0","B"
"'057","'10","'PK - 06"," ","'057827101","'057827","NOVA ACADEMY CEDAR HILL","NOVA ACADEMY SOUTHEAST","DALLAS","E","Y","N"," ","0"," ","1","1"," "," ","1","B"
"'057","'10","'PK - 08"," ","'057827102","'057827","NOVA ACADEMY PRICHARD","NOVA ACADEMY SOUTHEAST","DALLAS","E","Y","N"," ","0","0","0","0","0","1","0","B"
"'057","'10","'09 - 12"," ","'057828001","'057828","WINFREE ACADEMY CHARTER SCHOOL (IRVING)","WINFREE ACADEMY CHARTER SCHOOLS","DALLAS","S","Y","Y"," "," "," "," "," "," "," "," ","C"
"'057","'10","'09 - 12"," ","'057828002","'057828","WINFREE ACADEMY CHARTER SCHOOL (LEWISVILLE)","WINFREE ACADEMY CHARTER SCHOOLS","DALLAS","S","Y","Y"," "," "," "," "," "," "," "," ","C"
"'057","'10","'09 - 12"," ","'057828003","'057828","WINFREE ACADEMY CHARTER SCHOOL (RICHARDSON)","WINFREE ACADEMY CHARTER SCHOOLS","DALLAS","S","Y","Y"," "," "," "," "," "," "," "," ","A"
"'057","'10","'09 - 12"," ","'057828004","'057828","WINFREE ACADEMY CHARTER SCHOOL - GRAND PRAIRIE","WINFREE ACADEMY CHARTER SCHOOLS","DALLAS","S","Y","Y"," "," "," "," "," "," "," "," ","B"
"'057","'10","'09 - 12"," ","'057828005","'057828","WINFREE ACADEMY NORTH RICHLAND HILLS","WINFREE ACADEMY CHARTER SCHOOLS","DALLAS","S","Y","Y"," "," "," "," "," "," "," "," ","Not Rated: Senate Bill 1365"
"'057","'10","'09 - 12"," ","'057828006","'057828","WINFREE ACADEMY CHARTER SCHOOL DALLAS","WINFREE ACADEMY CHARTER SCHOOLS","DALLAS","S","Y","Y"," "," "," "," "," "," "," "," ","C"
"'057","'10","'PK - 06"," ","'057829001","'057829","A+ ACADEMY EL","A+ ACADEMY","DALLAS","E","Y","N"," ","0","0","0","0","0"," ","0","C"
"'057","'10","'07 - 12"," ","'057829002","'057829","A+ SECONDARY SCHOOL","A+ ACADEMY","DALLAS","S","Y","N"," ","0","0","0","0","0","1","0","C"
"'057","'10","'PK - 06"," ","'057830001","'057830","INSPIRED VISION ACADEMY EL","INSPIRED VISION ACADEMY","DALLAS","E","Y","N"," ","0","0","0","0","0"," ","0","Not Rated: Senate Bill 1365"
"'057","'10","'07 - 12"," ","'057830002","'057830","INSPIRED VISION ACADEMY SECONDARY","INSPIRED VISION ACADEMY","DALLAS","S","Y","N"," ","0","0","0","0","0","0","0","Not Rated: Senate Bill 1365"
"'057","'10","'PK - 05"," ","'057831001","'057831","GATEWAY CHARTER ACADEMY","GATEWAY CHARTER ACADEMY","DALLAS","E","Y","N"," ","0","0","0","0","0"," ","0","Not Rated: Senate Bill 1365"
"'057","'10","'06 - 12"," ","'057831002","'057831","GATEWAY CHARTER ACADEMY - MIDDLE - H S","GATEWAY CHARTER ACADEMY","DALLAS","B","Y","N"," ","1","0","0","0","0","0","0","B"
"'057","'10","'PK - 06"," ","'057833001","'057833","EDUCATION CENTER INTERNATIONAL ACADEMY 1","EDUCATION CENTER INTERNATIONAL ACADEMY","DALLAS","E","Y","N"," ","0","0","0","0","0"," ","0","Not Rated: Senate Bill 1365"
"'057","'10","'PK - 08"," ","'057833002","'057833","EDUCATION CENTER INTERNATIONAL ACADEMY 2","EDUCATION CENTER INTERNATIONAL ACADEMY","DALLAS","E","Y","N"," ","0","0","0","0","0","0","0","Not Rated: Senate Bill 1365"
"'057","'10","'PK - 06"," ","'057833003","'057833","EDUCATION CENTER INTERNATIONAL ACADEMY 3","EDUCATION CENTER INTERNATIONAL ACADEMY","DALLAS","E","Y","N"," ","0","0","0","0","0"," ","0","Not Rated: Senate Bill 1365"
"'057","'10","'09 - 12"," ","'057834001","'057834","EVOLUTION ACADEMY CHARTER SCHOOL","EVOLUTION ACADEMY CHARTER SCHOOL","DALLAS","S","Y","Y"," "," "," "," "," "," "," "," ","B"
"'057","'10","'09 - 12"," ","'057834003","'057834","EVOLUTION ACADEMY BEAUMONT","EVOLUTION ACADEMY CHARTER SCHOOL","DALLAS","S","Y","Y"," "," "," "," "," "," "," "," ","A"
"'057","'10","'09 - 12"," ","'057834004","'057834","EVOLUTION ACADEMY HOUSTON","EVOLUTION ACADEMY CHARTER SCHOOL","DALLAS","S","Y","Y"," "," "," "," "," "," "," "," ","A"
"'057","'10","'PK - 08"," ","'057835001","'057835","GOLDEN RULE CHARTER SCHOOL","GOLDEN RULE CHARTER SCHOOL","DALLAS","E","Y","N"," ","0","0","0","0","0","0","0","C"
"'057","'10","'PK - 04"," ","'057835101","'057835","GOLDEN RULE","GOLDEN RULE CHARTER SCHOOL","DALLAS","E","Y","N"," ","0"," ","1","1"," "," ","1","A"
"'057","'10","'PK - 12"," ","'057835102","'057835","GOLDEN RULE DESOTO","GOLDEN RULE CHARTER SCHOOL","DALLAS","B","Y","N"," ","0","0","0","0","1","0","1","B"
"'057","'10","'PK - 06"," ","'057835103","'057835","GOLDEN RULE SOUTHWEST","GOLDEN RULE CHARTER SCHOOL","DALLAS","E","Y","N"," ","0","0","0","0","0"," ","0","B"
"'057","'10","'PK - 05"," ","'057835104","'057835","GOLDEN RULE GRAND PRAIRIE","GOLDEN RULE CHARTER SCHOOL","DALLAS","E","Y","N"," ","0"," ","0","0","0"," ","1","B"
"'057","'10","'PK - 01"," ","'057835105","'057835","GOLDEN RULE SCHOOLS INC - WILMER","GOLDEN RULE CHARTER SCHOOL","DALLAS","E","Y","N"," "," "," "," "," "," "," "," ","Not Rated"
"'057","'10","'06 - 08"," ","'057836041","'057836","ST ANTHONY SCHOOL","ST ANTHONY SCHOOL","DALLAS","M","Y","N"," ","1","0","1","0","0","0","0","B"
"'057","'10","'KG - 05"," ","'057836101","'057836","ST ANTHONY ACADEMY","ST ANTHONY SCHOOL","DALLAS","E","Y","N"," ","0","0","0","0","0"," ","0","B"
"'057","'10","'PK - 05"," ","'057839101","'057839","LA ACADEMIA DE ESTRELLAS","LA ACADEMIA DE ESTRELLAS","DALLAS","E","Y","N"," ","0","0","0","0","0"," ","0","B"
"'057","'10","'06 - 08"," ","'057839103","'057839","LA ACADEMIA DE ESTRELLAS MIDDLE","LA ACADEMIA DE ESTRELLAS","DALLAS","M","Y","N"," ","0","0","0","0","0","0","0","C"
"'057","'10","'11 - 12"," ","'057840001","'057840","RICHLAND COLLEGIATE H S OF MATH SCIENCE ENGINEERIN","RICHLAND COLLEGIATE HIGH SCHOOL","DALLAS","S","Y","N"," "," "," ","0","0","0","0","1","A"
"'057","'10","'EE - 08"," ","'057841001","'057841","EAST GRAND PREPARATORY ACADEMY","CITYSCAPE SCHOOLS","DALLAS","E","Y","N"," ","0","0","0","0","0","0","0","Not Rated: Senate Bill 1365"
"'057","'10","'EE - 05"," ","'057841002","'057841","BUCKNER PREPARATORY","CITYSCAPE SCHOOLS","DALLAS","E","Y","N"," ","0","0","0","0","0"," ","0","Not Rated: Senate Bill 1365"
"'057","'10","'07 - 12"," ","'057844001","'057844","MANARA LEADERSHIP ACADEMY","MANARA ACADEMY","DALLAS","S","Y","N"," ","1","1","0","1","0","0","0","B"
"'057","'10","'PK - 06"," ","'057844101","'057844","MANARA ACADEMY","MANARA ACADEMY","DALLAS","E","Y","N"," ","0","0","0","0","0"," ","0","C"
"'057","'10","'PK - 08"," ","'057844102","'057844","MANARA STEM ACADEMY - ARLINGTON","MANARA ACADEMY","DALLAS","E","Y","N"," ","0","0","0","0","0","0","0","B"
"'057","'10","'KG - 12"," ","'057845001","'057845","UME PREPARATORY ACADEMY","UME PREPARATORY ACADEMY","DALLAS","B","Y","N"," ","1","0","1","0","1","0","0","B"
"'057","'10","'KG - 06"," ","'057845002","'057845","UME PREPARATORY ACADEMY - DUNCANVILLE","UME PREPARATORY ACADEMY","DALLAS","E","Y","N"," ","1","0","1","0","0"," ","0","B"
"'057","'10","'KG - 06"," ","'057845003","'057845","UME MANSFIELD EL","UME PREPARATORY ACADEMY","DALLAS","E","Y","N"," ","1"," ","1","0"," "," ","0","A"
"'057","'10","'KG - 12"," ","'057846001","'057846","LEGACY PREP CHARTER ACADEMY MESQUITE WEST CAMPUS","LEGACY PREPARATORY","DALLAS","B","Y","N"," ","1","0","0","0","1","0","0","B"
"'057","'10","'KG - 12"," ","'057846003","'057846","LEGACY PREPARATORY CHARTER ACADEMY PLANO","LEGACY PREPARATORY","DALLAS","B","Y","N"," ","1","0","1","1","0","0","0","B"
"'057","'10","'PK - 12"," ","'057847001","'057847","VILLAGE TECH SCHOOLS","VILLAGE TECH SCHOOLS","DALLAS","B","Y","N"," ","0","0","0","0","0","1","1","C"
"'057","'10","'KG - 05"," ","'057848001","'057848","ILTEXAS GARLAND EL","INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS)","DALLAS","E","Y","N"," ","1","0","0","0","0"," ","0","B"
"'057","'10","'06 - 08"," ","'057848002","'057848","ILTEXAS GARLAND MIDDLE","INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS)","DALLAS","M","Y","N"," ","1","0","0","0","0","1","0","B"
"'057","'10","'09 - 12"," ","'057848003","'057848","ILTEXAS GARLAND H S","INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS)","DALLAS","S","Y","N"," ","0","0","0","1","0","1","1","B"
"'057","'10","'KG - 05"," ","'057848004","'057848","ILTEXAS ARLINGTON EL","INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS)","DALLAS","E","Y","N"," ","0","0","0","0","0"," ","0","B"
"'057","'10","'06 - 08"," ","'057848005","'057848","ILTEXAS ARLINGTON MIDDLE","INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS)","DALLAS","M","Y","N"," ","0","0","0","0","1","0","0","C"
"'057","'10","'09 - 12"," ","'057848006","'057848","ILTEXAS ARLINGTON-GRAND PRAIRIE H S","INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS)","DALLAS","S","Y","N"," ","0","0","0","0","0","0","0","B"
"'057","'10","'KG - 05"," ","'057848007","'057848","ILTEXAS KELLER EL","INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS)","DALLAS","E","Y","N"," ","0","0","0","0","0"," ","0","B"
"'057","'10","'06 - 08"," ","'057848008","'057848","ILTEXAS KELLER MIDDLE","INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS)","DALLAS","M","Y","N"," ","0","0","0","0","1","0","1","B"
"'057","'10","'09 - 12"," ","'057848009","'057848","ILTEXAS KELLER SAGINAW H S","INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS)","DALLAS","S","Y","N"," ","0","0","1","1","0","1","1","B"
"'057","'10","'KG - 05"," ","'057848010","'057848","ILTEXAS GRAND PRAIRIE EL","INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS)","DALLAS","E","Y","N"," ","0","0","0","0","0"," ","0","B"
"'057","'10","'06 - 08"," ","'057848011","'057848","ILTEXAS GRAND PRAIRIE MIDDLE","INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS)","DALLAS","M","Y","N"," ","0","0","0","0","0","0","0","B"
"'057","'10","'KG - 05"," ","'057848012","'057848","ILTEXAS NORTH RICHLAND HILLS EL","INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS)","DALLAS","E","Y","N"," ","0","0","0","0","0"," ","0","C"
"'057","'10","'06 - 08"," ","'057848013","'057848","ILTEXAS NORTH RICHLAND HILLS MIDDLE","INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS)","DALLAS","M","Y","N"," ","0","0","0","0","0","0","0","Not Rated: Senate Bill 1365"
"'057","'10","'KG - 05"," ","'057848014","'057848","ILTEXAS KATY EL","INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS)","DALLAS","E","Y","N"," ","0","0","0","0","0"," ","0","C"
"'057","'10","'06 - 08"," ","'057848015","'057848","ILTEXAS KATY MIDDLE","INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS)","DALLAS","M","Y","N"," ","0","0","0","0","1","0","0","B"
"'057","'10","'KG - 05"," ","'057848016","'057848","ILTEXAS WESTPARK EL","INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS)","DALLAS","E","Y","N"," ","0","0","1","0","0"," ","1","B"
"'057","'10","'06 - 08"," ","'057848017","'057848","ILTEXAS WESTPARK MIDDLE","INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS)","DALLAS","M","Y","N"," ","0","0","0","0","0","0","0","C"
"'057","'10","'09 - 12"," ","'057848018","'057848","ILTEXAS KATY WESTPARK H S","INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS)","DALLAS","S","Y","N"," ","1","0","1","0","0","0","1","B"
"'057","'10","'KG - 05"," ","'057848019","'057848","ILTEXAS LANCASTER EL","INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS)","DALLAS","E","Y","N"," ","0","0","0","0","0"," ","0","B"
"'057","'10","'06 - 08"," ","'057848020","'057848","ILTEXAS LANCASTER MIDDLE","INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS)","DALLAS","M","Y","N"," ","0","0","0","0","0","0","0","C"
"'057","'10","'KG - 05"," ","'057848021","'057848","ILTEXAS EAST FORT WORTH EL","INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS)","DALLAS","E","Y","N"," ","0","0","0","0","0"," ","0","Not Rated: Senate Bill 1365"
"'057","'10","'06 - 08"," ","'057848022","'057848","ILTEXAS EAST FORT WORTH MIDDLE","INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS)","DALLAS","M","Y","N"," ","0","0","0","0","0","0","0","Not Rated: Senate Bill 1365"
"'057","'10","'KG - 05"," ","'057848023","'057848","ILTEXAS SAGINAW EL","INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS)","DALLAS","E","Y","N"," ","0","0","0","0","0"," ","0","C"
"'057","'10","'06 - 08"," ","'057848024","'057848","ILTEXAS SAGINAW MIDDLE","INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS)","DALLAS","M","Y","N"," ","0","0","0","0","0","0","0","C"
"'057","'10","'KG - 05"," ","'057848025","'057848","ILTEXAS HOUSTON WINDMILL LAKES EL","INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS)","DALLAS","E","Y","N"," ","0","0","0","0","0"," ","0","C"
"'057","'10","'06 - 08"," ","'057848026","'057848","ILTEXAS HOUSTON WINDMILL LAKES MIDDLE","INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS)","DALLAS","M","Y","N"," ","0","0","0","0","0","0","0","C"
"'057","'10","'KG - 05"," ","'057848027","'057848","ILTEXAS HOUSTON OREM EL","INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS)","DALLAS","E","Y","N"," ","0","0","0","0","0"," ","0","C"
"'057","'10","'06 - 08"," ","'057848028","'057848","ILTEXAS HOUSTON OREM MIDDLE","INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS)","DALLAS","M","Y","N"," ","0","0","0","0","0","0","0","C"
"'057","'10","'KG - 05"," ","'057848030","'057848","ILTEXAS COLLEGE STATION EL","INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS)","DALLAS","E","Y","N"," ","0","0","0","0","0"," ","0","B"
"'057","'10","'06 - 08"," ","'057848031","'057848","ILTEXAS COLLEGE STATION MIDDLE","INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS)","DALLAS","M","Y","N"," ","0","0","1","1","1","0","0","B"
"'057","'10","'09 - 12"," ","'057848032","'057848","ILTEXAS LANCASTER DESOTO H S","INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS)","DALLAS","S","Y","N"," ","0","0","0","0","0","1","0","C"
"'057","'10","'09 - 12"," ","'057848033","'057848","ILTEXAS HOUSTON WINDMILL LAKES OREM H S","INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS)","DALLAS","S","Y","N"," ","0","0","0","0","0","0","0","B"
"'057","'10","'09 - 11"," ","'057848034","'057848","ILTEXAS AGGIELAND H S","INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS)","DALLAS","S","Y","N"," ","0","0","1","0","1","1","0","B"
"'057","'10","'05 - 12"," ","'057850001","'057850","PIONEER TECHNOLOGY (PTAA) MESQUITE","PIONEER TECHNOLOGY & ARTS ACADEMY","DALLAS","B","Y","N"," ","0","0","0","0","0","0","0","C"
"'057","'10","'KG - 12"," ","'057850002","'057850","PIONEER TECHNOLOGY (PTAA) GREENVILLE","PIONEER TECHNOLOGY & ARTS ACADEMY","DALLAS","B","Y","N"," ","0","0","0","0","0","1","1","B"
"'057","'10","'05 - 12"," ","'057850003","'057850","PIONEER TECHNOLOGY (PTAA) FATE","PIONEER TECHNOLOGY & ARTS ACADEMY","DALLAS","B","Y","N"," ","0","0","1","1","1","0","0","B"
"'057","'10","'KG - 04"," ","'057850004","'057850","PIONEER TECHNOLOGY (PTAA) MESQUITE EL","PIONEER TECHNOLOGY & ARTS ACADEMY","DALLAS","E","Y","N"," ","0","0","0","1"," "," ","0","B"
"'057","'10","'KG - 04"," ","'057850005","'057850","PIONEER TECHNOLOGY (PTAA) ROYSE CITY EL","PIONEER TECHNOLOGY & ARTS ACADEMY","DALLAS","E","Y","N"," ","0","1","1","1"," "," ","1","A"
"'057","'10","'KG - 10"," ","'057850006","'057850","PIONEER TECHNOLOGY AND ARTS ACADEMY NORTH DALLAS","PIONEER TECHNOLOGY & ARTS ACADEMY","DALLAS","B","Y","N"," ","0","1","1","0","0","1","0","B"
"'057","'10","'PK - 05"," ","'057851101","'057851","BRIDGEWAY PREPARATORY ACADEMY","BRIDGEWAY PREPARATORY ACADEMY","DALLAS","E","Y","N"," ","0"," ","0","0"," "," ","0","B"
"'057","'10","'09 - 12"," ","'057903001","'057903","TURNER H S","CARROLLTON-FARMERS BRANCH ISD","DALLAS","S","N","N"," ","0","0","0","0","0","0","0","B"
"'057","'10","'09 - 12"," ","'057903002","'057903","SMITH H S","CARROLLTON-FARMERS BRANCH ISD","DALLAS","S","N","N"," ","0","0","1","1","0","0","0","C"
"'057","'10","'09 - 12"," ","'057903003","'057903","GRIMES EDUCATION CENTER","CARROLLTON-FARMERS BRANCH ISD","DALLAS","S","N","Y"," "," "," "," "," "," "," "," ","B"
"'057","'10","'06 - 12"," ","'057903005","'057903","SALAZAR DISTRICT ALTERNATIVE EDUCATION PROGRAM","CARROLLTON-FARMERS BRANCH ISD","DALLAS","B","N","N"," "," "," "," "," "," "," "," ","Not Rated"
"'057","'10","'09 - 12"," ","'057903006","'057903","CREEKVIEW H S","CARROLLTON-FARMERS BRANCH ISD","DALLAS","S","N","N"," ","1","1","1","1","1","0","1","B"
"'057","'10","'09 - 12"," ","'057903007","'057903","RANCHVIEW H S","CARROLLTON-FARMERS BRANCH ISD","DALLAS","S","N","N"," ","0","0","1","1","1","1","0","B"
"'057","'10","'07 - 10"," ","'057903009","'057903","DALLAS COUNTY JJAEP CFB CAMPUS","CARROLLTON-FARMERS BRANCH ISD","DALLAS","S","N","N"," "," "," "," "," "," "," "," ","Not Rated"
"'057","'10","'09 - 12"," ","'057903010","'057903","EARLY COLLEGE H S","CARROLLTON-FARMERS BRANCH ISD","DALLAS","S","N","N"," ","1","0","0","1","0","0","1","A"
"'057","'10","'06 - 08"," ","'057903041","'057903","FIELD MIDDLE","CARROLLTON-FARMERS BRANCH ISD","DALLAS","M","N","N"," ","0","0","0","0","1","0","1","B"
"'057","'10","'06 - 08"," ","'057903042","'057903","PERRY MIDDLE","CARROLLTON-FARMERS BRANCH ISD","DALLAS","M","N","N"," ","0","1","1","1","1","1","1","B"
"'057","'10","'06 - 08"," ","'057903044","'057903","LONG MIDDLE","CARROLLTON-FARMERS BRANCH ISD","DALLAS","M","N","N"," ","0","0","0","0","0","0","0","C"
"'057","'10","'06 - 08"," ","'057903045","'057903","BLALACK MIDDLE","CARROLLTON-FARMERS BRANCH ISD","DALLAS","M","N","N"," ","1","1","0","1","1","1","1","B"
"'057","'10","'06 - 08"," ","'057903046","'057903","POLK MIDDLE","CARROLLTON-FARMERS BRANCH ISD","DALLAS","M","N","N"," ","1","0","0","0","0","0","0","B"
"'057","'10","'06 - 08"," ","'057903047","'057903","BUSH MIDDLE","CARROLLTON-FARMERS BRANCH ISD","DALLAS","M","N","N"," ","1","0","0","1","0","1","0","B"
"'057","'10","'EE - 05"," ","'057903102","'057903","CARROLLTON EL","CARROLLTON-FARMERS BRANCH ISD","DALLAS","E","N","N"," ","0","0","0","0","0"," ","0","B"
"'057","'10","'EE - 05"," ","'057903103","'057903","CENTRAL EL","CARROLLTON-FARMERS BRANCH ISD","DALLAS","E","N","N"," ","0","0","0","0","0"," ","0","B"
"'057","'10","'EE - 05"," ","'057903105","'057903","GOOD EL","CARROLLTON-FARMERS BRANCH ISD","DALLAS","E","N","N"," ","0","0","0","0","1"," ","0","B"
"'057","'10","'EE - 05"," ","'057903106","'057903","STARK EL","CARROLLTON-FARMERS BRANCH ISD","DALLAS","E","N","N"," ","0","0","0","0","0"," ","0","B"
"'057","'10","'EE - 05"," ","'057903109","'057903","FARMERS BRANCH EL","CARROLLTON-FARMERS BRANCH ISD","DALLAS","E","N","N"," ","0","1","0","0","0"," ","0","B"
"'057","'10","'PK - 05"," ","'057903110","'057903","BLANTON EL","CARROLLTON-FARMERS BRANCH ISD","DALLAS","E","N","N"," ","1","0","0","0","0"," ","0","B"
"'057","'10","'EE - 05"," ","'057903111","'057903","THOMPSON EL","CARROLLTON-FARMERS BRANCH ISD","DALLAS","E","N","N"," ","0","1","0","1","1"," ","0","A"
"'057","'10","'EE - 05"," ","'057903112","'057903","COUNTRY PLACE EL","CARROLLTON-FARMERS BRANCH ISD","DALLAS","E","N","N"," ","0","1","0","0","0"," ","0","B"
"'057","'10","'KG - 05"," ","'057903113","'057903","DAVIS EL","CARROLLTON-FARMERS BRANCH ISD","DALLAS","E","N","N"," ","0","0","1","0","0"," ","1","B"
"'057","'10","'KG - 05"," ","'057903114","'057903","MCCOY EL","CARROLLTON-FARMERS BRANCH ISD","DALLAS","E","N","N"," ","1","1","1","1","1"," ","1","A"
"'057","'10","'PK - 05"," ","'057903116","'057903","FURNEAUX EL","CARROLLTON-FARMERS BRANCH ISD","DALLAS","E","N","N"," ","0","0","0","0","0"," ","0","B"
"'057","'10","'12 - 12"," ","'057903117","'057903","HUIE SPECIAL EDUC CTR","CARROLLTON-FARMERS BRANCH ISD","DALLAS","S","N","N"," "," "," "," "," "," "," "," ","Not Rated"
"'057","'10","'EE - 05"," ","'057903118","'057903","ROSEMEADE EL","CARROLLTON-FARMERS BRANCH ISD","DALLAS","E","N","N"," ","0","1","0","0","0"," ","0","A"
"'057","'10","'KG - 05"," ","'057903120","'057903","LAS COLINAS EL","CARROLLTON-FARMERS BRANCH ISD","DALLAS","E","N","N"," ","0","0","0","0","0"," ","0","B"
"'057","'10","'EE - 05"," ","'057903121","'057903","LANDRY EL","CARROLLTON-FARMERS BRANCH ISD","DALLAS","E","N","N"," ","0","0","0","0","0"," ","1","B"
"'057","'10","'EE - 05"," ","'057903122","'057903","KENT EL","CARROLLTON-FARMERS BRANCH ISD","DALLAS","E","N","N"," ","1","1","1","1","0"," ","1","A"
"'057","'10","'EE - 05"," ","'057903123","'057903","RIVERCHASE ELE","CARROLLTON-FARMERS BRANCH ISD","DALLAS","E","N","N"," ","1","1","1","1","1"," ","1","A"
"'057","'10","'EE - 05"," ","'057903124","'057903","MCKAMY EL","CARROLLTON-FARMERS BRANCH ISD","DALLAS","E","N","N"," ","1","0","0","0","0"," ","0","B"
"'057","'10","'01 - 05"," ","'057903125","'057903","SHEFFIELD EL","CARROLLTON-FARMERS BRANCH ISD","DALLAS","E","N","N"," ","0","0","0","0","0"," ","0","C"
"'057","'10","'KG - 05"," ","'057903126","'057903","RAINWATER EL","CARROLLTON-FARMERS BRANCH ISD","DALLAS","E","N","N"," ","0","0","0","0","0"," ","0","B"
"'057","'10","'PK - 05"," ","'057903128","'057903","FREEMAN EL","CARROLLTON-FARMERS BRANCH ISD","DALLAS","E","N","N"," ","0","0","0","0","0"," ","0","B"
"'057","'10","'EE - 05"," ","'057903129","'057903","MCWHORTER EL","CARROLLTON-FARMERS BRANCH ISD","DALLAS","E","N","N"," ","0","0","0","0","0"," ","0","Not Rated: Senate Bill 1365"
"'057","'10","'PK - 05"," ","'057903131","'057903","BLAIR EL","CARROLLTON-FARMERS BRANCH ISD","DALLAS","E","N","N"," ","1","1","1","1","1"," ","1","A"
"'057","'10","'KG - 05"," ","'057903132","'057903","LA VILLITA EL","CARROLLTON-FARMERS BRANCH ISD","DALLAS","E","N","N"," ","0","0","0","0","0"," ","0","B"
"'057","'10","'PK - 05"," ","'057903135","'057903","MCLAUGHLIN STRICKLAND EL","CARROLLTON-FARMERS BRANCH ISD","DALLAS","E","N","N"," ","0","0","0","0","0"," ","0","B"
"'057","'10","'09 - 12"," ","'057904001","'057904","CEDAR HILL H S","CEDAR HILL ISD","DALLAS","S","N","N"," ","0","0","0","0","0","0","0","Not Rated: Senate Bill 1365"
"'057","'10","'09 - 12"," ","'057904003","'057904","CEDAR HILL COLLEGIATE H S","CEDAR HILL ISD","DALLAS","S","N","N"," ","1","1","1","0","1","1","1","A"
"'057","'10","'06 - 08"," ","'057904041","'057904","W S PERMENTER MIDDLE","CEDAR HILL ISD","DALLAS","M","N","N"," ","0","0","0","0","0","0","0","Not Rated: Senate Bill 1365"
"'057","'10","'06 - 08"," ","'057904042","'057904","BESSIE COLEMAN MIDDLE","CEDAR HILL ISD","DALLAS","M","N","N"," ","0","0","0","0","0","0","0","Not Rated: Senate Bill 1365"
