Region Code,TEA Region,County Code,County Name,Economic Status,8th Grade (FY 2006),Enrolled in 9th Grade (FY 2007),% Enrolled in 9th Grade (FY 2007),Enrolled in 10th Grade(FY 2008),% Enrolled in 10th Grade (FY 2008),Enrolled in <10th Grade (FY 2008),% Enrolled in <10th Grade (FY 2008),High School Graduate FY 2009-2011,% High School Graduate FY 2009-2011,Enrolled TX 4-year,% Enrolled TX 4-year,Enrolled TX 2-year,% Enrolled TX 2-year,Enrolled in Higher Education,% Enrolled in Higher Education,No Public HS Grad Record Enrolled in Higher Ed,% No Public HS Grad Record Enrolled in Higher Ed,Higher Ed Degree or Certificate Texas,% Higher Ed Degree or Certificate Texas
7,Kilgore,202,SABINE,Not Economically Disadvantaged,55,52,0.95,49.00,0.89,5.00,0.09,46.00,0.84,17.00,0.31,13.00,0.24,30.00,0.55,0.00,0.00,16.00,0.29
7,Kilgore,202,SABINE,Economically Disadvantaged,70,61,0.87,48.00,0.69,9.00,0.13,50.00,0.71,7.00,0.10,22.00,0.31,29.00,0.41,1.00,0.01,11.00,0.16
7,Kilgore,203,SAN AUGUSTINE,Not Economically Disadvantaged,21,21,1.00,21.00,1.00,0.00,0.00,17.00,0.81,3.00,0.14,12.00,0.57,15.00,0.71,1.00,0.05,9.00,0.43
7,Kilgore,203,SAN AUGUSTINE,Economically Disadvantaged,82,74,0.90,57.00,0.70,17.00,0.21,55.00,0.67,9.00,0.11,21.00,0.26,30.00,0.37,2.00,0.02,11.00,0.13
7,Kilgore,210,SHELBY,Not Economically Disadvantaged,159,151,0.95,139.00,0.87,8.00,0.05,127.00,0.80,30.00,0.19,74.00,0.47,104.00,0.65,9.00,0.06,48.00,0.30
7,Kilgore,210,SHELBY,Economically Disadvantaged,217,203,0.94,178.00,0.82,18.00,0.08,151.00,0.70,13.00,0.06,83.00,0.38,96.00,0.44,8.00,0.04,22.00,0.10
7,Kilgore,212,SMITH,Not Economically Disadvantaged,1250,1183,0.95,1037.00,0.83,122.00,0.10,1009.00,0.81,256.00,0.20,595.00,0.48,851.00,0.68,58.00,0.05,401.00,0.32
7,Kilgore,212,SMITH,Economically Disadvantaged,1193,1101,0.92,833.00,0.70,230.00,0.19,795.00,0.67,73.00,0.06,474.00,0.40,547.00,0.46,47.00,0.04,126.00,0.11
7,Kilgore,230,UPSHUR,Not Economically Disadvantaged,303,294,0.97,268.00,0.88,20.00,0.07,247.00,0.82,61.00,0.20,126.00,0.42,187.00,0.62,8.00,0.03,74.00,0.24
7,Kilgore,230,UPSHUR,Economically Disadvantaged,236,216,0.92,185.00,0.78,15.00,0.06,167.00,0.71,21.00,0.09,86.00,0.36,107.00,0.45,13.00,0.06,27.00,0.11
7,Kilgore,234,VAN ZANDT,Not Economically Disadvantaged,239,224,0.94,209.00,0.87,12.00,0.05,188.00,0.79,42.00,0.18,108.00,0.45,150.00,0.63,11.00,0.05,72.00,0.30
7,Kilgore,234,VAN ZANDT,Economically Disadvantaged,174,164,0.94,143.00,0.82,9.00,0.05,131.00,0.75,12.00,0.07,66.00,0.38,78.00,0.45,5.00,0.03,20.00,0.11
7,Kilgore,250,WOOD,Not Economically Disadvantaged,265,254,0.96,238.00,0.90,6.00,0.02,224.00,0.85,62.00,0.23,109.00,0.41,171.00,0.65,7.00,0.03,81.00,0.31
7,Kilgore,250,WOOD,Economically Disadvantaged,219,203,0.93,169.00,0.77,23.00,0.11,147.00,0.67,16.00,0.07,64.00,0.29,80.00,0.37,6.00,0.03,24.00,0.11
8,Mt. Pleasant,19,BOWIE,Not Economically Disadvantaged,740,700,0.95,666.00,0.90,11.00,0.01,602.00,0.81,140.00,0.19,310.00,0.42,450.00,0.61,29.00,0.04,178.00,0.24
8,Mt. Pleasant,19,BOWIE,Economically Disadvantaged,613,543,0.89,484.00,0.79,38.00,0.06,404.00,0.66,41.00,0.07,224.00,0.37,265.00,0.43,27.00,0.04,63.00,0.10
8,Mt. Pleasant,32,CAMP,Not Economically Disadvantaged,62,62,1.00,58.00,0.94,0.00,0.00,52.00,0.84,2.00,0.03,46.00,0.74,48.00,0.77,4.00,0.06,17.00,0.27
8,Mt. Pleasant,32,CAMP,Economically Disadvantaged,122,119,0.98,102.00,0.84,13.00,0.11,91.00,0.75,4.00,0.03,55.00,0.45,59.00,0.48,5.00,0.04,15.00,0.12
8,Mt. Pleasant,34,CASS,Not Economically Disadvantaged,206,197,0.96,184.00,0.89,6.00,0.03,171.00,0.83,36.00,0.17,90.00,0.44,126.00,0.61,7.00,0.03,46.00,0.22
8,Mt. Pleasant,34,CASS,Economically Disadvantaged,229,205,0.90,191.00,0.83,12.00,0.05,166.00,0.72,15.00,0.07,91.00,0.40,106.00,0.46,6.00,0.03,30.00,0.13
8,Mt. Pleasant,60,DELTA,Not Economically Disadvantaged,45,45,1.00,43.00,0.96,1.00,0.02,41.00,0.91,15.00,0.33,16.00,0.36,31.00,0.69,0.00,0.00,16.00,0.36
8,Mt. Pleasant,60,DELTA,Economically Disadvantaged,34,34,1.00,33.00,0.97,0.00,0.00,27.00,0.79,3.00,0.09,14.00,0.41,17.00,0.50,0.00,0.00,5.00,0.15
8,Mt. Pleasant,80,FRANKLIN,Not Economically Disadvantaged,65,63,0.97,58.00,0.89,2.00,0.03,55.00,0.85,15.00,0.23,30.00,0.46,45.00,0.69,2.00,0.03,23.00,0.35
8,Mt. Pleasant,80,FRANKLIN,Economically Disadvantaged,44,41,0.93,38.00,0.86,3.00,0.07,35.00,0.80,2.00,0.05,20.00,0.45,22.00,0.50,1.00,0.02,9.00,0.20
8,Mt. Pleasant,112,HOPKINS,Not Economically Disadvantaged,267,258,0.97,248.00,0.93,9.00,0.03,238.00,0.89,61.00,0.23,110.00,0.41,171.00,0.64,9.00,0.03,82.00,0.31
8,Mt. Pleasant,112,HOPKINS,Economically Disadvantaged,235,220,0.94,182.00,0.77,25.00,0.11,169.00,0.72,23.00,0.10,81.00,0.34,104.00,0.44,8.00,0.03,32.00,0.14
8,Mt. Pleasant,139,LAMAR,Not Economically Disadvantaged,400,379,0.95,364.00,0.91,9.00,0.02,330.00,0.83,66.00,0.17,218.00,0.55,284.00,0.71,23.00,0.06,139.00,0.35
8,Mt. Pleasant,139,LAMAR,Economically Disadvantaged,324,302,0.93,236.00,0.73,44.00,0.14,197.00,0.61,11.00,0.03,130.00,0.40,141.00,0.44,28.00,0.09,35.00,0.11
8,Mt. Pleasant,155,MARION,Not Economically Disadvantaged,39,37,0.95,28.00,0.72,5.00,0.13,28.00,0.72,10.00,0.26,14.00,0.36,24.00,0.62,1.00,0.03,11.00,0.28
8,Mt. Pleasant,155,MARION,Economically Disadvantaged,69,62,0.90,37.00,0.54,22.00,0.32,41.00,0.59,5.00,0.07,22.00,0.32,27.00,0.39,2.00,0.03,6.00,0.09
8,Mt. Pleasant,172,MORRIS,Not Economically Disadvantaged,85,80,0.94,76.00,0.89,4.00,0.05,66.00,0.78,14.00,0.16,41.00,0.48,55.00,0.65,6.00,0.07,18.00,0.21
8,Mt. Pleasant,172,MORRIS,Economically Disadvantaged,128,116,0.91,102.00,0.80,15.00,0.12,91.00,0.71,13.00,0.10,55.00,0.43,68.00,0.53,8.00,0.06,18.00,0.14
8,Mt. Pleasant,194,RED RIVER,Not Economically Disadvantaged,74,72,0.97,68.00,0.92,1.00,0.01,58.00,0.78,8.00,0.11,45.00,0.61,53.00,0.72,6.00,0.08,18.00,0.24
8,Mt. Pleasant,194,RED RIVER,Economically Disadvantaged,135,131,0.97,121.00,0.90,5.00,0.04,106.00,0.79,11.00,0.08,52.00,0.39,63.00,0.47,1.00,0.01,13.00,0.10
8,Mt. Pleasant,225,TITUS,Not Economically Disadvantaged,170,161,0.95,142.00,0.84,10.00,0.06,136.00,0.80,18.00,0.11,93.00,0.55,111.00,0.65,10.00,0.06,49.00,0.29
8,Mt. Pleasant,225,TITUS,Economically Disadvantaged,278,253,0.91,220.00,0.79,29.00,0.10,210.00,0.76,6.00,0.02,124.00,0.45,130.00,0.47,7.00,0.03,39.00,0.14
9,Wichita Falls,5,ARCHER,Not Economically Disadvantaged,97,95,0.98,92.00,0.95,1.00,0.01,84.00,0.87,48.00,0.49,25.00,0.26,73.00,0.75,6.00,0.06,35.00,0.36
9,Wichita Falls,5,ARCHER,Economically Disadvantaged,52,50,0.96,45.00,0.87,1.00,0.02,37.00,0.71,6.00,0.12,12.00,0.23,18.00,0.35,0.00,0.00,8.00,0.15
9,Wichita Falls,12,BAYLOR,Not Economically Disadvantaged,38,36,0.95,35.00,0.92,1.00,0.03,34.00,0.89,18.00,0.47,14.00,0.37,32.00,0.84,0.00,0.00,17.00,0.45
9,Wichita Falls,12,BAYLOR,Economically Disadvantaged,26,25,0.96,21.00,0.81,1.00,0.04,16.00,0.62,5.00,0.19,7.00,0.27,12.00,0.46,1.00,0.04,3.00,0.12
9,Wichita Falls,39,CLAY,Not Economically Disadvantaged,106,103,0.97,97.00,0.92,5.00,0.05,93.00,0.88,38.00,0.36,31.00,0.29,69.00,0.65,2.00,0.02,31.00,0.29
9,Wichita Falls,39,CLAY,Economically Disadvantaged,44,41,0.93,38.00,0.86,2.00,0.05,29.00,0.66,5.00,0.11,15.00,0.34,20.00,0.45,1.00,0.02,6.00,0.14
9,Wichita Falls,78,FOARD,Not Economically Disadvantaged,,,,,,,,,,,,,,,,,,,
9,Wichita Falls,78,FOARD,Economically Disadvantaged,,,,,,,,,,,,,,,,,,,
9,Wichita Falls,99,HARDEMAN,Not Economically Disadvantaged,28,25,0.89,24.00,0.86,2.00,0.07,24.00,0.86,7.00,0.25,8.00,0.29,15.00,0.54,0.00,0.00,8.00,0.29
9,Wichita Falls,99,HARDEMAN,Economically Disadvantaged,24,23,0.96,23.00,0.96,0.00,0.00,23.00,0.96,3.00,0.13,11.00,0.46,14.00,0.58,0.00,0.00,6.00,0.25
9,Wichita Falls,119,JACK,Not Economically Disadvantaged,79,74,0.94,65.00,0.82,4.00,0.05,65.00,0.82,26.00,0.33,23.00,0.29,49.00,0.62,1.00,0.01,24.00,0.30
9,Wichita Falls,119,JACK,Economically Disadvantaged,55,52,0.95,45.00,0.82,6.00,0.11,43.00,0.78,6.00,0.11,18.00,0.33,24.00,0.44,1.00,0.02,2.00,0.04
9,Wichita Falls,138,KNOX,Not Economically Disadvantaged,23,23,1.00,22.00,0.96,1.00,0.04,22.00,0.96,4.00,0.17,12.00,0.52,16.00,0.70,0.00,0.00,8.00,0.35
9,Wichita Falls,138,KNOX,Economically Disadvantaged,38,36,0.95,35.00,0.92,2.00,0.05,33.00,0.87,2.00,0.05,18.00,0.47,20.00,0.53,0.00,0.00,2.00,0.05
9,Wichita Falls,169,MONTAGUE,Not Economically Disadvantaged,154,152,0.99,151.00,0.98,1.00,0.01,140.00,0.91,55.00,0.36,49.00,0.32,104.00,0.68,5.00,0.03,53.00,0.34
9,Wichita Falls,169,MONTAGUE,Economically Disadvantaged,101,90,0.89,86.00,0.85,5.00,0.05,68.00,0.67,6.00,0.06,26.00,0.26,32.00,0.32,3.00,0.03,4.00,0.04
9,Wichita Falls,224,THROCKMORTON,Not Economically Disadvantaged,,,,,,,,,,,,,,,,,,,
9,Wichita Falls,224,THROCKMORTON,Economically Disadvantaged,,,,,,,,,,,,,,,,,,,
9,Wichita Falls,243,WICHITA,Not Economically Disadvantaged,873,816,0.93,754.00,0.86,23.00,0.03,692.00,0.79,300.00,0.34,222.00,0.25,522.00,0.60,28.00,0.03,220.00,0.25
9,Wichita Falls,243,WICHITA,Economically Disadvantaged,771,714,0.93,593.00,0.77,88.00,0.11,548.00,0.71,93.00,0.12,157.00,0.20,250.00,0.32,22.00,0.03,69.00,0.09
9,Wichita Falls,244,WILBARGER,Not Economically Disadvantaged,83,81,0.98,78.00,0.94,1.00,0.01,74.00,0.89,28.00,0.34,31.00,0.37,59.00,0.71,3.00,0.04,29.00,0.35
9,Wichita Falls,244,WILBARGER,Economically Disadvantaged,111,99,0.89,83.00,0.75,15.00,0.14,76.00,0.68,9.00,0.08,30.00,0.27,39.00,0.35,4.00,0.04,16.00,0.14
9,Wichita Falls,252,YOUNG,Not Economically Disadvantaged,145,142,0.98,133.00,0.92,7.00,0.05,128.00,0.88,70.00,0.48,43.00,0.30,113.00,0.78,2.00,0.01,66.00,0.46
9,Wichita Falls,252,YOUNG,Economically Disadvantaged,90,87,0.97,73.00,0.81,7.00,0.08,63.00,0.70,9.00,0.10,19.00,0.21,28.00,0.31,1.00,0.01,11.00,0.12
10,Richardson,43,COLLIN,Not Economically Disadvantaged,7713,7307,0.95,6895.00,0.89,245.00,0.03,6617.00,0.86,2204.00,0.29,2929.00,0.38,5133.00,0.67,320.00,0.04,2535.00,0.33
10,Richardson,43,COLLIN,Economically Disadvantaged,1847,1699,0.92,1391.00,0.75,238.00,0.13,1285.00,0.70,197.00,0.11,543.00,0.29,740.00,0.40,59.00,0.03,226.00,0.12
10,Richardson,57,DALLAS,Not Economically Disadvantaged,13186,12393,0.94,10931.00,0.83,1268.00,0.10,10406.00,0.79,3516.00,0.27,4655.00,0.35,8171.00,0.62,589.00,0.04,3424.00,0.26
10,Richardson,57,DALLAS,Economically Disadvantaged,18963,17243,0.91,13188.00,0.70,3709.00,0.20,12293.00,0.65,2044.00,0.11,5386.00,0.28,7430.00,0.39,710.00,0.04,1875.00,0.10
10,Richardson,70,ELLIS,Not Economically Disadvantaged,1451,1397,0.96,1249.00,0.86,120.00,0.08,1204.00,0.83,368.00,0.25,647.00,0.45,1015.00,0.70,65.00,0.04,485.00,0.33
10,Richardson,70,ELLIS,Economically Disadvantaged,830,786,0.95,639.00,0.77,118.00,0.14,599.00,0.72,62.00,0.07,310.00,0.37,372.00,0.45,33.00,0.04,102.00,0.12
10,Richardson,74,FANNIN,Not Economically Disadvantaged,252,242,0.96,237.00,0.94,5.00,0.02,214.00,0.85,55.00,0.22,110.00,0.44,165.00,0.65,9.00,0.04,78.00,0.31
10,Richardson,74,FANNIN,Economically Disadvantaged,208,187,0.90,174.00,0.84,15.00,0.07,147.00,0.71,11.00,0.05,78.00,0.38,89.00,0.43,8.00,0.04,19.00,0.09
10,Richardson,91,GRAYSON,Not Economically Disadvantaged,1036,1007,0.97,941.00,0.91,38.00,0.04,855.00,0.83,216.00,0.21,458.00,0.44,674.00,0.65,40.00,0.04,292.00,0.28
10,Richardson,91,GRAYSON,Economically Disadvantaged,685,635,0.93,521.00,0.76,95.00,0.14,470.00,0.69,42.00,0.06,257.00,0.38,299.00,0.44,34.00,0.05,77.00,0.11
10,Richardson,116,HUNT,Not Economically Disadvantaged,586,555,0.95,508.00,0.87,41.00,0.07,475.00,0.81,143.00,0.24,205.00,0.35,348.00,0.59,12.00,0.02,172.00,0.29
10,Richardson,116,HUNT,Economically Disadvantaged,538,503,0.93,376.00,0.70,107.00,0.20,340.00,0.63,60.00,0.11,141.00,0.26,201.00,0.37,27.00,0.05,45.00,0.08
10,Richardson,129,KAUFMAN,Not Economically Disadvantaged,1042,1008,0.97,928.00,0.89,63.00,0.06,887.00,0.85,236.00,0.23,451.00,0.43,687.00,0.66,36.00,0.03,310.00,0.30
10,Richardson,129,KAUFMAN,Economically Disadvantaged,582,539,0.93,438.00,0.75,92.00,0.16,407.00,0.70,43.00,0.07,189.00,0.32,232.00,0.40,19.00,0.03,57.00,0.10
10,Richardson,199,ROCKWALL,Not Economically Disadvantaged,872,840,0.96,799.00,0.92,28.00,0.03,746.00,0.86,233.00,0.27,362.00,0.42,595.00,0.68,37.00,0.04,259.00,0.30
10,Richardson,199,ROCKWALL,Economically Disadvantaged,202,187,0.93,169.00,0.84,14.00,0.07,153.00,0.76,19.00,0.09,57.00,0.28,76.00,0.38,2.00,0.01,24.00,0.12
10,Richardson,234,VAN ZANDT,Not Economically Disadvantaged,217,210,0.97,193.00,0.89,15.00,0.07,183.00,0.84,47.00,0.22,96.00,0.44,143.00,0.66,5.00,0.02,75.00,0.35
10,Richardson,234,VAN ZANDT,Economically Disadvantaged,163,150,0.92,112.00,0.69,26.00,0.16,104.00,0.64,7.00,0.04,51.00,0.31,58.00,0.36,5.00,0.03,17.00,0.10
11,Fort Worth,49,COOKE,Not Economically Disadvantaged,270,265,0.98,243.00,0.90,14.00,0.05,238.00,0.88,56.00,0.21,122.00,0.45,178.00,0.66,6.00,0.02,80.00,0.30
11,Fort Worth,49,COOKE,Economically Disadvantaged,203,186,0.92,156.00,0.77,22.00,0.11,128.00,0.63,13.00,0.06,49.00,0.24,62.00,0.31,6.00,0.03,16.00,0.08
11,Fort Worth,61,DENTON,Not Economically Disadvantaged,5241,4973,0.95,4505.00,0.86,408.00,0.08,4413.00,0.84,1527.00,0.29,1917.00,0.37,3444.00,0.66,215.00,0.04,1582.00,0.30
11,Fort Worth,61,DENTON,Economically Disadvantaged,1712,1553,0.91,1207.00,0.71,318.00,0.19,1162.00,0.68,155.00,0.09,465.00,0.27,620.00,0.36,41.00,0.02,157.00,0.09
11,Fort Worth,72,ERATH,Not Economically Disadvantaged,215,212,0.99,201.00,0.93,4.00,0.02,195.00,0.91,106.00,0.49,50.00,0.23,156.00,0.73,3.00,0.01,80.00,0.37
11,Fort Worth,72,ERATH,Economically Disadvantaged,206,189,0.92,163.00,0.79,26.00,0.13,139.00,0.67,35.00,0.17,45.00,0.22,80.00,0.39,6.00,0.03,27.00,0.13
11,Fort Worth,111,HOOD,Not Economically Disadvantaged,416,391,0.94,369.00,0.89,13.00,0.03,345.00,0.83,139.00,0.33,129.00,0.31,268.00,0.64,14.00,0.03,137.00,0.33
11,Fort Worth,111,HOOD,Economically Disadvantaged,210,200,0.95,180.00,0.86,10.00,0.05,152.00,0.72,16.00,0.08,56.00,0.27,72.00,0.34,3.00,0.01,15.00,0.07
11,Fort Worth,126,JOHNSON,Not Economically Disadvantaged,1302,1235,0.95,1133.00,0.87,103.00,0.08,1104.00,0.85,325.00,0.25,509.00,0.39,834.00,0.64,53.00,0.04,395.00,0.30
11,Fort Worth,126,JOHNSON,Economically Disadvantaged,860,794,0.92,652.00,0.76,116.00,0.13,563.00,0.65,64.00,0.07,258.00,0.30,322.00,0.37,26.00,0.03,88.00,0.10
11,Fort Worth,182,PALO PINTO,Not Economically Disadvantaged,194,188,0.97,170.00,0.88,10.00,0.05,162.00,0.84,41.00,0.21,76.00,0.39,117.00,0.60,6.00,0.03,55.00,0.28
11,Fort Worth,182,PALO PINTO,Economically Disadvantaged,177,161,0.91,129.00,0.73,14.00,0.08,112.00,0.63,16.00,0.09,41.00,0.23,57.00,0.32,2.00,0.01,28.00,0.16
11,Fort Worth,184,PARKER,Not Economically Disadvantaged,1087,1042,0.96,970.00,0.89,47.00,0.04,912.00,0.84,292.00,0.27,454.00,0.42,746.00,0.69,57.00,0.05,371.00,0.34
11,Fort Worth,184,PARKER,Economically Disadvantaged,411,366,0.89,309.00,0.75,47.00,0.11,252.00,0.61,24.00,0.06,111.00,0.27,135.00,0.33,16.00,0.04,40.00,0.10
11,Fort Worth,213,SOMERVELL,Not Economically Disadvantaged,68,67,0.99,64.00,0.94,2.00,0.03,60.00,0.88,31.00,0.46,14.00,0.21,45.00,0.66,1.00,0.01,24.00,0.35
11,Fort Worth,213,SOMERVELL,Economically Disadvantaged,56,52,0.93,48.00,0.86,5.00,0.09,45.00,0.80,10.00,0.18,9.00,0.16,19.00,0.34,0.00,0.00,10.00,0.18
11,Fort Worth,220,TARRANT,Not Economically Disadvantaged,13240,12436,0.94,11192.00,0.85,1046.00,0.08,10659.00,0.81,3702.00,0.28,4888.00,0.37,8590.00,0.65,582.00,0.04,3861.00,0.29
11,Fort Worth,220,TARRANT,Economically Disadvantaged,9919,9020,0.91,6763.00,0.68,1911.00,0.19,6062.00,0.61,1005.00,0.10,2963.00,0.30,3968.00,0.40,480.00,0.05,1022.00,0.10
11,Fort Worth,249,WISE,Not Economically Disadvantaged,451,426,0.94,407.00,0.90,14.00,0.03,393.00,0.87,113.00,0.25,180.00,0.40,293.00,0.65,8.00,0.02,130.00,0.29
11,Fort Worth,249,WISE,Economically Disadvantaged,224,205,0.92,178.00,0.79,21.00,0.09,152.00,0.68,16.00,0.07,55.00,0.25,71.00,0.32,2.00,0.01,23.00,0.10
12,Waco,14,BELL,Not Economically Disadvantaged,2226,2027,0.91,1710.00,0.77,239.00,0.11,1668.00,0.75,510.00,0.23,832.00,0.37,1342.00,0.60,103.00,0.05,550.00,0.25
12,Waco,14,BELL,Economically Disadvantaged,1773,1555,0.88,1099.00,0.62,385.00,0.22,1049.00,0.59,131.00,0.07,592.00,0.33,723.00,0.41,104.00,0.06,138.00,0.08
12,Waco,18,BOSQUE,Not Economically Disadvantaged,127,123,0.97,119.00,0.94,1.00,0.01,115.00,0.91,40.00,0.32,63.00,0.50,103.00,0.81,4.00,0.03,54.00,0.43
12,Waco,18,BOSQUE,Economically Disadvantaged,131,125,0.95,112.00,0.86,4.00,0.03,109.00,0.83,13.00,0.10,59.00,0.45,72.00,0.55,3.00,0.02,24.00,0.18
12,Waco,50,CORYELL,Not Economically Disadvantaged,536,481,0.90,435.00,0.81,47.00,0.09,419.00,0.78,126.00,0.24,198.00,0.37,324.00,0.60,19.00,0.04,135.00,0.25
12,Waco,50,CORYELL,Economically Disadvantaged,310,276,0.89,217.00,0.70,49.00,0.16,199.00,0.64,27.00,0.09,102.00,0.33,129.00,0.42,12.00,0.04,36.00,0.12
12,Waco,73,FALLS,Not Economically Disadvantaged,78,74,0.95,67.00,0.86,6.00,0.08,68.00,0.87,28.00,0.36,27.00,0.35,55.00,0.71,2.00,0.03,29.00,0.37
12,Waco,73,FALLS,Economically Disadvantaged,141,131,0.93,105.00,0.74,20.00,0.14,86.00,0.61,8.00,0.06,55.00,0.39,63.00,0.45,7.00,0.05,20.00,0.14
12,Waco,81,FREESTONE,Not Economically Disadvantaged,165,157,0.95,147.00,0.89,7.00,0.04,142.00,0.86,39.00,0.24,83.00,0.50,122.00,0.74,3.00,0.02,66.00,0.40
12,Waco,81,FREESTONE,Economically Disadvantaged,116,107,0.92,90.00,0.78,8.00,0.07,78.00,0.67,10.00,0.09,44.00,0.38,54.00,0.47,5.00,0.04,13.00,0.11
12,Waco,97,HAMILTON,Not Economically Disadvantaged,66,66,1.00,64.00,0.97,0.00,0.00,57.00,0.86,34.00,0.52,19.00,0.29,53.00,0.80,4.00,0.06,25.00,0.38
12,Waco,97,HAMILTON,Economically Disadvantaged,77,72,0.94,70.00,0.91,6.00,0.08,62.00,0.81,17.00,0.22,20.00,0.26,37.00,0.48,1.00,0.01,9.00,0.12
12,Waco,109,HILL,Not Economically Disadvantaged,203,201,0.99,186.00,0.92,11.00,0.05,180.00,0.89,51.00,0.25,96.00,0.47,147.00,0.72,6.00,0.03,69.00,0.34
12,Waco,109,HILL,Economically Disadvantaged,246,231,0.94,202.00,0.82,15.00,0.06,179.00,0.73,15.00,0.06,122.00,0.50,137.00,0.56,13.00,0.05,41.00,0.17
12,Waco,141,LAMPASAS,Not Economically Disadvantaged,179,168,0.94,160.00,0.89,4.00,0.02,148.00,0.83,50.00,0.28,59.00,0.33,109.00,0.61,9.00,0.05,41.00,0.23
12,Waco,141,LAMPASAS,Economically Disadvantaged,132,119,0.90,96.00,0.73,18.00,0.14,84.00,0.64,8.00,0.06,27.00,0.20,35.00,0.27,3.00,0.02,8.00,0.06
12,Waco,147,LIMESTONE,Not Economically Disadvantaged,148,144,0.97,132.00,0.89,5.00,0.03,117.00,0.79,33.00,0.22,78.00,0.53,111.00,0.75,10.00,0.07,53.00,0.36
12,Waco,147,LIMESTONE,Economically Disadvantaged,166,160,0.96,132.00,0.80,21.00,0.13,111.00,0.67,14.00,0.08,66.00,0.40,80.00,0.48,6.00,0.04,23.00,0.14
12,Waco,161,MCLENNAN,Not Economically Disadvantaged,1453,1376,0.95,1291.00,0.89,69.00,0.05,1228.00,0.85,344.00,0.24,755.00,0.52,1099.00,0.76,61.00,0.04,594.00,0.41
12,Waco,161,MCLENNAN,Economically Disadvantaged,1562,1409,0.90,1161.00,0.74,264.00,0.17,1058.00,0.68,98.00,0.06,731.00,0.47,829.00,0.53,99.00,0.06,194.00,0.12
12,Waco,167,MILLS,Not Economically Disadvantaged,37,37,1.00,34.00,0.92,2.00,0.05,31.00,0.84,12.00,0.32,16.00,0.43,28.00,0.76,1.00,0.03,15.00,0.41
12,Waco,167,MILLS,Economically Disadvantaged,32,31,0.97,26.00,0.81,5.00,0.16,25.00,0.78,5.00,0.16,7.00,0.22,12.00,0.38,1.00,0.03,3.00,0.09
12,Waco,175,NAVARRO,Not Economically Disadvantaged,273,264,0.97,247.00,0.90,16.00,0.06,221.00,0.81,44.00,0.16,155.00,0.57,199.00,0.73,17.00,0.06,102.00,0.37
12,Waco,175,NAVARRO,Economically Disadvantaged,397,367,0.92,306.00,0.77,44.00,0.11,258.00,0.65,16.00,0.04,201.00,0.51,217.00,0.55,35.00,0.09,51.00,0.13
13,Austin,11,BASTROP,Not Economically Disadvantaged,542,523,0.96,465.00,0.86,43.00,0.08,457.00,0.84,142.00,0.26,182.00,0.34,324.00,0.60,12.00,0.02,123.00,0.23
13,Austin,11,BASTROP,Economically Disadvantaged,507,464,0.92,358.00,0.71,107.00,0.21,370.00,0.73,48.00,0.09,128.00,0.25,176.00,0.35,11.00,0.02,28.00,0.06
13,Austin,14,BELL,Not Economically Disadvantaged,,,,,,,,,,,,,,,,,,,
13,Austin,14,BELL,Economically Disadvantaged,,,,,,,,,,,,,,,,,,,
13,Austin,16,BLANCO,Not Economically Disadvantaged,73,71,0.97,62.00,0.85,3.00,0.04,60.00,0.82,27.00,0.37,24.00,0.33,51.00,0.70,5.00,0.07,22.00,0.30
13,Austin,16,BLANCO,Economically Disadvantaged,47,45,0.96,38.00,0.81,5.00,0.11,36.00,0.77,6.00,0.13,9.00,0.19,15.00,0.32,1.00,0.02,3.00,0.06
13,Austin,27,BURNET,Not Economically Disadvantaged,266,258,0.97,236.00,0.89,15.00,0.06,225.00,0.85,87.00,0.33,80.00,0.30,167.00,0.63,6.00,0.02,77.00,0.29
13,Austin,27,BURNET,Economically Disadvantaged,242,224,0.93,192.00,0.79,33.00,0.14,184.00,0.76,24.00,0.10,57.00,0.24,81.00,0.33,5.00,0.02,28.00,0.12
13,Austin,28,CALDWELL,Not Economically Disadvantaged,234,226,0.97,212.00,0.91,9.00,0.04,197.00,0.84,78.00,0.33,47.00,0.20,125.00,0.53,3.00,0.01,53.00,0.23
13,Austin,28,CALDWELL,Economically Disadvantaged,232,225,0.97,201.00,0.87,15.00,0.06,184.00,0.79,35.00,0.15,49.00,0.21,84.00,0.36,0.00,0.00,21.00,0.09
13,Austin,46,COMAL,Not Economically Disadvantaged,1093,1055,0.97,982.00,0.90,58.00,0.05,950.00,0.87,404.00,0.37,343.00,0.31,747.00,0.68,29.00,0.03,404.00,0.37
13,Austin,46,COMAL,Economically Disadvantaged,558,494,0.89,379.00,0.68,94.00,0.17,341.00,0.61,51.00,0.09,113.00,0.20,164.00,0.29,22.00,0.04,32.00,0.06
13,Austin,75,FAYETTE,Not Economically Disadvantaged,186,182,0.98,171.00,0.92,7.00,0.04,162.00,0.87,39.00,0.21,102.00,0.55,141.00,0.76,2.00,0.01,78.00,0.42
13,Austin,75,FAYETTE,Economically Disadvantaged,123,111,0.90,92.00,0.75,21.00,0.17,92.00,0.75,9.00,0.07,36.00,0.29,45.00,0.37,1.00,0.01,20.00,0.16
13,Austin,86,GILLESPIE,Not Economically Disadvantaged,159,153,0.96,144.00,0.91,3.00,0.02,144.00,0.91,62.00,0.39,33.00,0.21,95.00,0.60,1.00,0.01,49.00,0.31
