CAMPUS,CA0GS18R,CAD_GAP,CAD_MATH,CAD_POST,CAD_PROGRESS,CAD_READ,CAD_SCIE,CAD_SOCI,CALL_UPDATE,CAMPNAME,CASC4X18R,CD1A,CD1AS,CD1B,CD1BS,CD1C,CD1CS,CD1G_18_19,CD1S,CD2A,CD2AG,CD2AS,CD2B,CD2BG,CD2BS,CD2G_18_19,CD2S,CD3,CD3G_18_19,CD3S,CDALLS,CFLAEATYPE,CFLAEC,CFLALTED,CFLCHART,CFLDAEP,CFLEEK,CFLJJ,CFLNEWCAMP,CFLPAIR,CFLPAIRD,CFLPAIRO,CFLRTF,CNTYNAME,COMP19F,COUNTY,CPE0312C,CPE0312P,CPEMALLC,CPEMALLP,CPEMALLT,CPETALLC,CPETECHC,CPETECHP,CPETECOC,CPETECOP,CPETLEPC,CPETLEPP,CPETPTEC,CPETPTEP,CPETSPEC,CPETSPEP,CPETSTEC,CPETSTEP,C_AEABONUS,C_AEABONUS_USED_PCT,C_AEAGRAD_PTS,C_AEASTAAR_PCT,C_AEASTAAR_PTS,C_APPEAL_DECISION,C_RATING_18_19,C_YRS_IR,DISTNAME,DISTRICT,GRDHIGH,GRDLOW,GRDSPAN,GRDTYPE,LAS_GRADE,LAS_SCORE,LAS_WEIGHT,PAIRCAMP,PAIRNAME,REGION,REGNNAME
020901118,.,1,0,0,0,0,1, , ,POMONA EL,.,55,83,.,.,.,.,B,83,73,C,77,55,C,73,C,77,94,B,89,85, ,N,N,N,N,N,N,N,N,N,N,N,BRAZORIA,.,20,260,45.1,63,16.6,380,577,.,0.0,192,33.3,66,11.4,.,0.0,57,9.9,.,0.0,.,.,.,.,., ,B,.,ALVIN ISD,20901,5,PK,PK - 05,E, ,.,., , ,4,REGION 04: HOUSTON
020902001,89.7,0,0,0,0,0,0,0, ,ANGLETON H S,90.3,49,77,55,86,100,100,B,85,58,D,63,52,B,80,B,80,54,C,76,82, ,N,N,N,N,N,N,N,N,N,N,N,BRAZORIA,2,20,1924,100.0,312,14.9,2101,1924,.,0.0,940,48.9,120,6.2,0,0.0,169,8.8,140,7.3,.,.,.,.,., ,B,.,ANGLETON ISD,20902,12,9,09 - 12,S, ,.,., , ,4,REGION 04: HOUSTON
020902002,., , , , , , , , ,STUDENT ALTERNATIVE CTR,.,.,.,.,.,.,.,Not Rated,.,.,Not Rated,.,.,Not Rated,.,Not Rated,.,.,Not Rated,.,., ,N,N,N,Y,N,N,N,N,N,N,N,BRAZORIA,.,20,41,100.0,189,99.5,190,41,.,0.0,27,65.9,2,4.9,0,0.0,4,9.8,.,0.0,.,.,.,.,., ,Not Rated,.,ANGLETON ISD,20902,12,7,07 - 12,S, ,.,., , ,4,REGION 04: HOUSTON
020902003,., , , , , , , , ,BRAZORIA CO ALTER ED CTR,.,.,.,.,.,.,.,Not Rated,.,.,Not Rated,.,.,Not Rated,.,Not Rated,.,.,Not Rated,.,., ,N,N,N,N,N,Y,N,N,N,N,N,BRAZORIA,.,20,3,100.0,31,100,31,3,.,0.0,1,33.3,0,0.0,0,0.0,1,33.3,.,0.0,.,.,.,.,., ,Not Rated,.,ANGLETON ISD,20902,10,8,08 - 10,S, ,.,., , ,4,REGION 04: HOUSTON
020902004,., , , , , , , , ,BRAZORIA CO JUVENILE DETENTION,.,.,.,.,.,.,.,Not Rated,.,.,Not Rated,.,.,Not Rated,.,Not Rated,.,.,Not Rated,.,.,RESIDENTIAL FACILITY,N,Y,N,N,N,N,N,N,N,N,Y,BRAZORIA,.,20,32,100.0,438,99.1,442,32,.,0.0,19,59.4,4,12.5,0,0.0,11,34.4,.,0.0,0,.,0,.,., ,Not Rated,.,ANGLETON ISD,20902,12,6,06 - 12,B, ,.,., , ,4,REGION 04: HOUSTON
020902044,.,0,0,0,0,0,0,0, ,ANGLETON J H SCHOOL,.,44,75,.,.,.,.,C,75,60,F,59,44,C,79,C,79,17,D,63,74, ,N,N,N,N,N,N,N,N,N,N,N,BRAZORIA,2,20,1492,100.0,216,13.8,1570,1492,.,0.0,915,61.3,207,13.9,.,0.0,137,9.2,0,0.0,.,.,.,.,., ,C,.,ANGLETON ISD,20902,8,6,06 - 08,M, ,.,., , ,4,REGION 04: HOUSTON
020902102,.,0,0,0,0,0,0, , ,NORTHSIDE EL,.,45,73,.,.,.,.,C,73,63,F,59,45,C,74,C,74,35,D,65,71, ,N,N,N,N,N,N,N,N,N,N,N,BRAZORIA,2,20,227,53.2,40,10.4,384,427,.,0.0,268,62.8,10,2.3,.,0.0,58,13.6,.,0.0,.,.,.,.,., ,C,.,ANGLETON ISD,20902,5,KG,KG - 05,E, ,.,., , ,4,REGION 04: HOUSTON
020902103,.,0,0,0,0,0,0, , ,SOUTHSIDE EL,.,41,70,.,.,.,.,C,70,62,F,59,41,C,75,C,75,16,F,51,68, ,N,N,N,N,N,N,N,N,N,N,N,BRAZORIA,2,20,174,50.0,74,19.9,371,348,.,0.0,279,80.2,18,5.2,.,0.0,49,14.1,.,0.0,.,.,.,.,., ,D,.,ANGLETON ISD,20902,5,KG,KG - 05,E, ,.,., , ,4,REGION 04: HOUSTON
020902104,.,0,0,0,0,0,1, , ,WESTSIDE EL,.,48,76,.,.,.,.,C,76,70,C,72,48,B,82,B,82,51,C,71,79, ,N,N,N,N,N,N,N,N,N,N,N,BRAZORIA,.,20,524,49.4,52,5.5,939,1060,.,0.0,802,75.7,418,39.4,.,0.0,101,9.5,.,0.0,.,.,.,.,., ,C,.,ANGLETON ISD,20902,5,KG,KG - 05,E, ,.,., , ,4,REGION 04: HOUSTON
020902108,.,0,0,0,1,0,1, , ,RANCHO ISABELLA EL,.,51,78,.,.,.,.,C,78,77,B,83,51,B,82,B,83,80,C,78,82, ,N,N,N,N,N,N,N,N,N,N,N,BRAZORIA,2,20,185,51.8,42,12.5,337,357,.,0.0,219,61.3,15,4.2,.,0.0,38,10.6,.,0.0,.,.,.,.,., ,B,.,ANGLETON ISD,20902,5,KG,KG - 05,E, ,.,., , ,4,REGION 04: HOUSTON
020902109,.,0,0,1,0,0,1, , ,FRONTIER EL,.,62,91,.,.,.,.,A,91,74,C,79,62,B,88,B,88,82,C,79,87, ,N,N,N,N,N,N,N,N,N,N,N,BRAZORIA,.,20,253,56.3,54,13.5,399,449,.,0.0,221,49.2,17,3.8,.,0.0,54,12.0,.,0.0,.,.,.,.,., ,B,.,ANGLETON ISD,20902,5,KG,KG - 05,E, ,.,., , ,4,REGION 04: HOUSTON
020902110,.,1,1,1,1,1,1, , ,CENTRAL EL,.,52,79,.,.,.,.,C,79,78,B,85,52,B,87,B,87,96,A,92,89, ,N,N,N,N,N,N,N,N,N,N,N,BRAZORIA,.,20,165,28.1,73,20.7,353,587,.,0.0,478,81.4,68,11.6,.,0.0,93,15.8,.,0.0,.,.,.,.,., ,B,.,ANGLETON ISD,20902,5,EE,EE - 05,E, ,.,., , ,4,REGION 04: HOUSTON
020904001,97.7,0,0,0,0,0,0,0, ,DANBURY H S,95.5,49,77,59,89,100,100,B,86,60,D,66,54,C,72,C,72,72,B,81,85, ,N,N,N,N,N,N,N,N,N,N,N,BRAZORIA,.,20,261,100.0,19,7.8,244,261,0,0.0,76,29.1,1,0.4,0,0.0,22,8.4,0,0.0,.,.,.,.,., ,B,.,DANBURY ISD,20904,12,9,09 - 12,S, ,.,., , ,4,REGION 04: HOUSTON
020904002,., , , , , , , , ,BRAZORIA CO J J A E P,.,.,.,.,.,.,.,Not Rated,.,.,Not Rated,.,.,Not Rated,.,Not Rated,.,.,Not Rated,.,., ,N,N,N,N,N,Y,Y,N,N,N,N,BRAZORIA,.,20,1,100.0,.,.,.,1,0,0.0,1,100.0,0,0.0,0,0.0,1,100.0,0,0.0,.,.,.,.,., ,Not Rated,.,DANBURY ISD,20904,11,11,11 - 11,S, ,.,., , ,4,REGION 04: HOUSTON
020904041,.,0,0,0,0,0,0,1, ,DANBURY MIDDLE,.,52,83,.,.,.,.,B,83,50,F,54,52,C,79,C,79,24,D,67,78, ,N,N,N,N,N,N,N,N,N,N,N,BRAZORIA,.,20,186,100.0,14,7,199,186,0,0.0,80,43.0,6,3.2,0,0.0,15,8.1,0,0.0,.,.,.,.,., ,C,.,DANBURY ISD,20904,8,6,06 - 08,M, ,.,., , ,4,REGION 04: HOUSTON
020904101,.,0,1,0,0,0,0, , ,DANBURY EL,.,54,82,.,.,.,.,B,82,76,B,82,54,C,77,B,82,72,C,76,80, ,N,N,N,N,N,N,N,N,N,N,N,BRAZORIA,.,20,175,49.9,30,10.1,298,351,0,0.0,150,42.7,24,6.8,0,0.0,13,3.7,0,0.0,.,.,.,.,., ,B,.,DANBURY ISD,20904,5,EE,EE - 05,E, ,.,., , ,4,REGION 04: HOUSTON
020905001,97.3,0,0,0,0,0,0,0, ,BRAZOSPORT H S,98.9,38,65,62,91,95.8,85,C,79,59,D,65,50,B,82,B,82,30,C,70,78, ,N,N,N,N,N,N,N,N,N,N,N,BRAZORIA,3B,20,964,100.0,202,18,1125,964,0,0.0,700,72.6,81,8.4,0,0.0,90,9.3,0,0.0,.,.,.,.,., ,C,.,BRAZOSPORT ISD,20905,12,9,09 - 12,S, ,.,., , ,4,REGION 04: HOUSTON
020905002,99.3,0,0,0,0,0,0,0, ,BRAZOSWOOD H S,100,48,76,73,93,97.6,90,B,86,64,C,72,61,B,83,B,83,49,C,75,83, ,N,N,N,N,N,N,N,N,N,N,N,BRAZORIA,2,20,2435,100.0,310,12.1,2565,2435,0,0.0,1003,41.2,119,4.9,0,0.0,185,7.6,0,0.0,.,.,.,.,., ,B,.,BRAZOSPORT ISD,20905,12,9,09 - 12,S, ,.,., , ,4,REGION 04: HOUSTON
020905004,., , , , , , , , ,LIGHTHOUSE LEARNING CENTER - DAEP,.,.,.,.,.,.,.,Not Rated,.,.,Not Rated,.,.,Not Rated,.,Not Rated,.,.,Not Rated,.,., ,N,N,N,Y,N,N,N,N,N,N,N,BRAZORIA,.,20,83,100.0,283,100,283,83,0,0.0,68,81.9,8,9.6,0,0.0,13,15.7,0,0.0,.,.,.,.,., ,Not Rated,.,BRAZOSPORT ISD,20905,12,3,03 - 12,B, ,.,., , ,4,REGION 04: HOUSTON
020905005,., , , , , , , , ,LIGHTHOUSE LEARNING CENTER - JJAEP,.,.,.,.,.,.,.,Not Rated,.,.,Not Rated,.,.,Not Rated,.,Not Rated,.,.,Not Rated,.,., ,N,N,N,N,N,Y,N,N,N,N,N,BRAZORIA,.,20,4,100.0,15,100,15,4,0,0.0,4,100.0,0,0.0,0,0.0,0,0.0,0,0.0,.,.,.,.,., ,Not Rated,.,BRAZOSPORT ISD,20905,10,9,09 - 10,S, ,.,., , ,4,REGION 04: HOUSTON
020905006,73.1, , , , , , , , ,BRAZOS SUCCESS ACADEMY,96.7,23,73,25,90,80.5,75,B,80,79,B,88,.,Not Rated,.,B,88,0,F,30,79,AEC OF CHOICE - DRS,Y,Y,N,N,N,N,N,N,N,N,N,BRAZORIA,1A,20,131,100.0,136,59.1,230,131,0,0.0,75,57.3,3,2.3,0,0.0,4,3.1,0,0.0,8,97,5,50,3, ,C,.,BRAZOSPORT ISD,20905,12,9,09 - 12,S, ,.,., , ,4,REGION 04: HOUSTON
020905041,.,0,0,0,1,0,0,0, ,CLUTE INT,.,38,70,.,.,.,.,C,70,67,C,72,38,C,77,C,77,30,C,70,75, ,N,N,N,N,N,N,N,N,N,N,N,BRAZORIA,2,20,900,100.0,173,17.1,1014,900,0,0.0,706,78.4,121,13.4,0,0.0,85,9.4,0,0.0,.,.,.,.,., ,C,.,BRAZOSPORT ISD,20905,8,5,05 - 08,M, ,.,., , ,4,REGION 04: HOUSTON
020905042,.,1,1,1,1,0,1,1, ,FREEPORT INT,.,44,75,.,.,.,.,C,75,77,B,86,44,B,85,B,86,75,B,83,85, ,N,N,N,N,N,N,N,N,N,N,N,BRAZORIA,2,20,515,100.0,105,20,525,515,0,0.0,416,80.8,76,14.8,0,0.0,40,7.8,0,0.0,.,.,.,.,., ,B,.,BRAZOSPORT ISD,20905,8,7,07 - 08,M, ,.,., , ,4,REGION 04: HOUSTON
020905043,.,1,0,0,1,0,0,0, ,LAKE JACKSON INT,.,52,83,.,.,.,.,B,83,78,B,88,52,B,80,B,88,95,A,95,90, ,N,N,N,N,N,N,N,N,N,N,N,BRAZORIA,.,20,882,100.0,119,12.3,964,882,0,0.0,383,43.4,36,4.1,0,0.0,73,8.3,0,0.0,.,.,.,.,., ,A,.,BRAZOSPORT ISD,20905,8,7,07 - 08,M, ,.,., , ,4,REGION 04: HOUSTON
020905101,.,0,0,0,0,1,0, , ,S F AUSTIN EL,.,46,74,.,.,.,.,C,74,65,D,62,46,C,77,C,77,22,F,59,72, ,N,N,N,N,N,N,N,N,N,N,N,BRAZORIA,3B,20,175,53.7,37,13.5,274,326,0,0.0,217,66.6,28,8.6,0,0.0,24,7.4,0,0.0,.,.,.,.,., ,C,.,BRAZOSPORT ISD,20905,6,PK,PK - 06,E, ,.,., , ,4,REGION 04: HOUSTON
020905102,.,1,1,1,1,1, , , ,A P BEUTEL EL,.,60,90,.,.,.,.,A,90,76,B,82,60,B,87,B,87,94,B,89,90, ,N,N,N,N,N,N,N,N,N,N,N,BRAZORIA,.,20,249,38.0,52,10.4,500,656,0,0.0,330,50.3,44,6.7,0,0.0,78,11.9,0,0.0,.,.,.,.,., ,A,.,BRAZOSPORT ISD,20905,4,EE,EE - 04,E, ,.,., , ,4,REGION 04: HOUSTON
020905104,., , , , , , , , ,FREEPORT EL,.,.,.,.,.,.,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,76, ,N,N,N,N,N,N,N,Y,N,N,N,BRAZORIA, ,20,0,0.0,55,22.3,247,513,0,0.0,459,89.5,168,32.7,0,0.0,48,9.4,0,0.0,.,.,.,.,., ,C,.,BRAZOSPORT ISD,20905,1,EE,EE - 01,E, ,.,.,20905110,VELASCO EL,4,REGION 04: HOUSTON
020905107,.,0,0,0,0,0, , , ,ELISABET NEY EL,.,51,78,.,.,.,.,C,78,71,C,74,51,B,82,B,82,66,C,75,80, ,N,N,N,N,N,N,N,N,N,N,N,BRAZORIA,1B,20,182,40.3,31,8.4,370,452,0,0.0,277,61.3,37,8.2,0,0.0,58,12.8,0,0.0,.,.,.,.,., ,B,.,BRAZOSPORT ISD,20905,4,EE,EE - 04,E, ,.,., , ,4,REGION 04: HOUSTON
020905108,.,0,0,0,0,0, , , ,T W OGG EL,.,44,72,.,.,.,.,C,72,67,D,67,44,B,80,B,80,62,C,74,78, ,N,N,N,N,N,N,N,N,N,N,N,BRAZORIA,2,20,185,35.9,79,19.7,402,516,0,0.0,443,85.9,177,34.3,0,0.0,43,8.3,0,0.0,.,.,.,.,., ,C,.,BRAZOSPORT ISD,20905,4,PK,PK - 04,E, ,.,., , ,4,REGION 04: HOUSTON
020905109,.,1,1,1,1,1, , , ,O M ROBERTS EL,.,60,90,.,.,.,.,A,90,82,A,90,60,A,90,A,90,94,B,89,90, ,N,N,N,N,N,N,N,N,N,N,N,BRAZORIA,.,20,198,40.2,91,20.3,448,493,0,0.0,317,64.3,48,9.7,0,0.0,33,6.7,0,0.0,.,.,.,.,., ,A,.,BRAZOSPORT ISD,20905,4,EE,EE - 04,E, ,.,., , ,4,REGION 04: HOUSTON
020905110,.,0,1,0,0,0, , , ,VELASCO EL,.,42,71,.,.,.,.,C,71,69,C,70,42,C,77,C,77,65,C,74,76, ,N,N,N,N,N,N,N,N,N,Y,N,BRAZORIA,2,20,412,66.9,147,19.9,739,616,0,0.0,530,86.0,195,31.7,0,0.0,64,10.4,0,0.0,.,.,.,.,., ,C,.,BRAZOSPORT ISD,20905,4,2,02 - 04,E, ,.,., , ,4,REGION 04: HOUSTON
020905111,.,1,1,1,1,1, , , ,BESS BRANNEN EL,.,67,92,.,.,.,.,A,92,85,A,92,67,B,89,A,92,100,A,100,94, ,N,N,N,N,N,N,N,N,N,N,N,BRAZORIA,.,20,213,36.6,49,10.4,470,582,0,0.0,233,40.0,55,9.5,0,0.0,42,7.2,0,0.0,.,.,.,.,., ,A,.,BRAZOSPORT ISD,20905,4,EE,EE - 04,E, ,.,., , ,4,REGION 04: HOUSTON
020905113,.,0,0,1,0,0, , , ,GLADYS POLK EL,.,54,82,.,.,.,.,B,82,67,D,67,54,B,85,B,85,65,C,74,82, ,N,N,N,N,N,N,N,N,N,N,N,BRAZORIA,.,20,184,35.1,76,20.1,379,524,0,0.0,335,63.9,98,18.7,0,0.0,49,9.4,0,0.0,.,.,.,.,., ,B,.,BRAZOSPORT ISD,20905,4,EE,EE - 04,E, ,.,., , ,4,REGION 04: HOUSTON
020905114,.,0,1,1,0,0, , , ,GRIFFITH EL,.,49,77,.,.,.,.,C,77,57,F,56,49,B,83,B,83,58,C,73,80, ,N,N,N,N,N,N,N,N,N,N,N,BRAZORIA,.,20,170,31.6,70,16.9,414,538,0,0.0,404,75.1,198,36.8,0,0.0,60,11.2,0,0.0,.,.,.,.,., ,B,.,BRAZOSPORT ISD,20905,4,EE,EE - 04,E, ,.,., , ,4,REGION 04: HOUSTON
020905115,.,0,0,0,0,0,0, , ,RASCO MIDDLE,.,51,82,.,.,.,.,B,82,60,F,59,51,B,81,B,81,29,C,70,78, ,N,N,N,N,N,N,N,N,N,N,N,BRAZORIA,2,20,831,100.0,93,10.6,875,831,0,0.0,397,47.8,39,4.7,0,0.0,54,6.5,0,0.0,.,.,.,.,., ,C,.,BRAZOSPORT ISD,20905,6,5,05 - 06,M, ,.,., , ,4,REGION 04: HOUSTON
020905116,.,0,1,0,1,0,0, , ,O'HARA LANIER MIDDLE,.,43,75,.,.,.,.,C,75,67,C,72,43,B,85,B,85,41,C,73,81, ,N,N,N,N,N,N,N,N,N,N,N,BRAZORIA,2,20,424,100.0,77,15.8,486,424,0,0.0,345,81.4,78,18.4,0,0.0,48,11.3,0,0.0,.,.,.,.,., ,B,.,BRAZOSPORT ISD,20905,6,5,05 - 06,M, ,.,., , ,4,REGION 04: HOUSTON
020906002,97.9,0,0,1,0,0,0,0, ,SWEENY H S,98.6,47,75,79,95,98.4,95,B,87,54,F,58,63,B,84,B,84,76,B,83,86, ,N,N,N,N,N,N,N,N,N,N,N,BRAZORIA,.,20,600,100.0,79,12.1,652,600,.,0.0,245,40.8,4,0.7,0,0.0,50,8.3,.,0.0,.,.,.,.,., ,B,.,SWEENY ISD,20906,12,9,09 - 12,S, ,.,., , ,4,REGION 04: HOUSTON
020906041,.,0,0,0,0,0,0,0, ,SWEENY J H,.,48,79,.,.,.,.,C,79,63,D,63,48,C,77,C,77,39,C,73,77, ,N,N,N,N,N,N,N,N,N,N,N,BRAZORIA,2,20,464,100.0,55,11.7,471,464,.,0.0,222,47.8,16,3.4,.,0.0,37,8.0,.,0.0,.,.,.,.,., ,C,.,SWEENY ISD,20906,8,6,06 - 08,M, ,.,., , ,4,REGION 04: HOUSTON
020906104,.,0,0,0,0,0,0, , ,SWEENY EL,.,41,70,.,.,.,.,C,70,63,F,59,41,D,66,D,66,20,F,56,66, ,N,N,N,N,N,N,N,N,N,N,N,BRAZORIA,2,20,417,45.6,95,12,794,914,.,0.0,550,60.2,38,4.2,.,0.0,61,6.7,.,0.0,.,.,.,.,., ,D,.,SWEENY ISD,20906,5,EE,EE - 05,E, ,.,., , ,4,REGION 04: HOUSTON
020907001,76.9,0,0,0,0,0,0,0, ,COLUMBIA H S,79.6,42,71,68,92,95.8,85,B,82,64,C,72,55,C,78,C,78,44,C,74,80, ,N,N,N,N,N,N,N,N,N,N,N,BRAZORIA,.,20,847,100.0,124,13,956,847,.,0.0,330,39.0,14,1.7,0,0.0,79,9.3,.,0.0,.,.,.,.,., ,B,.,COLUMBIA-BRAZORIA ISD,20907,12,9,09 - 12,S, ,.,., , ,4,REGION 04: HOUSTON
020907005,., , , , , , , , ,BRAZORIA CO J J A E P,.,.,.,.,.,.,.,Not Rated,.,.,Not Rated,.,.,Not Rated,.,Not Rated,.,.,Not Rated,.,., ,N,N,N,N,N,Y,Y,N,N,N,N,BRAZORIA,.,20,1,100.0,2,100,2,1,.,0.0,0,0.0,0,0.0,0,0.0,0,0.0,.,0.0,.,.,.,.,., ,Not Rated,.,COLUMBIA-BRAZORIA ISD,20907,9,9,09 - 09,S, ,.,., , ,4,REGION 04: HOUSTON
020907042,.,0,0,0,0,0,0,0, ,WEST BRAZOS J H,.,37,69,.,.,.,.,D,69,66,C,70,37,F,58,C,70,30,C,70,70, ,N,N,N,N,N,N,N,N,N,N,N,BRAZORIA,2,20,481,100.0,72,13.7,524,481,.,0.0,246,51.1,30,6.2,.,0.0,42,8.7,.,0.0,.,.,.,.,., ,C,.,COLUMBIA-BRAZORIA ISD,20907,8,7,07 - 08,M, ,.,., , ,4,REGION 04: HOUSTON
020907102,.,0,0,0,0,0,0, , ,WEST COLUMBIA EL,.,44,72,.,.,.,.,C,72,70,C,72,44,D,60,C,72,42,D,67,71, ,N,N,N,N,N,N,N,N,N,N,N,BRAZORIA,2,20,481,57.5,90,12.3,730,837,.,0.0,379,45.3,72,8.6,.,0.0,75,9.0,.,0.0,.,.,.,.,., ,C,.,COLUMBIA-BRAZORIA ISD,20907,6,EE,EE - 06,E, ,.,., , ,4,REGION 04: HOUSTON
020907106,.,0,1,0,1,0,1, , ,WILD PEACH EL,.,38,65,.,.,.,.,D,65,68,D,69,38,D,66,D,69,38,D,66,68, ,N,N,N,N,N,N,N,N,N,N,N,BRAZORIA,2,20,186,58.9,63,19.3,327,316,.,0.0,225,71.2,37,11.7,.,0.0,31,9.8,.,0.0,.,.,.,.,., ,D,.,COLUMBIA-BRAZORIA ISD,20907,6,PK,PK - 06,E, ,.,., , ,4,REGION 04: HOUSTON
020907107,.,0,0,0,0,0,0, , ,BARROW EL,.,38,65,.,.,.,.,D,65,57,F,56,38,D,60,D,60,0,F,30,55, ,N,N,N,N,N,N,N,N,N,N,N,BRAZORIA,1,20,296,53.9,91,18,506,549,.,0.0,355,64.7,59,10.7,.,0.0,65,11.8,.,0.0,.,.,.,.,., ,F,1,COLUMBIA-BRAZORIA ISD,20907,6,EE,EE - 06,E, ,.,., , ,4,REGION 04: HOUSTON
020908001,86.9,0,0,0,0,0,0,0, ,PEARLAND H S,88.1,62,91,73,93,99.8,95,A,93,75,B,85,68,B,85,B,85,80,B,84,90, ,N,N,N,N,N,N,N,N,N,N,N,BRAZORIA,.,20,3060,100.0,277,8.7,3197,3060,.,0.0,959,31.3,104,3.4,0,0.0,349,11.4,.,0.0,.,.,.,.,., ,A,.,PEARLAND ISD,20908,12,9,09 - 12,S, ,.,., , ,4,REGION 04: HOUSTON
020908002,., , , , , , , , ,BRAZORIA CO J J A E P,.,.,.,.,.,.,.,Not Rated,.,.,Not Rated,.,.,Not Rated,.,Not Rated,.,.,Not Rated,.,., ,N,N,N,N,N,Y,N,N,N,N,N,BRAZORIA,.,20,9,100.0,17,100,17,9,.,0.0,5,55.6,0,0.0,0,0.0,1,11.1,.,0.0,.,.,.,.,., ,Not Rated,.,PEARLAND ISD,20908,12,8,08 - 12,S, ,.,., , ,4,REGION 04: HOUSTON
020908004,11.8, , , , , , , , ,PACE CENTER,15.2,27,77,25,90,97.4,90,B,85,61,C,79,.,Not Rated,.,C,79,0,F,30,69,AEC OF CHOICE - DRS,Y,Y,N,N,N,N,N,N,N,N,N,BRAZORIA,3A,20,94,100.0,113,80.7,140,94,.,0.0,55,58.5,8,8.5,0,0.0,13,13.8,.,0.0,0,15,0,33,0, ,D,.,PEARLAND ISD,20908,12,9,09 - 12,S, ,.,., , ,4,REGION 04: HOUSTON
020908007,87.5,1,1,0,0,1,1,1, ,GLENDA DAWSON H S,87.7,70,93,80,95,99.8,95,A,94,76,B,86,75,B,85,B,86,93,B,89,93, ,N,N,N,N,N,N,N,N,N,N,N,BRAZORIA,.,20,2576,100.0,168,6.4,2626,2576,.,0.0,551,21.4,55,2.1,0,0.0,233,9.0,.,0.0,.,.,.,.,., ,A,.,PEARLAND ISD,20908,12,9,09 - 12,S, ,.,., , ,4,REGION 04: HOUSTON
020908009,92,0,1,1,1,1,0,0, ,ROBERT TURNER COLLEGE AND CAREER H,92.2,65,91,87,97,100,100,A,95,79,B,89,76,A,90,A,90,80,B,84,92, ,N,N,N,N,N,N,N,N,N,N,N,BRAZORIA,.,20,1173,100.0,47,3.9,1217,1173,.,0.0,378,32.2,28,2.4,0,0.0,89,7.6,.,0.0,.,.,.,.,., ,A,.,PEARLAND ISD,20908,12,9,09 - 12,S, ,.,., , ,4,REGION 04: HOUSTON
020908041,.,0,0,1,0,0,0,0, ,PEARLAND J H EAST,.,66,92,.,.,.,.,A,92,77,B,86,66,B,86,B,86,95,A,95,93, ,N,N,N,N,N,N,N,N,N,N,N,BRAZORIA,.,20,783,100.0,59,7.3,812,783,.,0.0,225,28.7,5,0.6,.,0.0,82,10.5,.,0.0,.,.,.,.,., ,A,.,PEARLAND ISD,20908,8,7,07 - 08,M, ,.,., , ,4,REGION 04: HOUSTON
020908042,.,0,1,0,0,1,1,1, ,PEARLAND J H WEST,.,64,91,.,.,.,.,A,91,76,B,85,64,B,89,B,89,79,B,85,89, ,N,N,N,N,N,N,N,N,N,N,N,BRAZORIA,.,20,858,100.0,65,7.7,846,858,.,0.0,320,37.3,74,8.6,.,0.0,89,10.4,.,0.0,.,.,.,.,., ,B,.,PEARLAND ISD,20908,8,7,07 - 08,M, ,.,., , ,4,REGION 04: HOUSTON
020908043,.,1,0,1,1,1,1,1, ,PEARLAND J H SOUTH,.,62,91,.,.,.,.,A,91,77,B,86,62,A,90,A,90,94,A,94,92, ,N,N,N,N,N,N,N,N,N,N,N,BRAZORIA,.,20,852,100.0,81,8.6,939,852,.,0.0,377,44.2,59,6.9,.,0.0,99,11.6,.,0.0,.,.,.,.,., ,A,.,PEARLAND ISD,20908,8,7,07 - 08,M, ,.,., , ,4,REGION 04: HOUSTON
020908044,.,1,1,1,1,1,1,1, ,BERRY MILLER J H,.,75,94,.,.,.,.,A,94,84,A,92,75,B,88,A,92,97,A,97,95, ,N,N,N,N,N,N,N,N,N,N,N,BRAZORIA,.,20,895,100.0,47,5,938,895,.,0.0,149,16.6,13,1.5,.,0.0,74,8.3,.,0.0,.,.,.,.,., ,A,.,PEARLAND ISD,20908,8,7,07 - 08,M, ,.,., , ,4,REGION 04: HOUSTON
020908101,.,0,1,0,0,0, , , ,E A LAWHON EL,.,53,80,.,.,.,.,B,80,74,C,79,53,B,82,B,82,84,C,79,81, ,N,N,N,N,N,N,N,N,N,N,N,BRAZORIA,3B,20,303,37.3,59,9.3,633,813,.,0.0,444,54.6,322,39.6,.,0.0,75,9.2,.,0.0,.,.,.,.,., ,B,.,PEARLAND ISD,20908,4,PK,PK - 04,E, ,.,., , ,4,REGION 04: HOUSTON
020908102,.,0,0,1,0,0, , , ,C J HARRIS EL,.,57,86,.,.,.,.,B,86,69,C,70,57,B,82,B,82,82,C,79,84, ,N,N,N,N,N,N,N,N,N,N,N,BRAZORIA,.,20,268,41.1,56,10.8,518,652,.,0.0,284,43.6,47,7.2,.,0.0,72,11.0,.,0.0,.,.,.,.,., ,B,.,PEARLAND ISD,20908,4,EE,EE - 04,E, ,.,., , ,4,REGION 04: HOUSTON
020908103,.,0,1,1,0,0, , , ,SHADYCREST EL,.,68,92,.,.,.,.,A,92,77,B,83,68,B,81,B,83,82,C,79,88, ,N,N,N,N,N,N,N,N,N,N,N,BRAZORIA,.,20,293,44.8,28,4.7,602,654,.,0.0,119,18.2,15,2.3,.,0.0,65,9.9,.,0.0,.,.,.,.,., ,B,.,PEARLAND ISD,20908,4,KG,KG - 04,E, ,.,., , ,4,REGION 04: HOUSTON
