DISTRICT,CAMPUS,COUNTY,REGION,GRDSPAN,PAIRCAMP,CD1A,CD1B,CD1C,CD2B,CGRPRATE21,CELPRATE21,CCCPRATE21,CSTPRATE21,CAAPRATE21,CPEMALLC,CPEMALLT,CPEMALLP,CPETALLC,CPETECOC,CPETSPEC,CPE0312C,CAMPNAME,REGNNAME,DISTNAME,CNTYNAME,GRDLOW,GRDHIGH,GRDTYPE,CPETLEPC,CPETSTEC,CPETECHC,CPETPTEC,CPETLEPP,CPETECOP,CPETSPEP,CPETECHP,CPETPTEP,CPETSTEP,CPE0312P,CFLCHART,CFLDAEP,CFLEEK,CFLJJ,CFLNEWCAMP,CFLPAIRD,CFLALTED,CFLAEC,CFLRTF,PAIRNAME,CFLPAIRO,CFLAEATYPE,CFLPAIR,CDA00A00T019R,CDA00A00T021R,C_RATING
057905,057905069,57,10,06 - 08, ,25,.,.,25,.,0,.,0,0,240,1610,14.9,1437,1302,201,1437,SEAGOVILLE MIDDLE,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,06,08,M,754,.,.,.,52.5,90.6,14.0,0.0,0.0,0.0,100.0,N,N,N,N,N,N,N,N,N, ,N, ,N,97,87,Not Rated: Declared State of Disaster
057905,057905071,57,10,06 - 08, ,64,.,.,64,.,100,.,100,100,9,470,1.9,474,358,4,474,DALLAS ENVIRONMENTAL SCIENCE ACADE,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,06,08,M,172,.,.,.,36.3,75.5,0.8,0.0,0.0,0.0,100.0,N,N,N,N,N,N,N,N,N, ,N, ,N,82,98,Not Rated: Declared State of Disaster
057905,057905072,57,10,06 - 08, ,30,.,.,30,.,0,.,11,13,178,558,31.9,396,386,82,396,SARAH ZUMWALT MIDDLE,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,06,08,M,96,.,.,.,24.2,97.5,20.7,0.0,0.0,0.0,100.0,N,N,N,N,N,N,N,N,N, ,N, ,N,98,55,Not Rated: Declared State of Disaster
057905,057905073,57,10,06 - 08, ,67,.,.,67,.,100,.,100,100,10,439,2.3,450,348,9,450,HENRY W LONGFELLOW CAREER EXPLORAT,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,06,08,M,217,.,.,.,48.2,77.3,2.0,0.0,0.0,0.0,100.0,N,N,N,N,N,N,N,N,N, ,N, ,N,82,99,Not Rated: Declared State of Disaster
057905,057905076,57,10,06 - 08, ,20,.,.,20,.,100,.,0,0,268,1099,24.4,973,899,127,973,HAROLD WENDELL LANG SR MIDDLE,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,06,08,M,422,.,.,.,43.4,92.4,13.1,0.0,0.0,0.0,100.0,N,N,N,N,N,N,N,N,N, ,N, ,N,99,92,Not Rated: Declared State of Disaster
057905,057905077,57,10,06 - 08, ,23,.,.,23,.,0,.,0,14,118,844,14,690,655,108,690,HECTOR P GARCIA MIDDLE,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,06,08,M,461,.,.,.,66.8,94.9,15.7,0.0,0.0,0.0,100.0,N,N,N,N,N,N,N,N,N, ,N, ,N,96,88,Not Rated: Declared State of Disaster
057905,057905079,57,10,06 - 08, ,29,.,.,29,.,0,.,22,36,519,1356,38.3,846,811,75,846,FRANCISCO PANCHO MEDRANO J H,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,06,08,M,689,.,.,.,81.4,95.9,8.9,0.0,0.0,0.0,100.0,N,N,N,N,N,N,N,N,N, ,N, ,N,96,92,Not Rated: Declared State of Disaster
057905,057905083,57,10,06 - 08, ,26,.,.,26,.,0,.,0,0,195,1033,18.9,854,828,115,854,SAM TASBY MIDDLE,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,06,08,M,625,.,.,.,73.2,97.0,13.5,0.0,0.0,0.0,100.0,N,N,N,N,N,N,N,N,N, ,N, ,N,96,97,Not Rated: Declared State of Disaster
057905,057905085,57,10,09 - 12, ,61,97,100,79,100,100,100,100,71,18,383,4.7,396,288,3,396,KATHLYN JOY GILLIAM COLLEGIATE ACA,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,09,12,S,97,.,396,.,24.5,72.7,0.8,100.0,0.0,0.0,100.0,N,N,N,N,N,N,N,N,N, ,N, ,N,100,97,Not Rated: Declared State of Disaster
057905,057905088,57,10,09 - 12, ,76,100,100,88,100,100,100,100,100,5,451,1.1,449,392,5,449,TRINIDAD GARZA EARLY COLLEGE AT MT,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,09,12,S,115,.,449,.,25.6,87.3,1.1,100.0,0.0,0.0,100.0,N,N,N,N,N,N,N,N,N, ,N, ,N,100,99,Not Rated: Declared State of Disaster
057905,057905090,57,10,09 - 12, ,79,100,100,90,100,100,100,100,100,4,254,1.6,267,212,2,267,DR WRIGHT L LASSITER JR EARLY COLL,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,09,12,S,66,.,267,.,24.7,79.4,0.7,100.0,0.0,0.0,100.0,N,N,N,N,N,N,N,N,N, ,N, ,N,100,99,Not Rated: Declared State of Disaster
057905,057905096,57,10,08 - 11, ,.,.,.,.,.,.,.,.,.,15,16,93.8,7,5,2,7,JUVENILE JUSTICE AEP,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,08,11,S,0,.,.,.,0.0,71.4,28.6,0.0,0.0,0.0,100.0,N,N,N,Y,N,N,N,N,N, ,N, ,N,.,.,Not Rated
057905,057905099,57,10,KG - 12, ,.,.,7.1,.,0,.,.,.,.,428,428,100,55,23,2,52,HOSPITAL/HOMEBOUND,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,KG,12,B,1,.,.,.,1.8,41.8,3.6,0.0,0.0,0.0,94.5,N,N,N,N,N,N,N,N,N, ,N, ,N,85,90,Not Rated: Declared State of Disaster
057905,057905100,57,10,06 - 08, ,25,.,.,25,.,0,.,13,14,136,865,15.7,773,739,112,773,ZAN WESLEY HOLMES JR MIDDLE,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,06,08,M,452,.,.,.,58.5,95.6,14.5,0.0,0.0,0.0,100.0,N,N,N,N,N,N,N,N,N, ,N, ,N,95,83,Not Rated: Declared State of Disaster
057905,057905101,57,10,PK - 05, ,21,.,.,21,.,100,.,0,14,57,532,10.7,553,534,57,283,JOHN Q ADAMS EL,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,PK,05,E,358,.,.,.,64.7,96.6,10.3,0.0,0.0,0.0,51.2,N,N,N,N,N,N,N,N,N, ,N, ,N,100,99,Not Rated: Declared State of Disaster
057905,057905102,57,10,PK - PK,'057905000,.,.,.,.,.,.,.,.,.,.,.,.,1118,1092,22,0,PREK PARTNERSHIP CENTER,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,PK,PK,E,101,.,.,.,9.0,97.7,2.0,0.0,0.0,0.0,0.0,N,N,Y,N,N,Y,N,N,N,DALLAS ISD,N, ,Y,.,.,Not Rated: Declared State of Disaster
057905,057905103,57,10,PK - 06, ,24,.,.,24,.,100,.,13,7,62,393,15.8,408,402,56,203,GABE P ALLEN CHARTER SCHOOL,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,PK,06,E,145,.,.,.,35.5,98.5,13.7,0.0,0.0,0.0,49.8,N,N,N,N,N,N,N,N,N, ,N, ,N,100,98,Not Rated: Declared State of Disaster
057905,057905104,57,10,PK - 05, ,29,.,.,29,.,100,.,0,10,65,500,13,561,544,45,247,WILLIAM M ANDERSON EL,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,PK,05,E,384,.,.,.,68.4,97.0,8.0,0.0,0.0,0.0,44.0,N,N,N,N,N,N,N,N,N, ,N, ,N,100,99,Not Rated: Declared State of Disaster
057905,057905105,57,10,PK - 06, ,36,.,.,36,.,100,.,25,21,50,528,9.5,622,563,64,297,ARCADIA PARK EL,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,PK,06,E,355,.,.,.,57.1,90.5,10.3,0.0,0.0,0.0,47.7,N,N,N,N,N,N,N,N,N, ,N, ,N,100,95,Not Rated: Declared State of Disaster
057905,057905107,57,10,EE - 06, ,28,.,.,28,.,100,.,0,14,172,665,25.9,795,760,80,387,JOSE 'JOE' MAY EL,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,EE,06,E,630,.,.,.,79.2,95.6,10.1,0.0,0.0,0.0,48.7,N,N,N,N,N,N,N,N,N, ,N, ,N,100,96,Not Rated: Declared State of Disaster
057905,057905108,57,10,PK - 05, ,40,.,.,40,.,100,.,50,31,108,395,27.3,389,386,33,165,BAYLES EL,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,PK,05,E,238,.,.,.,61.2,99.2,8.5,0.0,0.0,0.0,42.4,N,N,N,N,N,N,N,N,N, ,N, ,N,100,98,Not Rated: Declared State of Disaster
057905,057905109,57,10,PK - 05, ,31,.,.,31,.,100,.,13,8,98,469,20.9,466,449,33,230,W A BLAIR EL,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,PK,05,E,240,.,.,.,51.5,96.4,7.1,0.0,0.0,0.0,49.4,N,N,N,N,N,N,N,N,N, ,N, ,N,100,86,Not Rated: Declared State of Disaster
057905,057905110,57,10,EE - 05, ,41,.,.,41,.,100,.,38,75,62,453,13.7,562,537,60,231,ANNIE WEBB BLANTON EL,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,EE,05,E,361,.,.,.,64.2,95.6,10.7,0.0,0.0,0.0,41.1,N,N,N,N,N,N,N,N,N, ,N, ,N,100,99,Not Rated: Declared State of Disaster
057905,057905112,57,10,EE - 05, ,41,.,.,41,.,100,.,57,70,67,325,20.6,343,338,35,157,JAMES BOWIE EL,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,EE,05,E,243,.,.,.,70.8,98.5,10.2,0.0,0.0,0.0,45.8,N,N,N,N,N,N,N,N,N, ,N, ,N,100,77,Not Rated: Declared State of Disaster
057905,057905114,57,10,PK - 05, ,20,.,.,20,.,100,.,0,0,70,305,23,357,346,23,143,JOHN NEELY BRYAN EL,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,PK,05,E,124,.,.,.,34.7,96.9,6.4,0.0,0.0,0.0,40.1,N,N,N,N,N,N,N,N,N, ,N, ,N,100,97,Not Rated: Declared State of Disaster
057905,057905115,57,10,PK - 05, ,31,.,.,31,.,100,.,13,7,54,364,14.8,447,438,27,184,HARRELL BUDD EL,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,PK,05,E,230,.,.,.,51.5,98.0,6.0,0.0,0.0,0.0,41.2,N,N,N,N,N,N,N,N,N, ,N, ,N,100,96,Not Rated: Declared State of Disaster
057905,057905116,57,10,PK - 06, ,38,.,.,38,.,100,.,29,29,93,523,17.8,613,587,67,349,DAVID G BURNET EL,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,PK,06,E,532,.,.,.,86.8,95.8,10.9,0.0,0.0,0.0,56.9,N,N,N,N,N,N,N,N,N, ,N, ,N,100,100,Not Rated: Declared State of Disaster
057905,057905117,57,10,PK - 05, ,34,.,.,34,.,100,.,25,36,122,504,24.2,517,497,27,227,RUFUS C BURLESON EL,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,PK,05,E,228,.,.,.,44.1,96.1,5.2,0.0,0.0,0.0,43.9,N,N,N,N,N,N,N,N,N, ,N, ,N,100,99,Not Rated: Declared State of Disaster
057905,057905118,57,10,EE - 05, ,36,.,.,36,.,100,.,38,29,103,373,27.6,362,357,24,168,W W BUSHMAN EL,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,EE,05,E,121,.,.,.,33.4,98.6,6.6,0.0,0.0,0.0,46.4,N,N,N,N,N,N,N,N,N, ,N, ,N,100,98,Not Rated: Declared State of Disaster
057905,057905119,57,10,PK - 05, ,36,.,.,36,.,100,.,29,42,29,330,8.8,402,372,64,190,CHAPEL HILL PREPARATORY-A PERSONAL,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,PK,05,E,261,.,.,.,64.9,92.5,15.9,0.0,0.0,0.0,47.3,N,N,N,N,N,N,N,N,N, ,N, ,N,99,93,Not Rated: Declared State of Disaster
057905,057905120,57,10,EE - 05, ,41,.,.,41,.,100,.,43,36,75,533,14.1,586,553,85,267,F P CAILLET EL,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,EE,05,E,445,.,.,.,75.9,94.4,14.5,0.0,0.0,0.0,45.6,N,N,N,N,N,N,N,N,N, ,N, ,N,100,100,Not Rated: Declared State of Disaster
057905,057905121,57,10,EE - 05, ,38,.,.,38,.,.,.,33,50,79,245,32.2,236,228,24,93,JOHN W CARPENTER EL,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,EE,05,E,44,.,.,.,18.6,96.6,10.2,0.0,0.0,0.0,39.4,N,N,N,N,N,N,N,N,N, ,N, ,N,100,54,Not Rated: Declared State of Disaster
057905,057905122,57,10,PK - 06, ,30,.,.,30,.,100,.,13,21,74,296,25,273,268,23,158,C F CARR EL,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,PK,06,E,87,.,.,.,31.9,98.2,8.4,0.0,0.0,0.0,57.9,N,N,N,N,N,N,N,N,N, ,N, ,N,100,95,Not Rated: Declared State of Disaster
057905,057905125,57,10,EE - 05, ,40,.,.,40,.,100,.,29,33,56,497,11.3,587,525,63,253,CASA VIEW EL,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,EE,05,E,371,.,.,.,63.2,89.4,10.7,0.0,0.0,0.0,43.1,N,N,N,N,N,N,N,N,N, ,N, ,N,100,99,Not Rated: Declared State of Disaster
057905,057905126,57,10,PK - 05, ,53,.,.,53,.,100,.,100,94,54,443,12.2,503,431,41,199,CENTRAL EL,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,PK,05,E,204,.,.,.,40.6,85.7,8.2,0.0,0.0,0.0,39.6,N,N,N,N,N,N,N,N,N, ,N, ,N,100,98,Not Rated: Declared State of Disaster
057905,057905128,57,10,EE - 05, ,34,.,.,34,.,100,.,38,29,107,400,26.8,367,355,28,159,MARTIN LUTHER KING JR ARTS ACADEMY,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,EE,05,E,86,.,.,.,23.4,96.7,7.6,0.0,0.0,0.0,43.3,N,N,N,N,N,N,N,N,N, ,N, ,N,100,100,Not Rated: Declared State of Disaster
057905,057905129,57,10,EE - 05, ,37,.,.,37,.,100,.,25,25,146,526,27.8,603,592,50,260,S S CONNER EL,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,EE,05,E,279,.,.,.,46.3,98.2,8.3,0.0,0.0,0.0,43.1,N,N,N,N,N,N,N,N,N, ,N, ,N,100,86,Not Rated: Declared State of Disaster
057905,057905130,57,10,EE - 05, ,27,.,.,27,.,100,.,0,7,30,421,7.1,533,492,60,233,LEILA P COWART EL,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,EE,05,E,341,.,.,.,64.0,92.3,11.3,0.0,0.0,0.0,43.7,N,N,N,N,N,N,N,N,N, ,N, ,N,100,98,Not Rated: Declared State of Disaster
057905,057905131,57,10,EE - 05, ,35,.,.,35,.,100,.,14,40,56,261,21.5,322,297,38,125,IGNACIO ZARAGOZA EL,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,EE,05,E,182,.,.,.,56.5,92.2,11.8,0.0,0.0,0.0,38.8,N,N,N,N,N,N,N,N,N, ,N, ,N,100,99,Not Rated: Declared State of Disaster
057905,057905133,57,10,PK - 05, ,31,.,.,31,.,100,.,13,0,51,401,12.7,441,428,27,205,BARBARA JORDAN EL,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,PK,05,E,310,.,.,.,70.3,97.1,6.1,0.0,0.0,0.0,46.5,N,N,N,N,N,N,N,N,N, ,N, ,N,100,91,Not Rated: Declared State of Disaster
057905,057905134,57,10,PK - 08, ,69,.,.,69,.,100,.,100,100,7,567,1.2,614,141,31,413,GEORGE B DEALEY MONTESSORI ACADEMY,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,PK,08,E,61,.,.,.,9.9,23.0,5.0,0.0,0.0,0.0,67.3,N,N,N,N,N,N,N,N,N, ,N, ,N,88,90,Not Rated: Declared State of Disaster
057905,057905135,57,10,PK - 05, ,50,.,.,50,.,100,.,89,93,25,314,8,370,220,30,164,EVERETTE LEE DEGOLYER EL,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,PK,05,E,137,.,.,.,37.0,59.5,8.1,0.0,0.0,0.0,44.3,N,N,N,N,N,N,N,N,N, ,N, ,N,100,90,Not Rated: Declared State of Disaster
057905,057905136,57,10,PK - 05, ,43,.,.,43,.,100,.,57,100,34,325,10.5,378,342,41,204,L O DONALD EL,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,PK,05,E,240,.,.,.,63.5,90.5,10.8,0.0,0.0,0.0,54.0,N,N,N,N,N,N,N,N,N, ,N, ,N,100,99,Not Rated: Declared State of Disaster
057905,057905137,57,10,PK - 05, ,52,.,.,52,.,100,.,63,91,77,397,19.4,422,403,28,187,JULIUS DORSEY EL,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,PK,05,E,253,.,.,.,60.0,95.5,6.6,0.0,0.0,0.0,44.3,N,N,N,N,N,N,N,N,N, ,N, ,N,100,82,Not Rated: Declared State of Disaster
057905,057905139,57,10,PK - 05, ,33,.,.,33,.,100,.,13,0,98,406,24.1,458,441,46,180,PAUL L DUNBAR LEARNING CENTER,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,PK,05,E,104,.,.,.,22.7,96.3,10.0,0.0,0.0,0.0,39.3,N,N,N,N,N,N,N,N,N, ,N, ,N,100,93,Not Rated: Declared State of Disaster
057905,057905141,57,10,PK - 05, ,24,.,.,24,.,100,.,0,0,68,277,24.5,243,241,9,119,JILL STONE EL AT VICKERY MEADOW,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,PK,05,E,191,.,.,.,78.6,99.2,3.7,0.0,0.0,0.0,49.0,N,N,N,N,N,N,N,N,N, ,N, ,N,100,98,Not Rated: Declared State of Disaster
057905,057905142,57,10,PK - 05, ,20,.,.,20,.,100,.,25,29,185,548,33.8,631,625,40,258,J N ERVIN EL,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,PK,05,E,112,.,.,.,17.7,99.0,6.3,0.0,0.0,0.0,40.9,N,N,N,N,N,N,N,N,N, ,N, ,N,99,92,Not Rated: Declared State of Disaster
057905,057905145,57,10,EE - 06, ,34,.,.,34,.,100,.,14,36,95,516,18.4,658,647,82,312,STEPHEN C FOSTER EL,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,EE,06,E,545,.,.,.,82.8,98.3,12.5,0.0,0.0,0.0,47.4,N,N,N,N,N,N,N,N,N, ,N, ,N,100,98,Not Rated: Declared State of Disaster
057905,057905147,57,10,PK - 05, ,33,.,.,33,.,100,.,0,29,108,595,18.2,658,617,65,288,CHARLES A GILL EL,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,PK,05,E,369,.,.,.,56.1,93.8,9.9,0.0,0.0,0.0,43.8,N,N,N,N,N,N,N,N,N, ,N, ,N,100,85,Not Rated: Declared State of Disaster
057905,057905148,57,10,EE - 05, ,45,.,.,45,.,100,.,71,90,39,259,15.1,354,313,51,117,TOM C GOOCH EL,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,EE,05,E,249,.,.,.,70.3,88.4,14.4,0.0,0.0,0.0,33.1,N,N,N,N,N,N,N,N,N, ,N, ,N,100,96,Not Rated: Declared State of Disaster
057905,057905149,57,10,PK - 05, ,39,.,.,39,.,100,.,43,50,32,385,8.3,427,404,26,208,HALL PERSONALIZED LEARNING ACADEMY,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,PK,05,E,301,.,.,.,70.5,94.6,6.1,0.0,0.0,0.0,48.7,N,N,N,N,N,N,N,N,N, ,N, ,N,100,100,Not Rated: Declared State of Disaster
057905,057905152,57,10,EE - 05, ,46,.,.,46,.,100,.,57,80,41,320,12.8,375,335,31,174,MARGARET B HENDERSON EL,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,EE,05,E,225,.,.,.,60.0,89.3,8.3,0.0,0.0,0.0,46.4,N,N,N,N,N,N,N,N,N, ,N, ,N,100,100,Not Rated: Declared State of Disaster
057905,057905153,57,10,PK - 05, ,49,.,.,49,.,100,.,78,56,41,428,9.6,474,230,29,227,VICTOR H HEXTER EL,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,PK,05,E,91,.,.,.,19.2,48.5,6.1,0.0,0.0,0.0,47.9,N,N,N,N,N,N,N,N,N, ,N, ,N,100,97,Not Rated: Declared State of Disaster
057905,057905154,57,10,PK - 05, ,38,.,.,38,.,100,.,11,25,78,618,12.6,763,714,63,328,LARRY G SMITH EL,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,PK,05,E,422,.,.,.,55.3,93.6,8.3,0.0,0.0,0.0,43.0,N,N,N,N,N,N,N,N,N, ,N, ,N,100,99,Not Rated: Declared State of Disaster
057905,057905155,57,10,PK - 05, ,45,.,.,45,.,100,.,63,81,73,391,18.7,410,402,42,217,C A TATUM JR EL,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,PK,05,E,178,.,.,.,43.4,98.0,10.2,0.0,0.0,0.0,52.9,N,N,N,N,N,N,N,N,N, ,N, ,N,100,99,Not Rated: Declared State of Disaster
057905,057905156,57,10,PK - 05, ,37,.,.,37,.,100,.,29,67,22,307,7.2,392,358,47,161,NATHANIEL HAWTHORNE EL,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,PK,05,E,268,.,.,.,68.4,91.3,12.0,0.0,0.0,0.0,41.1,N,N,N,N,N,N,N,N,N, ,N, ,N,100,99,Not Rated: Declared State of Disaster
057905,057905157,57,10,PK - 05, ,40,.,.,40,.,100,.,29,83,25,201,12.4,304,265,41,105,HOGG NEW TECH CENTER,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,PK,05,E,106,.,.,.,34.9,87.2,13.5,0.0,0.0,0.0,34.5,N,N,N,N,N,N,N,N,N, ,N, ,N,100,98,Not Rated: Declared State of Disaster
057905,057905158,57,10,PK - 05, ,42,.,.,42,.,100,.,57,50,23,319,7.2,377,330,45,164,LIDA HOOE EL,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,PK,05,E,177,.,.,.,46.9,87.5,11.9,0.0,0.0,0.0,43.5,N,N,N,N,N,N,N,N,N, ,N, ,N,100,93,Not Rated: Declared State of Disaster
057905,057905159,57,10,PK - 05, ,29,.,.,29,.,100,.,11,25,130,576,22.6,651,625,46,288,L L HOTCHKISS EL,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,PK,05,E,390,.,.,.,59.9,96.0,7.1,0.0,0.0,0.0,44.2,N,N,N,N,N,N,N,N,N, ,N, ,N,100,99,Not Rated: Declared State of Disaster
057905,057905160,57,10,PK - 05, ,42,.,.,42,.,100,.,63,42,23,166,13.9,256,162,16,106,PERSONALIZED LEARNING PREPARATORY,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,PK,05,E,83,.,.,.,32.4,63.3,6.3,0.0,0.0,0.0,41.4,N,N,N,N,N,N,N,N,N, ,N, ,N,100,100,Not Rated: Declared State of Disaster
057905,057905161,57,10,EE - 05, ,31,.,.,31,.,100,.,0,25,84,371,22.6,446,423,52,194,JOHN IRELAND EL,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,EE,05,E,296,.,.,.,66.4,94.8,11.7,0.0,0.0,0.0,43.5,N,N,N,N,N,N,N,N,N, ,N, ,N,100,99,Not Rated: Declared State of Disaster
057905,057905162,57,10,KG - 05, ,60,.,.,60,.,100,.,90,88,53,587,9,667,155,79,304,MOCKINGBIRD EL,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,KG,05,E,93,.,.,.,13.9,23.2,11.8,0.0,0.0,0.0,45.6,N,N,N,N,N,N,N,N,N, ,N, ,N,100,98,Not Rated: Declared State of Disaster
057905,057905163,57,10,EE - 05, ,43,.,.,43,.,100,.,63,71,126,344,36.6,356,351,38,170,CEDAR CREST EL,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,EE,05,E,105,.,.,.,29.5,98.6,10.7,0.0,0.0,0.0,47.8,N,N,N,N,N,N,N,N,N, ,N, ,N,100,90,Not Rated: Declared State of Disaster
057905,057905164,57,10,EE - 06, ,26,.,.,26,.,100,.,0,0,91,520,17.5,568,545,70,290,ANSON JONES EL,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,EE,06,E,358,.,.,.,63.0,96.0,12.3,0.0,0.0,0.0,51.1,N,N,N,N,N,N,N,N,N, ,N, ,N,100,99,Not Rated: Declared State of Disaster
057905,057905166,57,10,EE - 05, ,36,.,.,36,.,100,.,13,17,53,552,9.6,653,617,51,302,EDWIN J KIEST EL,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,EE,05,E,406,.,.,.,62.2,94.5,7.8,0.0,0.0,0.0,46.2,N,N,N,N,N,N,N,N,N, ,N, ,N,100,99,Not Rated: Declared State of Disaster
057905,057905167,57,10,EE - 05, ,31,.,.,31,.,100,.,11,25,90,583,15.4,683,606,94,281,KLEBERG EL,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,EE,05,E,384,.,.,.,56.2,88.7,13.8,0.0,0.0,0.0,41.1,N,N,N,N,N,N,N,N,N, ,N, ,N,100,95,Not Rated: Declared State of Disaster
057905,057905168,57,10,PK - 05, ,41,.,.,41,.,100,.,43,50,36,348,10.3,385,368,32,164,OBADIAH KNIGHT EL,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,PK,05,E,292,.,.,.,75.8,95.6,8.3,0.0,0.0,0.0,42.6,N,N,N,N,N,N,N,N,N, ,N, ,N,100,96,Not Rated: Declared State of Disaster
057905,057905169,57,10,EE - 05, ,46,.,.,46,.,100,.,33,43,63,436,14.4,501,311,70,192,ARTHUR KRAMER EL,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,EE,05,E,199,.,.,.,39.7,62.1,14.0,0.0,0.0,0.0,38.3,N,N,N,N,N,N,N,N,N, ,N, ,N,100,95,Not Rated: Declared State of Disaster
057905,057905170,57,10,EE - 05, ,33,.,.,33,.,100,.,13,21,74,435,17,491,468,37,231,RICHARD LAGOW EL,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,EE,05,E,278,.,.,.,56.6,95.3,7.5,0.0,0.0,0.0,47.0,N,N,N,N,N,N,N,N,N, ,N, ,N,100,90,Not Rated: Declared State of Disaster
057905,057905171,57,10,KG - 05, ,80,.,.,80,.,.,.,100,100,20,797,2.5,943,48,72,393,LAKEWOOD EL,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,KG,05,E,25,.,.,.,2.7,5.1,7.6,0.0,0.0,0.0,41.7,N,N,N,N,N,N,N,N,N, ,N, ,N,99,100,Not Rated: Declared State of Disaster
057905,057905172,57,10,PK - 05, ,36,.,.,36,.,100,.,13,19,40,540,7.4,646,553,54,290,JIMMIE TYLER BRASHEAR EL,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,PK,05,E,317,.,.,.,49.1,85.6,8.4,0.0,0.0,0.0,44.9,N,N,N,N,N,N,N,N,N, ,N, ,N,100,97,Not Rated: Declared State of Disaster
057905,057905173,57,10,EE - 08, ,34,.,.,34,.,100,.,11,31,55,626,8.8,700,565,61,522,SIDNEY LANIER EXPRESSIVE ARTS VANG,REGION 10: RICHARDSON,DALLAS ISD,DALLAS,EE,08,E,264,.,.,.,37.7,80.7,8.7,0.0,0.0,0.0,74.6,N,N,N,N,N,N,N,N,N, ,N, ,N,100,81,Not Rated: Declared State of Disaster
