COUNTY,REGION,DISTRICT,DISTNAME,CNTYNAME,DFLCHART,DFLALTED,DAD_POST,OUTCOME,asvab_status,DISTNAME_CLEAN
57,10,'057827,NOVA ACADEMY SOUTHEAST,DALLAS,Y,N, ,Meets Requirements, ,Nova Academy Southeast
57,10,'057828,WINFREE ACADEMY CHARTER SCHOOLS,DALLAS,Y,Y, ,Needs Assistance, ,Winfree Academy Charter Schools
57,10,'057829,A+ ACADEMY,DALLAS,Y,N,0,Needs Assistance, ,A+ Academy
57,10,'057830,INSPIRED VISION ACADEMY,DALLAS,Y,N,0,Meets Requirements, ,Inspired Vision Academy
57,10,'057831,GATEWAY CHARTER ACADEMY,DALLAS,Y,N, ,Meets Requirements,ASVAB Test not Offered,Gateway Charter Academy
57,10,'057833,EDUCATION CENTER INTERNATIONAL ACADEMY,DALLAS,Y,N,0,Meets Requirements, ,Education Center International Academy
57,10,'057834,EVOLUTION ACADEMY CHARTER SCHOOL,DALLAS,Y,Y, ,Needs Assistance, ,Evolution Academy Charter School
57,10,'057835,GOLDEN RULE CHARTER SCHOOL,DALLAS,Y,N,0,Meets Requirements,ASVAB Test not Offered,Golden Rule Charter School
57,10,'057836,ST ANTHONY SCHOOL,DALLAS,Y,N, ,Meets Requirements, ,St Anthony School
57,10,'057839,LA ACADEMIA DE ESTRELLAS,DALLAS,Y,N, ,Meets Requirements, ,La Academia De Estrellas
57,10,'057840,RICHLAND COLLEGIATE HIGH SCHOOL,DALLAS,Y,N, ,Meets Requirements,ASVAB Alternative Test Offered,Richland Collegiate High School
57,10,'057841,CITYSCAPE SCHOOLS,DALLAS,Y,N, ,Meets Requirements, ,Cityscape Schools
57,10,'057844,MANARA ACADEMY,DALLAS,Y,N,0,Needs Assistance,ASVAB Test not Offered,Manara Academy
57,10,'057845,UME PREPARATORY ACADEMY,DALLAS,Y,N,0,Meets Requirements, ,Ume Preparatory Academy
57,10,'057846,LEGACY PREPARATORY,DALLAS,Y,N,0,Meets Requirements, ,Legacy Preparatory
57,10,'057847,VILLAGE TECH SCHOOLS,DALLAS,Y,N, ,Meets Requirements, ,Village Tech Schools
57,10,'057848,INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS),DALLAS,Y,N,0,Needs Intervention, ,International Leadership Of Texas (Iltexas)
57,10,'057850,PIONEER TECHNOLOGY & ARTS ACADEMY,DALLAS,Y,N,0,Meets Requirements,ASVAB Test not Offered,Pioneer Technology & Arts Academy
57,10,'057851,BRIDGEWAY PREPARATORY ACADEMY,DALLAS,Y,N, ,Meets Requirements, ,Bridgeway Preparatory Academy
57,10,'057903,CARROLLTON-FARMERS BRANCH ISD,DALLAS,N,N,0,Needs Assistance, ,Carrollton-Farmers Branch ISD
57,10,'057904,CEDAR HILL ISD,DALLAS,N,N,0,Needs Substantial Intervention, ,Cedar Hill ISD
57,10,'057905,DALLAS ISD,DALLAS,N,N,0,Needs Assistance, ,Dallas ISD
57,10,'057906,DESOTO ISD,DALLAS,N,N,0,Needs Intervention, ,Desoto ISD
57,10,'057907,DUNCANVILLE ISD,DALLAS,N,N,0,Needs Intervention, ,Duncanville ISD
57,10,'057909,GARLAND ISD,DALLAS,N,N,0,Needs Assistance, ,Garland ISD
57,10,'057910,GRAND PRAIRIE ISD,DALLAS,N,N, ,Needs Assistance, ,Grand Prairie ISD
57,10,'057911,HIGHLAND PARK ISD,DALLAS,N,N,0,Meets Requirements, ,Highland Park ISD
57,10,'057912,IRVING ISD,DALLAS,N,N,0,Needs Assistance, ,Irving ISD
57,10,'057913,LANCASTER ISD,DALLAS,N,N,0,Needs Assistance, ,Lancaster ISD
57,10,'057914,MESQUITE ISD,DALLAS,N,N,0,Meets Requirements, ,Mesquite ISD
57,10,'057916,RICHARDSON ISD,DALLAS,N,N,0,Meets Requirements, ,Richardson ISD
57,10,'057919,SUNNYVALE ISD,DALLAS,N,N,0,Meets Requirements, ,Sunnyvale ISD
57,10,'057922,COPPELL ISD,DALLAS,N,N,0,Meets Requirements, ,Coppell ISD
58,17,'058902,DAWSON ISD,DAWSON,N,N, ,Meets Requirements, ,Dawson ISD
58,17,'058905,KLONDIKE ISD,DAWSON,N,N, ,Meets Requirements, ,Klondike ISD
58,17,'058906,LAMESA ISD,DAWSON,N,N, ,Needs Intervention, ,Lamesa ISD
58,17,'058909,SANDS CISD,DAWSON,N,N, ,Meets Requirements, ,Sands CISD
59,16,'059901,HEREFORD ISD,DEAF SMITH,N,N,0,Meets Requirements, ,Hereford ISD
59,16,'059902,WALCOTT ISD,DEAF SMITH,N,N, ,Meets Requirements, ,Walcott ISD
60,8,'060902,COOPER ISD,DELTA,N,N,0,Meets Requirements, ,Cooper ISD
60,8,'060914,FANNINDEL ISD,DELTA,N,N,0,Meets Requirements, ,Fannindel ISD
61,11,'061802,NORTH TEXAS COLLEGIATE ACADEMY,DENTON,Y,N,0,Meets Requirements, ,North Texas Collegiate Academy
61,10,'061804,LEADERSHIP PREP SCHOOL,DENTON,Y,N,0,Meets Requirements, ,Leadership Prep School
61,11,'061805,TRIVIUM ACADEMY,DENTON,Y,N, ,Meets Requirements, ,Trivium Academy
61,11,'061901,DENTON ISD,DENTON,N,N,0,Needs Assistance, ,Denton ISD
61,11,'061902,LEWISVILLE ISD,DENTON,N,N,0,Meets Requirements, ,Lewisville ISD
61,11,'061903,PILOT POINT ISD,DENTON,N,N,0,Meets Requirements, ,Pilot Point ISD
61,11,'061905,KRUM ISD,DENTON,N,N,0,Needs Assistance, ,Krum ISD
61,11,'061906,PONDER ISD,DENTON,N,N,0,Meets Requirements, ,Ponder ISD
61,11,'061907,AUBREY ISD,DENTON,N,N,0,Meets Requirements, ,Aubrey ISD
61,11,'061908,SANGER ISD,DENTON,N,N,0,Meets Requirements, ,Sanger ISD
61,11,'061910,ARGYLE ISD,DENTON,N,N,0,Meets Requirements, ,Argyle ISD
61,11,'061911,NORTHWEST ISD,DENTON,N,N,0,Meets Requirements, ,Northwest ISD
61,11,'061912,LAKE DALLAS ISD,DENTON,N,N,0,Meets Requirements, ,Lake Dallas ISD
61,11,'061914,LITTLE ELM ISD,DENTON,N,N,0,Needs Assistance, ,Little Elm ISD
62,3,'062901,CUERO ISD,DEWITT,N,N, ,Needs Assistance, ,Cuero ISD
62,3,'062902,NORDHEIM ISD,DEWITT,N,N, ,Meets Requirements, ,Nordheim ISD
62,3,'062903,YOAKUM ISD,DEWITT,N,N,0,Meets Requirements, ,Yoakum ISD
62,3,'062904,YORKTOWN ISD,DEWITT,N,N,0,Meets Requirements, ,Yorktown ISD
62,3,'062905,WESTHOFF ISD,DEWITT,N,N, ,Meets Requirements, ,Westhoff ISD
62,3,'062906,MEYERSVILLE ISD,DEWITT,N,N, ,Meets Requirements, ,Meyersville ISD
63,17,'063903,SPUR ISD,DICKENS,N,N, ,Meets Requirements, ,Spur ISD
63,17,'063906,PATTON SPRINGS ISD,DICKENS,N,N, ,Meets Requirements, ,Patton Springs ISD
64,20,'064903,CARRIZO SPRINGS CISD,DIMMIT,N,N,0,Needs Assistance, ,Carrizo Springs CISD
65,16,'065901,CLARENDON ISD,DONLEY,N,N,0,Meets Requirements, ,Clarendon ISD
65,16,'065902,HEDLEY ISD,DONLEY,N,N, ,Meets Requirements, ,Hedley ISD
66,2,'066005,RAMIREZ CSD,DUVAL,N,N, ,Meets Requirements, ,Ramirez CSD
66,2,'066901,BENAVIDES ISD,DUVAL,N,N,0,Meets Requirements, ,Benavides ISD
66,2,'066902,SAN DIEGO ISD,DUVAL,N,N,0,Needs Assistance, ,San Diego ISD
66,2,'066903,FREER ISD,DUVAL,N,N,0,Meets Requirements, ,Freer ISD
67,14,'067902,CISCO ISD,EASTLAND,N,N,1,Meets Requirements, ,Cisco ISD
67,14,'067903,EASTLAND ISD,EASTLAND,N,N,0,Meets Requirements, ,Eastland ISD
67,14,'067904,GORMAN ISD,EASTLAND,N,N,0,Meets Requirements, ,Gorman ISD
67,14,'067907,RANGER ISD,EASTLAND,N,N,0,Meets Requirements, ,Ranger ISD
67,14,'067908,RISING STAR ISD,EASTLAND,N,N,0,Meets Requirements, ,Rising Star ISD
68,18,'068802,COMPASS ACADEMY CHARTER SCHOOL,ECTOR,Y,N, ,Meets Requirements, ,Compass Academy Charter School
68,18,'068803,UTPB STEM ACADEMY,ECTOR,Y,N, ,Meets Requirements, ,Utpb Stem Academy
68,18,'068901,ECTOR COUNTY ISD,ECTOR,N,N,0,Needs Intervention, ,Ector County ISD
69,15,'069901,ROCKSPRINGS ISD,EDWARDS,N,N, ,Meets Requirements, ,Rocksprings ISD
69,15,'069902,NUECES CANYON CISD,EDWARDS,N,N,0,Meets Requirements, ,Nueces Canyon CISD
70,10,'070801,WAXAHACHIE FAITH FAMILY ACADEMY,ELLIS,Y,N,0,Needs Intervention, ,Waxahachie Faith Family Academy
70,10,'070901,AVALON ISD,ELLIS,N,N, ,Meets Requirements, ,Avalon ISD
70,10,'070903,ENNIS ISD,ELLIS,N,N,1,Needs Assistance, ,Ennis ISD
70,10,'070905,FERRIS ISD,ELLIS,N,N,0,Needs Assistance, ,Ferris ISD
70,10,'070907,ITALY ISD,ELLIS,N,N,0,Meets Requirements, ,Italy ISD
70,10,'070908,MIDLOTHIAN ISD,ELLIS,N,N,0,Meets Requirements, ,Midlothian ISD
70,10,'070909,MILFORD ISD,ELLIS,N,N, ,Meets Requirements, ,Milford ISD
70,10,'070910,PALMER ISD,ELLIS,N,N,0,Meets Requirements, ,Palmer ISD
70,10,'070911,RED OAK ISD,ELLIS,N,N,0,Needs Intervention, ,Red Oak ISD
70,10,'070912,WAXAHACHIE ISD,ELLIS,N,N,0,Meets Requirements, ,Waxahachie ISD
70,10,'070915,MAYPEARL ISD,ELLIS,N,N,0,Meets Requirements, ,Maypearl ISD
71,19,'071801,BURNHAM WOOD CHARTER SCHOOL DISTRICT,EL PASO,Y,N,0,Meets Requirements, ,Burnham Wood Charter School District
71,19,'071803,TRIUMPH PUBLIC HIGH SCHOOLS-EL PASO,EL PASO,Y,Y, ,Meets Requirements, ,Triumph Public High Schools-El Paso
71,19,'071804,EL PASO ACADEMY,EL PASO,Y,Y, ,Meets Requirements, ,El Paso Academy
71,19,'071806,HARMONY PUBLIC SCHOOLS - WEST TEXAS,EL PASO,Y,N,0,Meets Requirements, ,Harmony Public Schools - West Texas
71,19,'071807,LA FE PREPARATORY SCHOOL,EL PASO,Y,N, ,Meets Requirements, ,La Fe Preparatory School
71,19,'071809,VISTA DEL FUTURO CHARTER SCHOOL,EL PASO,Y,N, ,Meets Requirements, ,Vista Del Futuro Charter School
71,19,'071810,EL PASO LEADERSHIP ACADEMY,EL PASO,Y,N,0,Meets Requirements, ,El Paso Leadership Academy
71,19,'071901,CLINT ISD,EL PASO,N,N,0,Needs Assistance, ,Clint ISD
71,19,'071902,EL PASO ISD,EL PASO,N,N,0,Needs Assistance, ,El Paso ISD
71,19,'071903,FABENS ISD,EL PASO,N,N,0,Needs Intervention, ,Fabens ISD
71,19,'071904,SAN ELIZARIO ISD,EL PASO,N,N,0,Needs Intervention, ,San Elizario ISD
71,19,'071905,YSLETA ISD,EL PASO,N,N,0,Meets Requirements, ,Ysleta ISD
71,19,'071906,ANTHONY ISD,EL PASO,N,N,0,Meets Requirements, ,Anthony ISD
71,19,'071907,CANUTILLO ISD,EL PASO,N,N,0,Needs Assistance, ,Canutillo ISD
71,19,'071908,TORNILLO ISD,EL PASO,N,N,0,Meets Requirements, ,Tornillo ISD
71,19,'071909,SOCORRO ISD,EL PASO,N,N,0,Needs Assistance, ,Socorro ISD
72,11,'072801,PREMIER HIGH SCHOOLS,ERATH,Y,Y, ,Needs Assistance,ASVAB Alternative Test Offered,Premier High Schools
72,11,'072802,ERATH EXCELS ACADEMY INC,ERATH,Y,Y, ,Meets Requirements, ,Erath Excels Academy Inc
72,11,'072901,THREE WAY ISD,ERATH,N,N, ,Meets Requirements,ASVAB Alternative Test Offered,Three Way ISD
72,11,'072902,DUBLIN ISD,ERATH,N,N,1,Meets Requirements, ,Dublin ISD
72,11,'072903,STEPHENVILLE ISD,ERATH,N,N,0,Meets Requirements, ,Stephenville ISD
72,11,'072904,BLUFF DALE ISD,ERATH,N,N, ,Meets Requirements, ,Bluff Dale ISD
72,11,'072908,HUCKABAY ISD,ERATH,N,N, ,Meets Requirements, ,Huckabay ISD
72,11,'072909,LINGLEVILLE ISD,ERATH,N,N, ,Meets Requirements, ,Lingleville ISD
72,11,'072910,MORGAN MILL ISD,ERATH,N,N, ,Meets Requirements, ,Morgan Mill ISD
73,12,'073901,CHILTON ISD,FALLS,N,N, ,Meets Requirements, ,Chilton ISD
73,12,'073903,MARLIN ISD,FALLS,N,N, ,Meets Requirements, ,Marlin ISD
73,12,'073904,WESTPHALIA ISD,FALLS,N,N, ,Meets Requirements, ,Westphalia ISD
73,12,'073905,ROSEBUD-LOTT ISD,FALLS,N,N,0,Meets Requirements, ,Rosebud-Lott ISD
74,10,'074903,BONHAM ISD,FANNIN,N,N,0,Meets Requirements, ,Bonham ISD
74,10,'074904,DODD CITY ISD,FANNIN,N,N, ,Meets Requirements, ,Dodd City ISD
74,10,'074905,ECTOR ISD,FANNIN,N,N,0,Meets Requirements, ,Ector ISD
74,8,'074907,HONEY GROVE ISD,FANNIN,N,N,1,Meets Requirements, ,Honey Grove ISD
74,10,'074909,LEONARD ISD,FANNIN,N,N,0,Meets Requirements, ,Leonard ISD
74,10,'074911,SAVOY ISD,FANNIN,N,N,0,Meets Requirements, ,Savoy ISD
74,10,'074912,TRENTON ISD,FANNIN,N,N,0,Meets Requirements, ,Trenton ISD
74,10,'074917,SAM RAYBURN ISD,FANNIN,N,N,0,Meets Requirements, ,Sam Rayburn ISD
75,13,'075901,FLATONIA ISD,FAYETTE,N,N,1,Meets Requirements, ,Flatonia ISD
75,13,'075902,LA GRANGE ISD,FAYETTE,N,N,0,Meets Requirements, ,La Grange ISD
75,13,'075903,SCHULENBURG ISD,FAYETTE,N,N,0,Meets Requirements, ,Schulenburg ISD
75,13,'075906,FAYETTEVILLE ISD,FAYETTE,N,N, ,Meets Requirements, ,Fayetteville ISD
75,13,'075908,ROUND TOP-CARMINE ISD,FAYETTE,N,N,1,Meets Requirements, ,Round Top-Carmine ISD
76,14,'076903,ROBY CISD,FISHER,N,N, ,Meets Requirements, ,Roby CISD
76,14,'076904,ROTAN ISD,FISHER,N,N, ,Meets Requirements, ,Rotan ISD
77,17,'077901,FLOYDADA COLLEGIATE ISD,FLOYD,N,N,0,Meets Requirements, ,Floydada Collegiate ISD
77,17,'077902,LOCKNEY ISD,FLOYD,N,N,0,Meets Requirements, ,Lockney ISD
78,9,'078901,CROWELL ISD,FOARD,N,N, ,Meets Requirements, ,Crowell ISD
79,4,'079901,LAMAR CISD,FORT BEND,N,N,0,Needs Assistance, ,Lamar CISD
79,4,'079906,NEEDVILLE ISD,FORT BEND,N,N,0,Meets Requirements, ,Needville ISD
79,4,'079907,FORT BEND ISD,FORT BEND,N,N,0,Needs Assistance, ,Fort Bend ISD
79,4,'079910,STAFFORD MSD,FORT BEND,N,N,0,Needs Assistance, ,Stafford Msd
80,8,'080901,MOUNT VERNON ISD,FRANKLIN,N,N,0,Meets Requirements, ,Mount Vernon ISD
81,12,'081902,FAIRFIELD ISD,FREESTONE,N,N,0,Meets Requirements, ,Fairfield ISD
81,12,'081904,TEAGUE ISD,FREESTONE,N,N,1,Meets Requirements, ,Teague ISD
81,12,'081905,WORTHAM ISD,FREESTONE,N,N,0,Meets Requirements, ,Wortham ISD
81,12,'081906,DEW ISD,FREESTONE,N,N, ,Meets Requirements, ,Dew ISD
82,20,'082902,DILLEY ISD,FRIO,N,N,0,Needs Assistance, ,Dilley ISD
82,20,'082903,PEARSALL ISD,FRIO,N,N, ,Needs Assistance, ,Pearsall ISD
83,17,'083901,SEAGRAVES ISD,GAINES,N,N, ,Meets Requirements, ,Seagraves ISD
83,17,'083902,LOOP ISD,GAINES,N,N, ,Meets Requirements, ,Loop ISD
83,17,'083903,SEMINOLE ISD,GAINES,N,N,1,Meets Requirements, ,Seminole ISD
84,4,'084802,ODYSSEY ACADEMY INC,GALVESTON,Y,N,0,Meets Requirements, ,Odyssey Academy Inc
84,4,'084804,AMBASSADORS PREPARATORY ACADEMY,GALVESTON,Y,N, ,Meets Requirements, ,Ambassadors Preparatory Academy
84,4,'084901,DICKINSON ISD,GALVESTON,N,N,0,Meets Requirements, ,Dickinson ISD
84,4,'084902,GALVESTON ISD,GALVESTON,N,N,0,Needs Assistance,ASVAB Test not Offered,Galveston ISD
84,5,'084903,HIGH ISLAND ISD,GALVESTON,N,N, ,Meets Requirements, ,High Island ISD
84,4,'084906,TEXAS CITY ISD,GALVESTON,N,N,0,Needs Assistance, ,Texas City ISD
84,4,'084908,HITCHCOCK ISD,GALVESTON,N,N,0,Needs Assistance, ,Hitchcock ISD
84,4,'084909,SANTA FE ISD,GALVESTON,N,N,0,Meets Requirements, ,Santa Fe ISD
84,4,'084910,CLEAR CREEK ISD,GALVESTON,N,N,0,Meets Requirements, ,Clear Creek ISD
84,4,'084911,FRIENDSWOOD ISD,GALVESTON,N,N,0,Meets Requirements, ,Friendswood ISD
85,17,'085902,POST ISD,GARZA,N,N,0,Meets Requirements, ,Post ISD
85,17,'085903,SOUTHLAND ISD,GARZA,N,N, ,Meets Requirements, ,Southland ISD
86,13,'086024,DOSS CONSOLIDATED CSD,GILLESPIE,N,N, ,Meets Requirements, ,Doss Consolidated CSD
86,13,'086901,FREDERICKSBURG ISD,GILLESPIE,N,N,0,Needs Assistance, ,Fredericksburg ISD
86,15,'086902,HARPER ISD,GILLESPIE,N,N,0,Meets Requirements, ,Harper ISD
87,18,'087901,GLASSCOCK COUNTY ISD,GLASSCOCK,N,N,1,Meets Requirements, ,Glasscock County ISD
88,3,'088902,GOLIAD ISD,GOLIAD,N,N,0,Needs Assistance, ,Goliad ISD
89,13,'089901,GONZALES ISD,GONZALES,N,N,0,Needs Assistance, ,Gonzales ISD
89,13,'089903,NIXON-SMILEY CISD,GONZALES,N,N,0,Meets Requirements, ,Nixon-Smiley CISD
89,13,'089905,WAELDER ISD,GONZALES,N,N, ,Needs Assistance, ,Waelder ISD
90,16,'090902,LEFORS ISD,GRAY,N,N, ,Meets Requirements, ,Lefors ISD
90,16,'090903,MCLEAN ISD,GRAY,N,N, ,Meets Requirements, ,McLean ISD
90,16,'090904,PAMPA ISD,GRAY,N,N,0,Needs Assistance, ,Pampa ISD
90,16,'090905,GRANDVIEW-HOPKINS ISD,GRAY,N,N, ,Meets Requirements, ,Grandview-Hopkins ISD
91,10,'091901,BELLS ISD,GRAYSON,N,N,1,Meets Requirements, ,Bells ISD
91,10,'091902,COLLINSVILLE ISD,GRAYSON,N,N,0,Meets Requirements, ,Collinsville ISD
91,10,'091903,DENISON ISD,GRAYSON,N,N,0,Meets Requirements, ,Denison ISD
91,10,'091905,HOWE ISD,GRAYSON,N,N,0,Meets Requirements, ,Howe ISD
91,10,'091906,SHERMAN ISD,GRAYSON,N,N,0,Needs Intervention, ,Sherman ISD
91,10,'091907,TIOGA ISD,GRAYSON,N,N, ,Meets Requirements, ,Tioga ISD
91,10,'091908,VAN ALSTYNE ISD,GRAYSON,N,N,1,Meets Requirements, ,Van Alstyne ISD
91,10,'091909,WHITESBORO ISD,GRAYSON,N,N,0,Meets Requirements, ,Whitesboro ISD
91,10,'091910,WHITEWRIGHT ISD,GRAYSON,N,N,0,Meets Requirements, ,Whitewright ISD
91,10,'091913,POTTSBORO ISD,GRAYSON,N,N,0,Meets Requirements, ,Pottsboro ISD
91,10,'091914,S AND S CISD,GRAYSON,N,N,0,Meets Requirements, ,S And S CISD
91,10,'091917,GUNTER ISD,GRAYSON,N,N,1,Meets Requirements, ,Gunter ISD
91,10,'091918,TOM BEAN ISD,GRAYSON,N,N,0,Meets Requirements, ,Tom Bean ISD
92,7,'092801,EAST TEXAS CHARTER SCHOOLS,GREGG,Y,Y, ,Meets Requirements, ,East Texas Charter Schools
92,7,'092901,GLADEWATER ISD,GREGG,N,N,0,Needs Assistance, ,Gladewater ISD
92,7,'092902,KILGORE ISD,GREGG,N,N,0,Needs Substantial Intervention, ,Kilgore ISD
92,7,'092903,LONGVIEW ISD,GREGG,N,N,1,Meets Requirements, ,Longview ISD
92,7,'092904,PINE TREE ISD,GREGG,N,N,0,Meets Requirements, ,Pine Tree ISD
92,7,'092906,SABINE ISD,GREGG,N,N,0,Meets Requirements, ,Sabine ISD
92,7,'092907,SPRING HILL ISD,GREGG,N,N,1,Meets Requirements, ,Spring Hill ISD
92,7,'092908,WHITE OAK ISD,GREGG,N,N,0,Needs Assistance, ,White Oak ISD
93,6,'093901,ANDERSON-SHIRO CISD,GRIMES,N,N,0,Meets Requirements, ,Anderson-Shiro CISD
93,6,'093903,IOLA ISD,GRIMES,N,N,0,Meets Requirements, ,Iola ISD
93,6,'093904,NAVASOTA ISD,GRIMES,N,N,0,Needs Intervention, ,Navasota ISD
93,6,'093905,RICHARDS ISD,GRIMES,N,N, ,Meets Requirements, ,Richards ISD
94,20,'094901,SEGUIN ISD,GUADALUPE,N,N,0,Needs Assistance, ,Seguin ISD
94,20,'094902,SCHERTZ-CIBOLO-U CITY ISD,GUADALUPE,N,N,0,Meets Requirements, ,Schertz-Cibolo-U City ISD
94,20,'094903,NAVARRO ISD,GUADALUPE,N,N,0,Meets Requirements, ,Navarro ISD
94,20,'094904,MARION ISD,GUADALUPE,N,N,0,Meets Requirements, ,Marion ISD
95,17,'095901,ABERNATHY ISD,HALE,N,N,0,Meets Requirements, ,Abernathy ISD
95,17,'095902,COTTON CENTER ISD,HALE,N,N, ,Meets Requirements, ,Cotton Center ISD
95,17,'095903,HALE CENTER ISD,HALE,N,N,0,Meets Requirements,ASVAB Alternative Test Offered,Hale Center ISD
95,17,'095904,PETERSBURG ISD,HALE,N,N, ,Meets Requirements, ,Petersburg ISD
95,17,'095905,PLAINVIEW ISD,HALE,N,N,0,Needs Assistance, ,Plainview ISD
96,16,'096904,MEMPHIS ISD,HALL,N,N,0,Meets Requirements, ,Memphis ISD
96,16,'096905,TURKEY-QUITAQUE ISD,HALL,N,N, ,Meets Requirements, ,Turkey-Quitaque ISD
97,12,'097902,HAMILTON ISD,HAMILTON,N,N,0,Meets Requirements, ,Hamilton ISD
97,12,'097903,HICO ISD,HAMILTON,N,N,0,Meets Requirements, ,Hico ISD
98,16,'098901,GRUVER ISD,HANSFORD,N,N,0,Meets Requirements, ,Gruver ISD
98,16,'098903,PRINGLE-MORSE CISD,HANSFORD,N,N, ,Meets Requirements,ASVAB Test not Offered,Pringle-Morse CISD
98,16,'098904,SPEARMAN ISD,HANSFORD,N,N,1,Meets Requirements, ,Spearman ISD
99,9,'099902,CHILLICOTHE ISD,HARDEMAN,N,N, ,Meets Requirements, ,Chillicothe ISD
99,9,'099903,QUANAH ISD,HARDEMAN,N,N, ,Meets Requirements, ,Quanah ISD
100,5,'100903,KOUNTZE ISD,HARDIN,N,N,0,Needs Assistance, ,Kountze ISD
100,5,'100904,SILSBEE ISD,HARDIN,N,N,0,Needs Substantial Intervention, ,Silsbee ISD
100,5,'100905,HARDIN-JEFFERSON ISD,HARDIN,N,N,0,Meets Requirements, ,Hardin-Jefferson ISD
100,5,'100907,LUMBERTON ISD,HARDIN,N,N,0,Meets Requirements, ,Lumberton ISD
100,5,'100908,WEST HARDIN COUNTY CISD,HARDIN,N,N,0,Meets Requirements, ,West Hardin County CISD
101,4,'101802,SER-NINOS CHARTER SCHOOL,HARRIS,Y,N,0,Meets Requirements, ,Ser-Ninos Charter School
101,4,'101803,ARISTOI CLASSICAL ACADEMY,HARRIS,Y,N,0,Meets Requirements, ,Aristoi Classical Academy
101,4,'101804,GEORGE I SANCHEZ CHARTER,HARRIS,Y,Y, ,Meets Requirements, ,George I Sanchez Charter
101,4,'101806,RAUL YZAGUIRRE SCHOOLS FOR SUCCESS,HARRIS,Y,N,0,Meets Requirements, ,Raul Yzaguirre Schools For Success
101,4,'101810,ACADEMY OF ACCELERATED LEARNING INC,HARRIS,Y,N, ,Meets Requirements, ,Academy Of Accelerated Learning Inc
101,4,'101811,EXCEL ACADEMY,HARRIS,Y,Y, ,Meets Requirements, ,Excel Academy
101,4,'101814,THE VARNETT PUBLIC SCHOOL,HARRIS,Y,N,0,Meets Requirements, ,The Varnett Public School
101,4,'101815,ALIEF MONTESSORI COMMUNITY SCHOOL,HARRIS,Y,N, ,Meets Requirements, ,Alief Montessori Community School
101,4,'101819,AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH,HARRIS,Y,N, ,Meets Requirements, ,Amigos Por Vida-Friends For Life Pub Chtr Sch
101,4,'101821,HOUSTON HEIGHTS HIGH SCHOOL,HARRIS,Y,Y, ,Meets Requirements, ,Houston Heights High School
101,4,'101828,HOUSTON GATEWAY ACADEMY INC,HARRIS,Y,N,0,Meets Requirements, ,Houston Gateway Academy Inc
101,4,'101837,CALVIN NELMS CHARTER SCHOOLS,HARRIS,Y,N,1,Meets Requirements, ,Calvin Nelms Charter Schools
101,4,'101838,SOUTHWEST SCHOOL,HARRIS,Y,N, ,Needs Intervention, ,Southwest School
101,4,'101840,TWO DIMENSIONS PREPARATORY ACADEMY,HARRIS,Y,N, ,Meets Requirements, ,Two Dimensions Preparatory Academy
101,4,'101842,COMQUEST ACADEMY,HARRIS,Y,N, ,Meets Requirements, ,Comquest Academy
101,4,'101845,YES PREP PUBLIC SCHOOLS INC,HARRIS,Y,N,0,Needs Assistance, ,Yes Prep Public Schools Inc
101,4,'101846,HARMONY PUBLIC SCHOOLS - HOUSTON SOUTH,HARRIS,Y,N,0,Needs Assistance, ,Harmony Public Schools - Houston South
101,4,'101847,BEATRICE MAYES INSTITUTE CHARTER SCHOOL,HARRIS,Y,N, ,Meets Requirements, ,Beatrice Mayes Institute Charter School
101,4,'101849,ACCELERATED INTERMEDIATE ACADEMY,HARRIS,Y,N, ,Meets Requirements, ,Accelerated Intermediate Academy
101,4,'101853,PROMISE COMMUNITY SCHOOL,HARRIS,Y,N,0,Meets Requirements, ,Promise Community School
101,4,'101855,MEYERPARK ELEMENTARY,HARRIS,Y,N, ,Meets Requirements, ,Meyerpark Elementary
101,4,'101856,DRAW ACADEMY,HARRIS,Y,N, ,Meets Requirements, ,Draw Academy
101,4,'101858,HARMONY PUBLIC SCHOOLS - HOUSTON NORTH,HARRIS,Y,N,0,Meets Requirements, ,Harmony Public Schools - Houston North
101,4,'101859,STEP CHARTER SCHOOL,HARRIS,Y,N, ,Meets Requirements, ,Step Charter School
101,4,'101861,THE RHODES SCHOOL FOR PERFORMING ARTS,HARRIS,Y,N, ,Meets Requirements, ,The Rhodes School For Performing Arts
101,4,'101862,HARMONY PUBLIC SCHOOLS - HOUSTON WEST,HARRIS,Y,N,0,Meets Requirements, ,Harmony Public Schools - Houston West
101,4,'101864,THE LAWSON ACADEMY,HARRIS,Y,Y, ,Meets Requirements, ,The Lawson Academy
101,4,'101868,THE PRO-VISION ACADEMY,HARRIS,Y,Y, ,Needs Assistance, ,The Pro-Vision Academy
101,4,'101870,BETA ACADEMY,HARRIS,Y,N, ,Meets Requirements, ,Beta Academy
101,4,'101871,A+ UNLIMITED POTENTIAL,HARRIS,Y,N, ,Meets Requirements, ,A+ Unlimited Potential
101,4,'101872,ETOILE ACADEMY CHARTER SCHOOL,HARRIS,Y,N, ,Meets Requirements, ,Etoile Academy Charter School
101,4,'101873,YELLOWSTONE COLLEGE PREPARATORY,HARRIS,Y,N, ,Meets Requirements, ,Yellowstone College Preparatory
101,4,'101874,LEGACY SCHOOL OF SPORT SCIENCES,HARRIS,Y,N, ,Meets Requirements, ,Legacy School Of Sport Sciences
