Region Code,TEA Region,County Number,County Name,economic_status,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_per,total_degrees,total_degrees_percent,,
07,Kilgore,183,PANOLA,Not Economically Disadvantaged, 191 , 185 ,97%, 178 ,93%, 8 ,4%, 163 ,85%, 16 ,8%, 110 ,58%, 126 ,66%, 6 ,3%, 64 ,34%,,
07,Kilgore,183,PANOLA,Economically Disadvantaged, 115 , 104 ,90%, 91 ,79%, 15 ,13%, 80 ,70%, 5 ,4%, 45 ,39%, 50 ,43%, 2 ,2%, 12 ,10%,,
07,Kilgore,190,RAINS,Not Economically Disadvantaged, 56 , 51 ,91%, 46 ,82%, 1 ,2%, 45 ,80%, 7 ,13%, 19 ,34%, 26 ,46%, -   ,0%, 11 ,20%,,
07,Kilgore,190,RAINS,Economically Disadvantaged, 67 , 62 ,93%, 57 ,85%, 4 ,6%, 46 ,69%, 7 ,10%, 14 ,21%, 21 ,31%, 1 ,1%, 7 ,10%,,
07,Kilgore,201,RUSK,Not Economically Disadvantaged, 272 , 263 ,97%, 246 ,90%, 9 ,3%, 231 ,85%, 59 ,22%, 115 ,42%, 174 ,64%, 8 ,3%, 96 ,35%,,
07,Kilgore,201,RUSK,Economically Disadvantaged, 330 , 315 ,95%, 277 ,84%, 26 ,8%, 241 ,73%, 28 ,8%, 115 ,35%, 143 ,43%, 13 ,4%, 49 ,15%,,
07,Kilgore,202,SABINE,Not Economically Disadvantaged, 55 , 53 ,96%, 50 ,91%, 2 ,4%, 46 ,84%, 18 ,33%, 16 ,29%, 34 ,62%, 3 ,5%, 17 ,31%,,
07,Kilgore,202,SABINE,Economically Disadvantaged, 85 , 78 ,92%, 65 ,76%, 12 ,14%, 56 ,66%, 10 ,12%, 19 ,22%, 29 ,34%, 1 ,1%, 6 ,7%,,
07,Kilgore,203,SAN AUGUSTINE,Not Economically Disadvantaged, 22 , 22 ,100%, 21 ,95%, 1 ,5%, 20 ,91%, 8 ,36%, 5 ,23%, 13 ,59%, -   ,0%, 7 ,32%,,
07,Kilgore,203,SAN AUGUSTINE,Economically Disadvantaged, 87 , 85 ,98%, 77 ,89%, 6 ,7%, 66 ,76%, 11 ,13%, 13 ,15%, 24 ,28%, -   ,0%, 11 ,13%,,
07,Kilgore,210,SHELBY,Not Economically Disadvantaged, 158 , 153 ,97%, 142 ,90%, 6 ,4%, 137 ,87%, 33 ,21%, 73 ,46%, 106 ,67%, 4 ,3%, 47 ,30%,,
07,Kilgore,210,SHELBY,Economically Disadvantaged, 212 , 200 ,94%, 171 ,81%, 18 ,8%, 148 ,70%, 13 ,6%, 65 ,31%, 78 ,37%, 4 ,2%, 28 ,13%,,
07,Kilgore,212,SMITH,Not Economically Disadvantaged," 1,244 "," 1,185 ",95%," 1,041 ",84%, 106 ,9%," 1,008 ",81%, 245 ,20%, 585 ,47%, 830 ,67%, 56 ,5%, 410 ,33%,,
07,Kilgore,212,SMITH,Economically Disadvantaged," 1,257 "," 1,184 ",94%, 849 ,68%, 271 ,22%, 815 ,65%, 60 ,5%, 435 ,35%, 495 ,39%, 45 ,4%, 136 ,11%,,
07,Kilgore,230,UPSHUR,Not Economically Disadvantaged, 328 , 313 ,95%, 285 ,87%, 18 ,5%, 267 ,81%, 61 ,19%, 143 ,44%, 204 ,62%, 11 ,3%, 90 ,27%,,
07,Kilgore,230,UPSHUR,Economically Disadvantaged, 240 , 217 ,90%, 195 ,81%, 19 ,8%, 174 ,73%, 21 ,9%, 89 ,37%, 110 ,46%, 9 ,4%, 40 ,17%,,
07,Kilgore,234,VAN ZANDT,Not Economically Disadvantaged, 214 , 203 ,95%, 186 ,87%, 11 ,5%, 170 ,79%, 35 ,16%, 100 ,47%, 135 ,63%, 10 ,5%, 56 ,26%,,
07,Kilgore,234,VAN ZANDT,Economically Disadvantaged, 164 , 153 ,93%, 141 ,86%, 6 ,4%, 126 ,77%, 13 ,8%, 63 ,38%, 76 ,46%, 3 ,2%, 24 ,15%,,
07,Kilgore,250,WOOD,Not Economically Disadvantaged, 214 , 206 ,96%, 193 ,90%, 10 ,5%, 192 ,90%, 47 ,22%, 84 ,39%, 131 ,61%, 5 ,2%, 70 ,33%,,
07,Kilgore,250,WOOD,Economically Disadvantaged, 233 , 218 ,94%, 199 ,85%, 13 ,6%, 176 ,76%, 28 ,12%, 74 ,32%, 102 ,44%, 4 ,2%, 29 ,12%,,
08,Mt. Pleasant,019,BOWIE,Not Economically Disadvantaged, 675 , 649 ,96%, 627 ,93%, 8 ,1%, 581 ,86%, 155 ,23%, 255 ,38%, 410 ,61%, 16 ,2%, 179 ,27%,,
08,Mt. Pleasant,019,BOWIE,Economically Disadvantaged, 611 , 548 ,90%, 495 ,81%, 26 ,4%, 422 ,69%, 62 ,10%, 195 ,32%, 257 ,42%, 27 ,4%, 66 ,11%,,
08,Mt. Pleasant,032,CAMP,Not Economically Disadvantaged, 65 , 61 ,94%, 55 ,85%, 6 ,9%, 51 ,78%, 7 ,11%, 43 ,66%, 50 ,77%, 4 ,6%, 19 ,29%,,
08,Mt. Pleasant,032,CAMP,Economically Disadvantaged, 123 , 118 ,96%, 97 ,79%, 14 ,11%, 93 ,76%, 3 ,2%, 57 ,46%, 60 ,49%, 3 ,2%, 19 ,15%,,
08,Mt. Pleasant,034,CASS,Not Economically Disadvantaged, 215 , 208 ,97%, 197 ,92%, 7 ,3%, 192 ,89%, 35 ,16%, 97 ,45%, 132 ,61%, 4 ,2%, 65 ,30%,,
08,Mt. Pleasant,034,CASS,Economically Disadvantaged, 232 , 222 ,96%, 196 ,84%, 15 ,6%, 176 ,76%, 23 ,10%, 73 ,31%, 96 ,41%, 7 ,3%, 26 ,11%,,
08,Mt. Pleasant,060,DELTA,Not Economically Disadvantaged, 37 , 36 ,97%, 36 ,97%, -   ,0%, 33 ,89%, 9 ,24%, 19 ,51%, 28 ,76%, 1 ,3%, 15 ,41%,,
08,Mt. Pleasant,060,DELTA,Economically Disadvantaged, 53 , 51 ,96%, 45 ,85%, 4 ,8%, 41 ,77%, 8 ,15%, 22 ,42%, 30 ,57%, 2 ,4%, 12 ,23%,,
08,Mt. Pleasant,080,FRANKLIN,Not Economically Disadvantaged, 81 , 78 ,96%, 73 ,90%, 5 ,6%, 64 ,79%, 15 ,19%, 39 ,48%, 54 ,67%, 5 ,6%, 26 ,32%,,
08,Mt. Pleasant,080,FRANKLIN,Economically Disadvantaged, 55 , 51 ,93%, 51 ,93%, 1 ,2%, 43 ,78%, 5 ,9%, 29 ,53%, 34 ,62%, 3 ,5%, 10 ,18%,,
08,Mt. Pleasant,112,HOPKINS,Not Economically Disadvantaged, 230 , 218 ,95%, 212 ,92%, 8 ,3%, 198 ,86%, 53 ,23%, 96 ,42%, 149 ,65%, 7 ,3%, 71 ,31%,,
08,Mt. Pleasant,112,HOPKINS,Economically Disadvantaged, 245 , 230 ,94%, 203 ,83%, 19 ,8%, 185 ,76%, 21 ,9%, 89 ,36%, 110 ,45%, 7 ,3%, 31 ,13%,,
08,Mt. Pleasant,139,LAMAR,Not Economically Disadvantaged, 327 , 312 ,95%, 307 ,94%, 4 ,1%, 287 ,88%, 53 ,16%, 173 ,53%, 226 ,69%, 11 ,3%, 132 ,40%,,
08,Mt. Pleasant,139,LAMAR,Economically Disadvantaged, 322 , 291 ,90%, 230 ,71%, 41 ,13%, 213 ,66%, 13 ,4%, 144 ,45%, 157 ,49%, 22 ,7%, 39 ,12%,,
08,Mt. Pleasant,155,MARION,Not Economically Disadvantaged, 36 , 36 ,100%, 27 ,75%, 4 ,11%, 26 ,72%, 8 ,22%, 10 ,28%, 18 ,50%, 1 ,3%, 10 ,28%,,
08,Mt. Pleasant,155,MARION,Economically Disadvantaged, 67 , 64 ,96%, 52 ,78%, 9 ,13%, 53 ,79%, 9 ,13%, 29 ,43%, 38 ,57%, 4 ,6%, 11 ,16%,,
08,Mt. Pleasant,172,MORRIS,Not Economically Disadvantaged, 78 , 75 ,96%, 71 ,91%, 3 ,4%, 66 ,85%, 17 ,22%, 38 ,49%, 55 ,71%, 1 ,1%, 25 ,32%,,
08,Mt. Pleasant,172,MORRIS,Economically Disadvantaged, 90 , 81 ,90%, 78 ,87%, 3 ,3%, 64 ,71%, 8 ,9%, 30 ,33%, 38 ,42%, 3 ,3%, 9 ,10%,,
08,Mt. Pleasant,194,RED RIVER,Not Economically Disadvantaged, 72 , 70 ,97%, 69 ,96%, -   ,0%, 66 ,92%, 9 ,13%, 46 ,64%, 55 ,76%, 1 ,1%, 32 ,44%,,
08,Mt. Pleasant,194,RED RIVER,Economically Disadvantaged, 111 , 110 ,99%, 96 ,86%, 5 ,5%, 85 ,77%, 5 ,5%, 48 ,43%, 53 ,48%, 3 ,3%, 13 ,12%,,
08,Mt. Pleasant,225,TITUS,Not Economically Disadvantaged, 149 , 141 ,95%, 131 ,88%, 7 ,5%, 124 ,83%, 37 ,25%, 77 ,52%, 114 ,77%, 9 ,6%, 66 ,44%,,
08,Mt. Pleasant,225,TITUS,Economically Disadvantaged, 351 , 319 ,91%, 285 ,81%, 34 ,10%, 269 ,77%, 10 ,3%, 165 ,47%, 175 ,50%, 14 ,4%, 58 ,17%,,
09,Wichita Falls,005,ARCHER,Not Economically Disadvantaged, 91 , 87 ,96%, 82 ,90%, 3 ,3%, 81 ,89%, 43 ,47%, 22 ,24%, 65 ,71%, 2 ,2%, 34 ,37%,,
09,Wichita Falls,005,ARCHER,Economically Disadvantaged, 34 , 31 ,91%, 30 ,88%, 1 ,3%, 28 ,82%, 3 ,9%, 10 ,29%, 13 ,38%, -   ,0%, 6 ,18%,,
09,Wichita Falls,012,BAYLOR,Not Economically Disadvantaged, 17 , 17 ,100%, 17 ,100%, -   ,0%, 16 ,94%, 10 ,59%, 5 ,29%, 15 ,88%, -   ,0%, 10 ,59%,,
09,Wichita Falls,012,BAYLOR,Economically Disadvantaged, 23 , 21 ,91%, 17 ,74%, -   ,0%, 15 ,65%, 3 ,13%, 7 ,30%, 10 ,43%, 1 ,4%, 4 ,17%,,
09,Wichita Falls,039,CLAY,Not Economically Disadvantaged, 92 , 89 ,97%, 87 ,95%, 2 ,2%, 82 ,89%, 25 ,27%, 30 ,33%, 55 ,60%, 4 ,4%, 29 ,32%,,
09,Wichita Falls,039,CLAY,Economically Disadvantaged, 60 , 58 ,97%, 49 ,82%, 6 ,10%, 46 ,77%, 8 ,13%, 9 ,15%, 17 ,28%, -   ,0%, 6 ,10%,,
09,Wichita Falls,078,FOARD,Not Economically Disadvantaged, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.,,
09,Wichita Falls,078,FOARD,Economically Disadvantaged, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.,,
09,Wichita Falls,099,HARDEMAN,Not Economically Disadvantaged, 21 , 21 ,100%, 20 ,95%, 1 ,5%, 20 ,95%, 7 ,33%, 6 ,29%, 13 ,62%, -   ,0%, 6 ,29%,,
09,Wichita Falls,099,HARDEMAN,Economically Disadvantaged, 37 , 37 ,100%, 34 ,92%, 1 ,3%, 33 ,89%, 1 ,3%, 19 ,51%, 20 ,54%, 1 ,3%, 7 ,19%,,
09,Wichita Falls,119,JACK,Not Economically Disadvantaged, 63 , 63 ,100%, 57 ,90%, 1 ,2%, 53 ,84%, 13 ,21%, 23 ,37%, 36 ,57%, 1 ,2%, 13 ,21%,,
09,Wichita Falls,119,JACK,Economically Disadvantaged, 47 , 44 ,94%, 40 ,85%, 2 ,4%, 39 ,83%, 5 ,11%, 15 ,32%, 20 ,43%, -   ,0%, 3 ,6%,,
09,Wichita Falls,138,KNOX,Not Economically Disadvantaged, 20 , 20 ,100%, 20 ,100%, -   ,0%, 19 ,95%, 10 ,50%, 8 ,40%, 18 ,90%, 1 ,5%, 10 ,50%,,
09,Wichita Falls,138,KNOX,Economically Disadvantaged, 35 , 35 ,100%, 32 ,91%, 2 ,6%, 30 ,86%, 2 ,6%, 18 ,51%, 20 ,57%, -   ,0%, 8 ,23%,,
09,Wichita Falls,169,MONTAGUE,Not Economically Disadvantaged, 123 , 117 ,95%, 108 ,88%, 4 ,3%, 101 ,82%, 29 ,24%, 46 ,37%, 75 ,61%, 5 ,4%, 36 ,29%,,
09,Wichita Falls,169,MONTAGUE,Economically Disadvantaged, 105 , 99 ,94%, 88 ,84%, 6 ,6%, 72 ,69%, 6 ,6%, 27 ,26%, 33 ,31%, 3 ,3%, 7 ,7%,,
09,Wichita Falls,224,THROCKMORTON,Not Economically Disadvantaged, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.,,
09,Wichita Falls,224,THROCKMORTON,Economically Disadvantaged, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.,,
09,Wichita Falls,243,WICHITA,Not Economically Disadvantaged, 860 , 809 ,94%, 747 ,87%, 43 ,5%, 703 ,82%, 248 ,29%, 235 ,27%, 483 ,56%, 21 ,2%, 223 ,26%,,
09,Wichita Falls,243,WICHITA,Economically Disadvantaged, 735 , 680 ,93%, 576 ,78%, 88 ,12%, 530 ,72%, 78 ,11%, 185 ,25%, 263 ,36%, 15 ,2%, 81 ,11%,,
09,Wichita Falls,244,WILBARGER,Not Economically Disadvantaged, 79 , 74 ,94%, 71 ,90%, 3 ,4%, 65 ,82%, 22 ,28%, 26 ,33%, 48 ,61%, -   ,0%, 31 ,39%,,
09,Wichita Falls,244,WILBARGER,Economically Disadvantaged, 115 , 109 ,95%, 90 ,78%, 16 ,14%, 70 ,61%, 8 ,7%, 42 ,37%, 50 ,43%, 4 ,3%, 19 ,17%,,
09,Wichita Falls,252,YOUNG,Not Economically Disadvantaged, 168 , 162 ,96%, 156 ,93%, 3 ,2%, 150 ,89%, 68 ,40%, 47 ,28%, 115 ,68%, 1 ,1%, 63 ,38%,,
09,Wichita Falls,252,YOUNG,Economically Disadvantaged, 106 , 95 ,90%, 89 ,84%, 5 ,5%, 74 ,70%, 13 ,12%, 25 ,24%, 38 ,36%, -   ,0%, 11 ,10%,,
10,Richardson,043,COLLIN,Not Economically Disadvantaged," 8,349 "," 7,910 ",95%," 7,441 ",89%, 330 ,4%," 7,161 ",86%," 2,331 ",28%," 3,106 ",37%," 5,437 ",65%, 324 ,4%," 2,718 ",33%,,
10,Richardson,043,COLLIN,Economically Disadvantaged," 1,934 "," 1,805 ",93%," 1,450 ",75%, 317 ,16%," 1,427 ",74%, 201 ,10%, 612 ,32%, 813 ,42%, 44 ,2%, 270 ,14%,,
10,Richardson,057,DALLAS,Not Economically Disadvantaged," 12,427 "," 11,759 ",95%," 10,567 ",85%, 962 ,8%," 10,220 ",82%," 3,463 ",28%," 4,403 ",35%," 7,866 ",63%, 448 ,4%," 3,372 ",27%,,
10,Richardson,057,DALLAS,Economically Disadvantaged," 19,490 "," 17,902 ",92%," 14,045 ",72%," 3,603 ",18%," 13,372 ",69%," 2,166 ",11%," 5,697 ",29%," 7,863 ",40%, 571 ,3%," 2,110 ",11%,,
10,Richardson,070,ELLIS,Not Economically Disadvantaged," 1,433 "," 1,378 ",96%," 1,281 ",89%, 73 ,5%," 1,230 ",86%, 363 ,25%, 644 ,45%," 1,007 ",70%, 47 ,3%, 510 ,36%,,
10,Richardson,070,ELLIS,Economically Disadvantaged, 794 , 736 ,93%, 636 ,80%, 100 ,13%, 616 ,78%, 67 ,8%, 300 ,38%, 367 ,46%, 15 ,2%, 94 ,12%,,
10,Richardson,074,FANNIN,Not Economically Disadvantaged, 216 , 210 ,97%, 202 ,94%, 8 ,4%, 189 ,88%, 32 ,15%, 104 ,48%, 136 ,63%, 3 ,1%, 58 ,27%,,
10,Richardson,074,FANNIN,Economically Disadvantaged, 188 , 178 ,95%, 153 ,81%, 8 ,4%, 144 ,77%, 15 ,8%, 56 ,30%, 71 ,38%, 3 ,2%, 23 ,12%,,
10,Richardson,091,GRAYSON,Not Economically Disadvantaged, 946 , 907 ,96%, 857 ,91%, 33 ,3%, 810 ,86%, 190 ,20%, 436 ,46%, 626 ,66%, 24 ,3%, 291 ,31%,,
10,Richardson,091,GRAYSON,Economically Disadvantaged, 625 , 578 ,92%, 471 ,75%, 86 ,14%, 437 ,70%, 40 ,6%, 229 ,37%, 269 ,43%, 27 ,4%, 73 ,12%,,
10,Richardson,116,HUNT,Not Economically Disadvantaged, 538 , 520 ,97%, 467 ,87%, 34 ,6%, 452 ,84%, 157 ,29%, 174 ,32%, 331 ,62%, 20 ,4%, 149 ,28%,,
10,Richardson,116,HUNT,Economically Disadvantaged, 552 , 523 ,95%, 439 ,80%, 65 ,12%, 396 ,72%, 55 ,10%, 165 ,30%, 220 ,40%, 14 ,3%, 56 ,10%,,
10,Richardson,129,KAUFMAN,Not Economically Disadvantaged," 1,014 ", 976 ,96%, 885 ,87%, 83 ,8%, 865 ,85%, 225 ,22%, 419 ,41%, 644 ,64%, 35 ,3%, 281 ,28%,,
10,Richardson,129,KAUFMAN,Economically Disadvantaged, 652 , 605 ,93%, 466 ,71%, 114 ,17%, 452 ,69%, 61 ,9%, 187 ,29%, 248 ,38%, 16 ,2%, 58 ,9%,,
10,Richardson,199,ROCKWALL,Not Economically Disadvantaged, 999 , 962 ,96%, 888 ,89%, 48 ,5%, 852 ,85%, 298 ,30%, 380 ,38%, 678 ,68%, 36 ,4%, 334 ,33%,,
10,Richardson,199,ROCKWALL,Economically Disadvantaged, 272 , 255 ,94%, 194 ,71%, 51 ,19%, 185 ,68%, 35 ,13%, 76 ,28%, 111 ,41%, 9 ,3%, 32 ,12%,,
10,Richardson,234,VAN ZANDT,Not Economically Disadvantaged, 210 , 206 ,98%, 197 ,94%, 4 ,2%, 186 ,89%, 53 ,25%, 94 ,45%, 147 ,70%, 12 ,6%, 62 ,30%,,
10,Richardson,234,VAN ZANDT,Economically Disadvantaged, 140 , 133 ,95%, 106 ,76%, 23 ,16%, 109 ,78%, 10 ,7%, 42 ,30%, 52 ,37%, 3 ,2%, 15 ,11%,,
11,Fort Worth,049,COOKE,Not Economically Disadvantaged, 285 , 268 ,94%, 245 ,86%, 13 ,5%, 242 ,85%, 71 ,25%, 116 ,41%, 187 ,66%, 10 ,4%, 99 ,35%,,
11,Fort Worth,049,COOKE,Economically Disadvantaged, 174 , 153 ,88%, 118 ,68%, 29 ,17%, 105 ,60%, 10 ,6%, 51 ,29%, 61 ,35%, 3 ,2%, 19 ,11%,,
11,Fort Worth,061,DENTON,Not Economically Disadvantaged," 5,523 "," 5,254 ",95%," 4,766 ",86%, 403 ,7%," 4,714 ",85%," 1,530 ",28%," 2,054 ",37%," 3,584 ",65%, 169 ,3%," 1,685 ",31%,,
11,Fort Worth,061,DENTON,Economically Disadvantaged," 1,884 "," 1,731 ",92%," 1,340 ",71%, 348 ,18%," 1,322 ",70%, 165 ,9%, 521 ,28%, 686 ,36%, 55 ,3%, 177 ,9%,,
11,Fort Worth,072,ERATH,Not Economically Disadvantaged, 251 , 244 ,97%, 231 ,92%, 9 ,4%, 228 ,91%, 116 ,46%, 63 ,25%, 179 ,71%, 4 ,2%, 98 ,39%,,
11,Fort Worth,072,ERATH,Economically Disadvantaged, 192 , 180 ,94%, 141 ,73%, 40 ,21%, 134 ,70%, 34 ,18%, 42 ,22%, 76 ,40%, 2 ,1%, 23 ,12%,,
11,Fort Worth,111,HOOD,Not Economically Disadvantaged, 420 , 402 ,96%, 372 ,89%, 10 ,2%, 346 ,82%, 137 ,33%, 129 ,31%, 266 ,63%, 13 ,3%, 121 ,29%,,
11,Fort Worth,111,HOOD,Economically Disadvantaged, 226 , 215 ,95%, 196 ,87%, 15 ,7%, 163 ,72%, 19 ,8%, 50 ,22%, 69 ,31%, 7 ,3%, 14 ,6%,,
11,Fort Worth,126,JOHNSON,Not Economically Disadvantaged," 1,362 "," 1,299 ",95%," 1,175 ",86%, 106 ,8%," 1,142 ",84%, 316 ,23%, 523 ,38%, 839 ,62%, 51 ,4%, 366 ,27%,,
11,Fort Worth,126,JOHNSON,Economically Disadvantaged, 861 , 792 ,92%, 649 ,75%, 121 ,14%, 602 ,70%, 66 ,8%, 244 ,28%, 310 ,36%, 28 ,3%, 77 ,9%,,
11,Fort Worth,182,PALO PINTO,Not Economically Disadvantaged, 182 , 166 ,91%, 152 ,84%, 9 ,5%, 149 ,82%, 45 ,25%, 53 ,29%, 98 ,54%, 4 ,2%, 34 ,19%,,
11,Fort Worth,182,PALO PINTO,Economically Disadvantaged, 185 , 165 ,89%, 142 ,77%, 18 ,10%, 118 ,64%, 18 ,10%, 50 ,27%, 68 ,37%, 8 ,4%, 24 ,13%,,
11,Fort Worth,184,PARKER,Not Economically Disadvantaged," 1,128 "," 1,086 ",96%," 1,002 ",89%, 53 ,5%, 968 ,86%, 297 ,26%, 463 ,41%, 760 ,67%, 42 ,4%, 403 ,36%,,
11,Fort Worth,184,PARKER,Economically Disadvantaged, 416 , 385 ,93%, 326 ,78%, 35 ,8%, 284 ,68%, 16 ,4%, 127 ,31%, 143 ,34%, 18 ,4%, 30 ,7%,,
11,Fort Worth,213,SOMERVELL,Not Economically Disadvantaged, 83 , 82 ,99%, 79 ,95%, 3 ,4%, 79 ,95%, 47 ,57%, 13 ,16%, 60 ,72%, 1 ,1%, 31 ,37%,,
11,Fort Worth,213,SOMERVELL,Economically Disadvantaged, 55 , 52 ,95%, 42 ,76%, 9 ,16%, 46 ,84%, 9 ,16%, 19 ,35%, 28 ,51%, -   ,0%, 7 ,13%,,
11,Fort Worth,220,TARRANT,Not Economically Disadvantaged," 13,018 "," 12,369 ",95%," 11,098 ",85%, 990 ,8%," 10,642 ",82%," 3,640 ",28%," 4,765 ",37%," 8,405 ",65%, 523 ,4%," 3,897 ",30%,,
11,Fort Worth,220,TARRANT,Economically Disadvantaged," 10,289 "," 9,474 ",92%," 7,318 ",71%," 1,814 ",18%," 6,744 ",66%," 1,074 ",10%," 3,085 ",30%," 4,159 ",40%, 386 ,4%," 1,177 ",11%,,
11,Fort Worth,249,WISE,Not Economically Disadvantaged, 455 , 433 ,95%, 405 ,89%, 13 ,3%, 380 ,84%, 115 ,25%, 158 ,35%, 273 ,60%, 16 ,4%, 131 ,29%,,
11,Fort Worth,249,WISE,Economically Disadvantaged, 243 , 233 ,96%, 205 ,84%, 22 ,9%, 187 ,77%, 26 ,11%, 65 ,27%, 91 ,37%, 3 ,1%, 27 ,11%,,
12,Waco,014,BELL,Not Economically Disadvantaged," 2,269 "," 2,071 ",91%," 1,766 ",78%, 223 ,10%," 1,748 ",77%, 550 ,24%, 888 ,39%," 1,438 ",63%, 97 ,4%, 642 ,28%,,
12,Waco,014,BELL,Economically Disadvantaged," 1,837 "," 1,611 ",88%," 1,158 ",63%, 360 ,20%," 1,156 ",63%, 165 ,9%, 545 ,30%, 710 ,39%, 76 ,4%, 175 ,10%,,
12,Waco,018,BOSQUE,Not Economically Disadvantaged, 116 , 113 ,97%, 108 ,93%, 2 ,2%, 100 ,86%, 25 ,22%, 56 ,48%, 81 ,70%, 2 ,2%, 39 ,34%,,
12,Waco,018,BOSQUE,Economically Disadvantaged, 125 , 123 ,98%, 112 ,90%, 3 ,2%, 95 ,76%, 13 ,10%, 44 ,35%, 57 ,46%, 3 ,2%, 19 ,15%,,
12,Waco,050,CORYELL,Not Economically Disadvantaged, 515 , 474 ,92%, 429 ,83%, 39 ,8%, 402 ,78%, 102 ,20%, 210 ,41%, 312 ,61%, 29 ,6%, 128 ,25%,,
12,Waco,050,CORYELL,Economically Disadvantaged, 284 , 252 ,89%, 195 ,69%, 43 ,15%, 180 ,63%, 25 ,9%, 90 ,32%, 115 ,40%, 17 ,6%, 27 ,10%,,
12,Waco,073,FALLS,Not Economically Disadvantaged, 50 , 49 ,98%, 49 ,98%, -   ,0%, 45 ,90%, 14 ,28%, 23 ,46%, 37 ,74%, 1 ,2%, 19 ,38%,,
12,Waco,073,FALLS,Economically Disadvantaged, 152 , 141 ,93%, 127 ,84%, 11 ,7%, 109 ,72%, 16 ,11%, 68 ,45%, 84 ,55%, 3 ,2%, 22 ,14%,,
12,Waco,081,FREESTONE,Not Economically Disadvantaged, 181 , 175 ,97%, 157 ,87%, 10 ,6%, 155 ,86%, 41 ,23%, 92 ,51%, 133 ,73%, 8 ,4%, 56 ,31%,,
12,Waco,081,FREESTONE,Economically Disadvantaged, 110 , 101 ,92%, 87 ,79%, 13 ,12%, 84 ,76%, 3 ,3%, 46 ,42%, 49 ,45%, 2 ,2%, 8 ,7%,,
12,Waco,097,HAMILTON,Not Economically Disadvantaged, 62 , 62 ,100%, 60 ,97%, -   ,0%, 57 ,92%, 28 ,45%, 20 ,32%, 48 ,77%, 1 ,2%, 26 ,42%,,
12,Waco,097,HAMILTON,Economically Disadvantaged, 68 , 62 ,91%, 60 ,88%, 2 ,3%, 55 ,81%, 19 ,28%, 13 ,19%, 32 ,47%, 1 ,1%, 14 ,21%,,
12,Waco,109,HILL,Not Economically Disadvantaged, 183 , 177 ,97%, 167 ,91%, 5 ,3%, 157 ,86%, 32 ,17%, 93 ,51%, 125 ,68%, 5 ,3%, 49 ,27%,,
12,Waco,109,HILL,Economically Disadvantaged, 253 , 247 ,98%, 216 ,85%, 23 ,9%, 195 ,77%, 16 ,6%, 105 ,42%, 121 ,48%, 10 ,4%, 31 ,12%,,
12,Waco,141,LAMPASAS,Not Economically Disadvantaged, 152 , 148 ,97%, 141 ,93%, 5 ,3%, 128 ,84%, 52 ,34%, 50 ,33%, 102 ,67%, 7 ,5%, 42 ,28%,,
12,Waco,141,LAMPASAS,Economically Disadvantaged, 132 , 119 ,90%, 106 ,80%, 10 ,8%, 96 ,73%, 15 ,11%, 34 ,26%, 49 ,37%, 2 ,2%, 9 ,7%,,
12,Waco,147,LIMESTONE,Not Economically Disadvantaged, 129 , 115 ,89%, 109 ,85%, 3 ,2%, 101 ,78%, 25 ,19%, 63 ,49%, 88 ,68%, 4 ,3%, 41 ,32%,,
12,Waco,147,LIMESTONE,Economically Disadvantaged, 187 , 173 ,93%, 150 ,80%, 21 ,11%, 124 ,66%, 12 ,6%, 81 ,43%, 93 ,50%, 10 ,5%, 23 ,12%,,
12,Waco,161,MCLENNAN,Not Economically Disadvantaged," 1,328 "," 1,283 ",97%," 1,202 ",91%, 68 ,5%," 1,152 ",87%, 350 ,26%, 658 ,50%," 1,008 ",76%, 52 ,4%, 535 ,40%,,
12,Waco,161,MCLENNAN,Economically Disadvantaged," 1,586 "," 1,489 ",94%," 1,191 ",75%, 266 ,17%," 1,115 ",70%, 129 ,8%, 705 ,44%, 834 ,53%, 65 ,4%, 226 ,14%,,
12,Waco,167,MILLS,Not Economically Disadvantaged, 39 , 39 ,100%, 35 ,90%, 2 ,5%, 32 ,82%, 13 ,33%, 12 ,31%, 25 ,64%, 2 ,5%, 12 ,31%,,
12,Waco,167,MILLS,Economically Disadvantaged, 42 , 39 ,93%, 34 ,81%, 5 ,12%, 34 ,81%, 4 ,10%, 14 ,33%, 18 ,43%, -   ,0%, 7 ,17%,,
12,Waco,175,NAVARRO,Not Economically Disadvantaged, 318 , 307 ,97%, 289 ,91%, 9 ,3%, 263 ,83%, 61 ,19%, 176 ,55%, 237 ,75%, 15 ,5%, 130 ,41%,,
12,Waco,175,NAVARRO,Economically Disadvantaged, 423 , 406 ,96%, 348 ,82%, 35 ,8%, 290 ,69%, 21 ,5%, 189 ,45%, 210 ,50%, 31 ,7%, 50 ,12%,,
