DISTRICT,DISTNAME,COUNTY,CNTYNAME,REGION,DFLCHART,DFLALTED,D_RATING,SECS
"073903","MARLIN ISD","073","FALLS","12","N","N","I","E"
"073904","WESTPHALIA ISD","073","FALLS","12","N","N","M","D"
"073905","ROSEBUD-LOTT ISD","073","FALLS","12","N","N","M"," "
"074903","BONHAM ISD","074","FANNIN","10","N","N","M","D"
"074904","DODD CITY ISD","074","FANNIN","10","N","N","M"," "
"074905","ECTOR ISD","074","FANNIN","10","N","N","M"," "
"074907","HONEY GROVE ISD","074","FANNIN","10","N","N","I","A"
"074909","LEONARD ISD","074","FANNIN","10","N","N","M"," "
"074911","SAVOY ISD","074","FANNIN","10","N","N","M"," "
"074912","TRENTON ISD","074","FANNIN","10","N","N","M"," "
"074917","SAM RAYBURN ISD","074","FANNIN","10","N","N","M"," "
"075901","FLATONIA ISD","075","FAYETTE","13","N","N","M","H"
"075902","LA GRANGE ISD","075","FAYETTE","13","N","N","M","D"
"075903","SCHULENBURG ISD","075","FAYETTE","13","N","N","M","D"
"075906","FAYETTEVILLE ISD","075","FAYETTE","13","N","N","M"," "
"075908","ROUND TOP-CARMINE ISD","075","FAYETTE","13","N","N","M"," "
"076903","ROBY CISD","076","FISHER","14","N","N","M"," "
"076904","ROTAN ISD","076","FISHER","14","N","N","M"," "
"077901","FLOYDADA ISD","077","FLOYD","17","N","N","M","B"
"077902","LOCKNEY ISD","077","FLOYD","17","N","N","M","D"
"078901","CROWELL ISD","078","FOARD","09","N","N","M"," "
"079901","LAMAR CISD","079","FORT BEND","04","N","N","M"," "
"079906","NEEDVILLE ISD","079","FORT BEND","04","N","N","M"," "
"079907","FORT BEND ISD","079","FORT BEND","04","N","N","M","H"
"079910","STAFFORD MSD","079","FORT BEND","04","N","N","M"," "
"080901","MOUNT VERNON ISD","080","FRANKLIN","08","N","N","M"," "
"081902","FAIRFIELD ISD","081","FREESTONE","12","N","N","M","L"
"081904","TEAGUE ISD","081","FREESTONE","12","N","N","M","D"
"081905","WORTHAM ISD","081","FREESTONE","12","N","N","M"," "
"081906","DEW ISD","081","FREESTONE","12","N","N","M"," "
"082902","DILLEY ISD","082","FRIO","20","N","N","I"," "
"082903","PEARSALL ISD","082","FRIO","20","N","N","I","J"
"083901","SEAGRAVES ISD","083","GAINES","17","N","N","M","D"
"083902","LOOP ISD","083","GAINES","17","N","N","M"," "
"083903","SEMINOLE ISD","083","GAINES","17","N","N","M","L"
"084801","MAINLAND PREPARATORY ACADEMY","084","GALVESTON","04","Y","N","M"," "
"084802","ODYSSEY ACADEMY INC","084","GALVESTON","04","Y","N","M"," "
"084804","AMBASSADORS PREPARATORY ACADEMY","084","GALVESTON","04","Y","N","M","D"
"084805","PREMIER LEARNING ACADEMY","084","GALVESTON","04","Y","N","I"," "
"084901","DICKINSON ISD","084","GALVESTON","04","N","N","M"," "
"084902","GALVESTON ISD","084","GALVESTON","04","N","N","M","J"
"084903","HIGH ISLAND ISD","084","GALVESTON","05","N","N","M"," "
"084904","LA MARQUE ISD","084","GALVESTON","04","N","N","I"," "
"084906","TEXAS CITY ISD","084","GALVESTON","04","N","N","M","D"
"084908","HITCHCOCK ISD","084","GALVESTON","04","N","N","I","B"
"084909","SANTA FE ISD","084","GALVESTON","04","N","N","M"," "
"084910","CLEAR CREEK ISD","084","GALVESTON","04","N","N","M"," "
"084911","FRIENDSWOOD ISD","084","GALVESTON","04","N","N","M"," "
"085902","POST ISD","085","GARZA","17","N","N","M"," "
"085903","SOUTHLAND ISD","085","GARZA","17","N","N","M"," "
"086024","DOSS CONSOLIDATED CSD","086","GILLESPIE","13","N","N","M"," "
"086901","FREDERICKSBURG ISD","086","GILLESPIE","13","N","N","M","D"
"086902","HARPER ISD","086","GILLESPIE","13","N","N","M"," "
"087901","GLASSCOCK COUNTY ISD","087","GLASSCOCK","18","N","N","M","D"
"088902","GOLIAD ISD","088","GOLIAD","03","N","N","M","B"
"089901","GONZALES ISD","089","GONZALES","13","N","N","M","D"
"089903","NIXON-SMILEY CISD","089","GONZALES","13","N","N","M","D"
"089905","WAELDER ISD","089","GONZALES","13","N","N","M","D"
"090902","LEFORS ISD","090","GRAY","16","N","N","M"," "
"090903","MCLEAN ISD","090","GRAY","16","N","N","M"," "
"090904","PAMPA ISD","090","GRAY","16","N","N","M"," "
"090905","GRANDVIEW-HOPKINS ISD","090","GRAY","16","N","N","M"," "
"091901","BELLS ISD","091","GRAYSON","10","N","N","M"," "
"091902","COLLINSVILLE ISD","091","GRAYSON","10","N","N","M"," "
"091903","DENISON ISD","091","GRAYSON","10","N","N","M"," "
"091905","HOWE ISD","091","GRAYSON","10","N","N","M"," "
"091906","SHERMAN ISD","091","GRAYSON","10","N","N","M"," "
"091907","TIOGA ISD","091","GRAYSON","10","N","N","M"," "
"091908","VAN ALSTYNE ISD","091","GRAYSON","10","N","N","M"," "
"091909","WHITESBORO ISD","091","GRAYSON","10","N","N","M"," "
"091910","WHITEWRIGHT ISD","091","GRAYSON","10","N","N","I","D"
"091913","POTTSBORO ISD","091","GRAYSON","10","N","N","M"," "
"091914","S AND S CISD","091","GRAYSON","10","N","N","M"," "
"091917","GUNTER ISD","091","GRAYSON","10","N","N","M"," "
"091918","TOM BEAN ISD","091","GRAYSON","10","N","N","M"," "
"092801","EAST TEXAS CHARTER SCHOOLS","092","GREGG","07","Y","Y","A"," "
"092901","GLADEWATER ISD","092","GREGG","07","N","N","M","B"
"092902","KILGORE ISD","092","GREGG","07","N","N","M","B"
"092903","LONGVIEW ISD","092","GREGG","07","N","N","M","D"
"092904","PINE TREE ISD","092","GREGG","07","N","N","M"," "
"092906","SABINE ISD","092","GREGG","07","N","N","M","B"
"092907","SPRING HILL ISD","092","GREGG","07","N","N","M","D"
"092908","WHITE OAK ISD","092","GREGG","07","N","N","I","D"
"093901","ANDERSON-SHIRO CISD","093","GRIMES","06","N","N","M"," "
"093903","IOLA ISD","093","GRIMES","06","N","N","M"," "
"093904","NAVASOTA ISD","093","GRIMES","06","N","N","M","B"
"093905","RICHARDS ISD","093","GRIMES","06","N","N","M"," "
"094901","SEGUIN ISD","094","GUADALUPE","13","N","N","M"," "
"094902","SCHERTZ-CIBOLO-U CITY ISD","094","GUADALUPE","20","N","N","M"," "
"094903","NAVARRO ISD","094","GUADALUPE","13","N","N","M"," "
"094904","MARION ISD","094","GUADALUPE","13","N","N","M","D"
"095901","ABERNATHY ISD","095","HALE","17","N","N","M","D"
"095902","COTTON CENTER ISD","095","HALE","17","N","N","M"," "
"095903","HALE CENTER ISD","095","HALE","17","N","N","M"," "
"095904","PETERSBURG ISD","095","HALE","17","N","N","M"," "
"095905","PLAINVIEW ISD","095","HALE","17","N","N","M","L"
"096904","MEMPHIS ISD","096","HALL","16","N","N","M","B"
"096905","TURKEY-QUITAQUE ISD","096","HALL","16","N","N","M","D"
"097902","HAMILTON ISD","097","HAMILTON","12","N","N","M","D"
"097903","HICO ISD","097","HAMILTON","12","N","N","M"," "
"098901","GRUVER ISD","098","HANSFORD","16","N","N","M"," "
"098903","PRINGLE-MORSE CISD","098","HANSFORD","16","N","N","M","D"
"098904","SPEARMAN ISD","098","HANSFORD","16","N","N","M"," "
"099902","CHILLICOTHE ISD","099","HARDEMAN","09","N","N","M"," "
"099903","QUANAH ISD","099","HARDEMAN","09","N","N","M","D"
"100903","KOUNTZE ISD","100","HARDIN","05","N","N","M","D"
"100904","SILSBEE ISD","100","HARDIN","05","N","N","M"," "
"100905","HARDIN-JEFFERSON ISD","100","HARDIN","05","N","N","M"," "
"100907","LUMBERTON ISD","100","HARDIN","05","N","N","M"," "
"100908","WEST HARDIN COUNTY CISD","100","HARDIN","05","N","N","M"," "
"101801","MEDICAL CENTER CHARTER SCHOOL","101","HARRIS","04","Y","N","M"," "
"101802","SER-NINOS CHARTER SCHOOL","101","HARRIS","04","Y","N","M"," "
"101803","ARISTOI CLASSICAL ACADEMY","101","HARRIS","04","Y","N","M","B"
"101804","GEORGE I SANCHEZ CHARTER","101","HARRIS","04","Y","Y","X"," "
"101805","GIRLS & BOYS PREPARATORY ACADEMY","101","HARRIS","04","Y","N","I","B"
"101806","RAUL YZAGUIRRE SCHOOL FOR SUCCESS","101","HARRIS","04","Y","N","M","B"
"101807","UNIVERSITY OF HOUSTON CHARTER SCHO","101","HARRIS","04","Y","N","M"," "
"101809","BAY AREA CHARTER INC","101","HARRIS","04","Y","N","I","D"
"101810","ACADEMY OF ACCELERATED LEARNING IN","101","HARRIS","04","Y","N","M"," "
"101811","EXCEL ACADEMY","101","HARRIS","04","Y","Y","X"," "
"101812","HOUSTON CAN ACADEMY CHARTER SCHOOL","101","HARRIS","04","Y","Y","A","H"
"101813","KIPP INC CHARTER","101","HARRIS","04","Y","N","M"," "
"101814","THE VARNETT PUBLIC SCHOOL","101","HARRIS","04","Y","N","M"," "
"101815","ALIEF MONTESSORI COMMUNITY SCHOOL","101","HARRIS","04","Y","N","M"," "
"101819","AMIGOS POR VIDA-FRIENDS FOR LIFE P","101","HARRIS","04","Y","N","M","B"
"101821","HOUSTON HEIGHTS HIGH SCHOOL","101","HARRIS","04","Y","Y","A","D"
"101822","JAMIE'S HOUSE CHARTER SCHOOL","101","HARRIS","04","Y","Y","I","E"
"101828","HOUSTON GATEWAY ACADEMY INC","101","HARRIS","04","Y","N","M"," "
"101829","HOUSTON HEIGHTS LEARNING ACADEMY I","101","HARRIS","04","Y","N","M"," "
"101833","LA AMISTAD LOVE & LEARNING ACADEMY","101","HARRIS","04","Y","N","M","D"
"101837","CALVIN NELMS CHARTER SCHOOLS","101","HARRIS","04","Y","Y","A"," "
"101838","SOUTHWEST SCHOOL","101","HARRIS","04","Y","N","M","H"
"101840","TWO DIMENSIONS PREPARATORY ACADEMY","101","HARRIS","04","Y","N","M"," "
"101842","COMQUEST ACADEMY","101","HARRIS","04","Y","Y","A"," "
"101845","YES PREP PUBLIC SCHOOLS INC","101","HARRIS","04","Y","N","M","D"
"101846","HARMONY SCIENCE ACADEMY","101","HARRIS","04","Y","N","M"," "
"101847","BEATRICE MAYES INSTITUTE CHARTER S","101","HARRIS","04","Y","N","M"," "
"101848","NORTHWEST PREPARATORY","101","HARRIS","04","Y","N","I"," "
"101849","ACCELERATED INTERMEDIATE ACADEMY","101","HARRIS","04","Y","N","M","D"
"101850","ZOE LEARNING ACADEMY","101","HARRIS","04","Y","N","I"," "
"101852","JUAN B GALAVIZ CHARTER SCHOOL","101","HARRIS","04","Y","N","I"," "
"101853","PROMISE COMMUNITY SCHOOL","101","HARRIS","04","Y","N","M","D"
"101854","RICHARD MILBURN ACADEMY (SUBURBAN","101","HARRIS","04","Y","Y","A","B"
"101855","MEYERPARK ELEMENTARY","101","HARRIS","04","Y","N","M"," "
"101856","DRAW ACADEMY","101","HARRIS","04","Y","N","M"," "
"101858","HARMONY SCHOOL OF EXCELLENCE","101","HARRIS","04","Y","N","M"," "
"101859","STEPPING STONES CHARTER EL","101","HARRIS","04","Y","N","M","D"
"101860","KIPP SOUTHEAST HOUSTON","101","HARRIS","04","Y","N","M","D"
"101861","THE RHODES SCHOOL","101","HARRIS","04","Y","N","M","D"
"101862","HARMONY SCHOOL OF SCIENCE - HOUSTO","101","HARRIS","04","Y","N","M"," "
"101863","KOINONIA COMMUNITY LEARNING ACADEM","101","HARRIS","04","Y","N","I"," "
"101864","WALIPP-TSU PREPARATORY ACADEMY","101","HARRIS","04","Y","N","M"," "
"101865","VICTORY PREP","101","HARRIS","04","Y","N","I","B"
"101867","FALLBROOK COLLEGE PREPARATORY ACAD","101","HARRIS","04","Y","N","I"," "
"101902","ALDINE ISD","101","HARRIS","04","N","N","M"," "
"101903","ALIEF ISD","101","HARRIS","04","N","N","M","B"
"101905","CHANNELVIEW ISD","101","HARRIS","04","N","N","M"," "
"101906","CROSBY ISD","101","HARRIS","04","N","N","M"," "
"101907","CYPRESS-FAIRBANKS ISD","101","HARRIS","04","N","N","M"," "
"101908","DEER PARK ISD","101","HARRIS","04","N","N","M"," "
"101909","NORTH FOREST ISD","101","HARRIS","04","N","N","I","O"
"101910","GALENA PARK ISD","101","HARRIS","04","N","N","M"," "
"101911","GOOSE CREEK CISD","101","HARRIS","04","N","N","M","L"
"101912","HOUSTON ISD","101","HARRIS","04","N","N","M","B"
"101913","HUMBLE ISD","101","HARRIS","04","N","N","M"," "
"101914","KATY ISD","101","HARRIS","04","N","N","M"," "
"101915","KLEIN ISD","101","HARRIS","04","N","N","M","B"
"101916","LA PORTE ISD","101","HARRIS","04","N","N","M"," "
"101917","PASADENA ISD","101","HARRIS","04","N","N","M"," "
"101919","SPRING ISD","101","HARRIS","04","N","N","M","L"
"101920","SPRING BRANCH ISD","101","HARRIS","04","N","N","M"," "
"101921","TOMBALL ISD","101","HARRIS","04","N","N","M"," "
"101924","SHELDON ISD","101","HARRIS","04","N","N","M","D"
"101925","HUFFMAN ISD","101","HARRIS","04","N","N","M"," "
"102901","KARNACK ISD","102","HARRISON","07","N","N","M","B"
"102902","MARSHALL ISD","102","HARRISON","07","N","N","M","H"
"102903","WASKOM ISD","102","HARRISON","07","N","N","M","D"
"102904","HALLSVILLE ISD","102","HARRISON","07","N","N","M"," "
"102905","HARLETON ISD","102","HARRISON","07","N","N","M"," "
"102906","ELYSIAN FIELDS ISD","102","HARRISON","07","N","N","M"," "
"103901","CHANNING ISD","103","HARTLEY","16","N","N","M"," "
"103902","HARTLEY ISD","103","HARTLEY","16","N","N","M"," "
"104901","HASKELL CISD","104","HASKELL","14","N","N","M"," "
"104903","RULE ISD","104","HASKELL","14","N","N","M"," "
"104907","PAINT CREEK ISD","104","HASKELL","14","N","N","M"," "
"105801","KATHERINE ANNE PORTER SCHOOL","105","HAYS","13","Y","N","I"," "
"105802","TEXAS PREPARATORY SCHOOL","105","HAYS","13","Y","N","M"," "
"105902","SAN MARCOS CISD","105","HAYS","13","N","N","M"," "
"105904","DRIPPING SPRINGS ISD","105","HAYS","13","N","N","M"," "
"105905","WIMBERLEY ISD","105","HAYS","13","N","N","M","B"
"105906","HAYS CISD","105","HAYS","13","N","N","M"," "
"106901","CANADIAN ISD","106","HEMPHILL","16","N","N","M"," "
"107901","ATHENS ISD","107","HENDERSON","07","N","N","M","D"
"107902","BROWNSBORO ISD","107","HENDERSON","07","N","N","M","D"
"107904","CROSS ROADS ISD","107","HENDERSON","07","N","N","M"," "
"107905","EUSTACE ISD","107","HENDERSON","07","N","N","M"," "
"107906","MALAKOFF ISD","107","HENDERSON","07","N","N","M"," "
"107907","TRINIDAD ISD","107","HENDERSON","07","N","N","M"," "
"107908","MURCHISON ISD","107","HENDERSON","07","N","N","M"," "
"107910","LAPOYNOR ISD","107","HENDERSON","07","N","N","M","D"
"108801","IGNITE PUBLIC SCHOOLS AND COMMUNIT","108","HIDALGO","01","Y","Y","I","H"
"108802","SOUTH TEXAS EDUCATIONAL TECHNOLOGI","108","HIDALGO","01","Y","N","M"," "
"108804","MIDVALLEY ACADEMY CHARTER DISTRICT","108","HIDALGO","01","Y","Y","A"," "
"108807","IDEA PUBLIC SCHOOLS","108","HIDALGO","01","Y","N","M","D"
"108808","VANGUARD ACADEMY","108","HIDALGO","01","Y","N","M"," "
"108809","EXCELLENCE IN LEADERSHIP ACADEMY","108","HIDALGO","01","Y","N","Z"," "
"108902","DONNA ISD","108","HIDALGO","01","N","N","M","J"
"108903","EDCOUCH-ELSA ISD","108","HIDALGO","01","N","N","M"," "
"108904","EDINBURG CISD","108","HIDALGO","01","N","N","M","J"
"108905","HIDALGO ISD","108","HIDALGO","01","N","N","M","B"
"108906","MCALLEN ISD","108","HIDALGO","01","N","N","M"," "
"108907","MERCEDES ISD","108","HIDALGO","01","N","N","M"," "
"108908","MISSION CISD","108","HIDALGO","01","N","N","M","B"
"108909","PHARR-SAN JUAN-ALAMO ISD","108","HIDALGO","01","N","N","M","L"
"108910","PROGRESO ISD","108","HIDALGO","01","N","N","M","B"
"108911","SHARYLAND ISD","108","HIDALGO","01","N","N","M","D"
"108912","LA JOYA ISD","108","HIDALGO","01","N","N","M","H"
"108913","WESLACO ISD","108","HIDALGO","01","N","N","M"," "
"108914","LA VILLA ISD","108","HIDALGO","01","N","N","M","D"
"108915","MONTE ALTO ISD","108","HIDALGO","01","N","N","M","B"
"108916","VALLEY VIEW ISD","108","HIDALGO","01","N","N","M"," "
"109901","ABBOTT ISD","109","HILL","12","N","N","M","D"
"109902","BYNUM ISD","109","HILL","12","N","N","M"," "
"109903","COVINGTON ISD","109","HILL","12","N","N","M"," "
"109904","HILLSBORO ISD","109","HILL","12","N","N","M","D"
"109905","HUBBARD ISD","109","HILL","12","N","N","M"," "
"109907","ITASCA ISD","109","HILL","12","N","N","M","D"
"109908","MALONE ISD","109","HILL","12","N","N","M"," "
"109910","MOUNT CALM ISD","109","HILL","12","N","N","M"," "
"109911","WHITNEY ISD","109","HILL","12","N","N","M","D"
"109912","AQUILLA ISD","109","HILL","12","N","N","M"," "
"109913","BLUM ISD","109","HILL","12","N","N","M","D"
"109914","PENELOPE ISD","109","HILL","12","N","N","M","B"
"110901","ANTON ISD","110","HOCKLEY","17","N","N","M"," "
"110902","LEVELLAND ISD","110","HOCKLEY","17","N","N","M"," "
"110905","ROPES ISD","110","HOCKLEY","17","N","N","M"," "
"110906","SMYER ISD","110","HOCKLEY","17","N","N","M"," "
"110907","SUNDOWN ISD","110","HOCKLEY","17","N","N","M","D"
"110908","WHITHARRAL ISD","110","HOCKLEY","17","N","N","M"," "
"111901","GRANBURY ISD","111","HOOD","11","N","N","M"," "
"111902","LIPAN ISD","111","HOOD","11","N","N","M","D"
"111903","TOLAR ISD","111","HOOD","11","N","N","M"," "
"112901","SULPHUR SPRINGS ISD","112","HOPKINS","08","N","N","M","D"
"112905","CUMBY ISD","112","HOPKINS","08","N","N","M","D"
"112906","NORTH HOPKINS ISD","112","HOPKINS","08","N","N","I","D"
"112907","MILLER GROVE ISD","112","HOPKINS","08","N","N","M"," "
"112908","COMO-PICKTON CISD","112","HOPKINS","08","N","N","M"," "
"112909","SALTILLO ISD","112","HOPKINS","08","N","N","M","D"
"112910","SULPHUR BLUFF ISD","112","HOPKINS","08","N","N","M"," "
"113901","CROCKETT ISD","113","HOUSTON","06","N","N","M","D"
"113902","GRAPELAND ISD","113","HOUSTON","06","N","N","M","D"
"113903","LOVELADY ISD","113","HOUSTON","06","N","N","M","D"
"113905","LATEXO ISD","113","HOUSTON","06","N","N","M"," "
"113906","KENNARD ISD","113","HOUSTON","06","N","N","M"," "
"114901","BIG SPRING ISD","114","HOWARD","18","N","N","I","L"
"114902","COAHOMA ISD","114","HOWARD","18","N","N","M"," "
"114904","FORSAN ISD","114","HOWARD","18","N","N","M","D"
"115901","FT HANCOCK ISD","115","HUDSPETH","19","N","N","M"," "
"115902","SIERRA BLANCA ISD","115","HUDSPETH","19","N","N","M"," "
"115903","DELL CITY ISD","115","HUDSPETH","19","N","N","M"," "
"116801","PHOENIX CHARTER SCHOOL","116","HUNT","10","Y","N","M"," "
"116901","CADDO MILLS ISD","116","HUNT","10","N","N","M"," "
"116902","CELESTE ISD","116","HUNT","10","N","N","M","D"
"116903","COMMERCE ISD","116","HUNT","10","N","N","M"," "
"116905","GREENVILLE ISD","116","HUNT","10","N","N","M","A"
"116906","LONE OAK ISD","116","HUNT","10","N","N","M"," "
"116908","QUINLAN ISD","116","HUNT","10","N","N","M","B"
"116909","WOLFE CITY ISD","116","HUNT","10","N","N","M"," "
"116910","CAMPBELL ISD","116","HUNT","10","N","N","M"," "
"116915","BLAND ISD","116","HUNT","10","N","N","M"," "
"116916","BOLES ISD","116","HUNT","10","N","N","M"," "
"117901","BORGER ISD","117","HUTCHINSON","16","N","N","M"," "
"117903","SANFORD-FRITCH ISD","117","HUTCHINSON","16","N","N","I","D"
"117904","PLEMONS-STINNETT-PHILLIPS CISD","117","HUTCHINSON","16","N","N","M"," "
"117907","SPRING CREEK ISD","117","HUTCHINSON","16","N","N","I"," "
"118902","IRION COUNTY ISD","118","IRION","15","N","N","M"," "
"119901","BRYSON ISD","119","JACK","09","N","N","M"," "
"119902","JACKSBORO ISD","119","JACK","09","N","N","M"," "
"119903","PERRIN-WHITT CISD","119","JACK","09","N","N","M"," "
"120901","EDNA ISD","120","JACKSON","03","N","N","M","B"
"120902","GANADO ISD","120","JACKSON","03","N","N","M","D"
"120905","INDUSTRIAL ISD","120","JACKSON","03","N","N","M"," "
"121902","BROOKELAND ISD","121","JASPER","05","N","N","M"," "
"121903","BUNA ISD","121","JASPER","05","N","N","M","D"
"121904","JASPER ISD","121","JASPER","05","N","N","M","B"
"121905","KIRBYVILLE CISD","121","JASPER","05","N","N","M"," "
"121906","EVADALE ISD","121","JASPER","05","N","N","M"," "
"122901","FT DAVIS ISD","122","JEFF DAVIS","18","N","N","M","B"
"122902","VALENTINE ISD","122","JEFF DAVIS","18","N","N","M"," "
"123803","TEKOA ACADEMY OF ACCELERATED STUDI","123","JEFFERSON","05","Y","N","M"," "
"123805","EHRHART SCHOOL","123","JEFFERSON","05","Y","N","M","D"
"123807","BOB HOPE SCHOOL","123","JEFFERSON","05","Y","N","M"," "
"123905","NEDERLAND ISD","123","JEFFERSON","05","N","N","M"," "
"123907","PORT ARTHUR ISD","123","JEFFERSON","05","N","N","M","B"
"123908","PORT NECHES-GROVES ISD","123","JEFFERSON","05","N","N","M","D"
"123910","BEAUMONT ISD","123","JEFFERSON","05","N","N","M","B"
"123913","SABINE PASS ISD","123","JEFFERSON","05","N","N","M"," "
"123914","HAMSHIRE-FANNETT ISD","123","JEFFERSON","05","N","N","M","D"
"124901","JIM HOGG COUNTY ISD","124","JIM HOGG","01","N","N","M","B"
"125901","ALICE ISD","125","JIM WELLS","02","N","N","M","K"
"125902","BEN BOLT-PALITO BLANCO ISD","125","JIM WELLS","02","N","N","M"," "
"125903","ORANGE GROVE ISD","125","JIM WELLS","02","N","N","M","J"
"125905","PREMONT ISD","125","JIM WELLS","02","N","N","I"," "
"125906","LA GLORIA ISD","125","JIM WELLS","02","N","N","M"," "
"126901","ALVARADO ISD","126","JOHNSON","11","N","N","M"," "
"126902","BURLESON ISD","126","JOHNSON","11","N","N","M"," "
"126903","CLEBURNE ISD","126","JOHNSON","11","N","N","M"," "
"126904","GRANDVIEW ISD","126","JOHNSON","11","N","N","M"," "
"126905","JOSHUA ISD","126","JOHNSON","11","N","N","M","A"
"126906","KEENE ISD","126","JOHNSON","11","N","N","I"," "
"126907","RIO VISTA ISD","126","JOHNSON","11","N","N","M","D"
"126908","VENUS ISD","126","JOHNSON","11","N","N","M","D"
"126911","GODLEY ISD","126","JOHNSON","11","N","N","M"," "
"127901","ANSON ISD","127","JONES","14","N","N","M"," "
"127903","HAMLIN ISD","127","JONES","14","N","N","M"," "
"127904","HAWLEY ISD","127","JONES","14","N","N","M"," "
"127905","LUEDERS-AVOCA ISD","127","JONES","14","N","N","M"," "
"127906","STAMFORD ISD","127","JONES","14","N","N","M"," "
"128901","KARNES CITY ISD","128","KARNES","03","N","N","M","D"
"128902","KENEDY ISD","128","KARNES","03","N","N","M"," "
"128903","RUNGE ISD","128","KARNES","03","N","N","M"," "
"128904","FALLS CITY ISD","128","KARNES","20","N","N","M","D"
"129901","CRANDALL ISD","129","KAUFMAN","10","N","N","M"," "
"129902","FORNEY ISD","129","KAUFMAN","10","N","N","M"," "
"129903","KAUFMAN ISD","129","KAUFMAN","10","N","N","M"," "
"129904","KEMP ISD","129","KAUFMAN","10","N","N","M","D"
"129905","MABANK ISD","129","KAUFMAN","10","N","N","M","D"
"129906","TERRELL ISD","129","KAUFMAN","10","N","N","M","H"
"129910","SCURRY-ROSSER ISD","129","KAUFMAN","10","N","N","M","D"
"130801","MEADOWLAND CHARTER SCHOOL","130","KENDALL","20","Y","N","I"," "
"130901","BOERNE ISD","130","KENDALL","20","N","N","M","J"
"130902","COMFORT ISD","130","KENDALL","13","N","N","M","B"
"131001","KENEDY COUNTY WIDE CSD","131","KENEDY","02","N","N","M"," "
"132902","JAYTON-GIRARD ISD","132","KENT","17","N","N","M"," "
"133901","CENTER POINT ISD","133","KERR","20","N","N","M"," "
"133902","HUNT ISD","133","KERR","20","N","N","M"," "
"133903","KERRVILLE ISD","133","KERR","20","N","N","M","B"
"133904","INGRAM ISD","133","KERR","20","N","N","M","B"
"133905","DIVIDE ISD","133","KERR","20","N","N","M"," "
"134901","JUNCTION ISD","134","KIMBLE","15","N","N","M"," "
"135001","GUTHRIE CSD","135","KING","17","N","N","M"," "
"136901","BRACKETT ISD","136","KINNEY","20","N","N","M","D"
"137901","KINGSVILLE ISD","137","KLEBERG","02","N","N","M"," "
"137902","RICARDO ISD","137","KLEBERG","02","N","N","M"," "
"137903","RIVIERA ISD","137","KLEBERG","02","N","N","M","D"
"137904","SANTA GERTRUDIS ISD","137","KLEBERG","02","N","N","M"," "
"138902","KNOX CITY-O'BRIEN CISD","138","KNOX","09","N","N","M"," "
"138903","MUNDAY CISD","138","KNOX","09","N","N","M","D"
"138904","BENJAMIN ISD","138","KNOX","09","N","N","M"," "
"139905","CHISUM ISD","139","LAMAR","08","N","N","M"," "
"139908","ROXTON ISD","139","LAMAR","08","N","N","I","D"
"139909","PARIS ISD","139","LAMAR","08","N","N","M","B"
"139911","NORTH LAMAR ISD","139","LAMAR","08","N","N","M"," "
"139912","PRAIRILAND ISD","139","LAMAR","08","N","N","M"," "
"140901","AMHERST ISD","140","LAMB","17","N","N","M","D"
"140904","LITTLEFIELD ISD","140","LAMB","17","N","N","M"," "
"140905","OLTON ISD","140","LAMB","17","N","N","M"," "
"140907","SPRINGLAKE-EARTH ISD","140","LAMB","17","N","N","M"," "
"140908","SUDAN ISD","140","LAMB","17","N","N","M"," "
"141901","LAMPASAS ISD","141","LAMPASAS","12","N","N","M"," "
"141902","LOMETA ISD","141","LAMPASAS","12","N","N","M"," "
"142901","COTULLA ISD","142","LA SALLE","20","N","N","M","B"
"143901","HALLETTSVILLE ISD","143","LAVACA","03","N","N","M"," "
"143902","MOULTON ISD","143","LAVACA","03","N","N","M"," "
"143903","SHINER ISD","143","LAVACA","03","N","N","M","D"
"143904","VYSEHRAD ISD","143","LAVACA","03","N","N","M"," "
"143905","SWEET HOME ISD","143","LAVACA","03","N","N","M"," "
"143906","EZZELL ISD","143","LAVACA","03","N","N","M"," "
"144901","GIDDINGS ISD","144","LEE","13","N","N","M"," "
"144902","LEXINGTON ISD","144","LEE","13","N","N","M"," "
"144903","DIME BOX ISD","144","LEE","13","N","N","I","D"
"145901","BUFFALO ISD","145","LEON","06","N","N","M","B"
"145902","CENTERVILLE ISD","145","LEON","06","N","N","M"," "
"145906","NORMANGEE ISD","145","LEON","06","N","N","M"," "
"145907","OAKWOOD ISD","145","LEON","06","N","N","M","D"
"145911","LEON ISD","145","LEON","06","N","N","M","D"
"146901","CLEVELAND ISD","146","LIBERTY","04","N","N","I","B"
"146902","DAYTON ISD","146","LIBERTY","04","N","N","M"," "
"146903","DEVERS ISD","146","LIBERTY","04","N","N","M"," "
"146904","HARDIN ISD","146","LIBERTY","04","N","N","M"," "
"146905","HULL-DAISETTA ISD","146","LIBERTY","05","N","N","M"," "
"146906","LIBERTY ISD","146","LIBERTY","04","N","N","M","B"
"146907","TARKINGTON ISD","146","LIBERTY","04","N","N","M","D"
"147901","COOLIDGE ISD","147","LIMESTONE","12","N","N","M","D"
"147902","GROESBECK ISD","147","LIMESTONE","12","N","N","M"," "
"147903","MEXIA ISD","147","LIMESTONE","12","N","N","M","L"
"148901","BOOKER ISD","148","LIPSCOMB","16","N","N","M"," "
"148902","FOLLETT ISD","148","LIPSCOMB","16","N","N","M"," "
"148903","HIGGINS ISD","148","LIPSCOMB","16","N","N","I","D"
